Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.539778710,45.00391,74.71875,3.765,255.3125,0
1.594099999,44.99219,74.53125,3.760625,264.0625,0
2.648767948,44.98047,74.53125,3.76375,258.4375,0
3.527773857,44.98047,74.34375,3.76625,258.125,0
4.582516670,44.96875,74.34375,3.765625,264.6875,0
5.637264729,44.95703,74.4375,3.765,258.4375,0
6.516195297,44.94531,74.53125,3.763125,265.625,0
7.570967198,44.93359,74.53125,3.763125,263.125,0
8.625996590,44.92188,74.625,3.764375,244.6875,0
9.504743099,44.92188,74.53125,3.76375,261.25,0
10.559577942,44.90625,74.4375,3.765,250.3125,0
11.614372254,44.89453,74.34375,3.764375,282.5,0
12.493390560,44.88281,74.4375,3.766875,258.4375,0
13.548064709,44.87109,74.34375,3.7625,271.5625,0
14.602985382,44.87109,74.34375,3.764375,256.25,0
15.482119560,44.85938,74.53125,3.7625,248.75,0
16.536766052,44.84766,74.625,3.7625,255.9375,0
17.591383934,44.83594,74.625,3.7625,255.625,0
18.646183014,44.82422,74.34375,3.760625,280.3125,0
19.525179386,44.82422,74.34375,3.763125,265.625,0
20.580040455,44.80859,74.15625,3.76125,283.4375,0
21.635112763,44.79688,74.0625,3.761875,269.375,0
22.513877869,44.78516,73.96875,3.764375,284.375,0
23.568595410,44.77344,74.0625,3.761875,255.3125,0
24.623538017,44.76172,74.0625,3.763125,252.1875,0
25.502508640,44.76172,73.96875,3.76375,278.125,0
26.557268620,44.75,73.96875,3.76125,252.1875,0
27.611874104,44.73828,73.96875,3.75875,248.75,0
28.490866661,44.72656,73.78125,3.763125,258.4375,0
29.545807362,44.71094,73.78125,3.7625,269.6875,0
30.601081848,44.69922,73.78125,3.76125,254.6875,0
31.479816914,44.69922,73.875,3.761875,252.1875,0
32.534631252,44.6875,73.96875,3.761875,261.25,0
33.589457512,44.67578,74.0625,3.759375,257.8125,0
34.644206047,44.66406,74.15625,3.7625,246.875,0
35.523172379,44.65234,74.0625,3.763125,246.875,0
36.577924252,44.65234,74.25,3.76125,252.5,0
37.632626057,44.64063,74.25,3.76,259.6875,0
38.511657715,44.62891,74.25,3.7625,254.0625,0
39.566411495,44.61328,74.25,3.76125,273.75,0
40.621475697,44.60156,74.25,3.763125,256.5625,0
41.500301361,44.60156,74.25,3.76125,257.1875,0
42.555056572,44.58984,74.25,3.759375,257.1875,0
43.609739304,44.57813,74.15625,3.761875,244.375,0
44.488707066,44.56641,74.15625,3.761875,251.25,0
45.543487072,44.55469,74.15625,3.760625,276.25,0
46.598298073,44.54297,73.875,3.760625,255.9375,0
47.653160095,44.54297,73.96875,3.76125,256.25,0
48.532191754,44.53125,74.0625,3.76125,252.8125,0
49.586904049,44.51563,73.96875,3.758125,254.6875,0
50.641588688,44.50391,73.78125,3.76125,257.8125,0
51.520748615,44.49219,73.78125,3.76,259.0625,0
52.575509548,44.49219,73.96875,3.760625,253.4375,0
53.630367279,44.48047,73.78125,3.75875,255.3125,0
54.509459973,44.46875,73.78125,3.760625,266.875,0
55.564215183,44.45703,73.78125,3.761875,260,0
56.618924618,44.44531,73.875,3.76,269.6875,0
57.498059273,44.44531,73.875,3.759375,266.5625,0
58.552604675,44.43359,73.59375,3.760625,259.375,0
59.607406140,44.41797,73.59375,3.76125,252.1875,0
60.486320973,44.40625,73.6875,3.759375,261.25,0
61.541153431,44.39453,73.6875,3.760625,255.9375,0
62.595989227,44.38281,73.59375,3.761875,258.125,0
63.650728703,44.37109,73.5,3.759375,268.125,0
64.529699326,44.37109,73.59375,3.75875,262.5,0
65.584384918,44.35938,73.40625,3.76,273.125,0
66.639436245,44.34766,73.5,3.759375,255,0
67.518489838,44.33594,73.3125,3.7575,258.125,0
68.573074818,44.32031,73.3125,3.76,260,0
69.627983570,44.32031,73.40625,3.760625,239.0625,0
70.506954670,44.30859,73.125,3.76,263.75,0
71.561828613,44.29688,73.21875,3.76125,268.4375,0
72.616699696,44.28516,73.3125,3.76125,255.3125,0
73.495651722,44.27344,73.3125,3.759375,270.625,0
74.550563336,44.27344,73.40625,3.7575,260,0
75.605392933,44.26172,73.21875,3.759375,264.6875,0
