Time (s),Humidity (%)
0.668703556,18.60352
1.668005943,18.85059
2.667308331,18.32031
3.669115067,19.16016
4.668417931,18.71582
5.667720795,19.14844
6.667024613,18.44434
7.668832779,19.03809
8.668136120,19.01367
9.667439938,19.27344
10.666744232,19.42188
11.668553829,19.05176
12.667858124,18.31055
13.667162895,19.22559
14.666467667,18.97852
15.668278217,19.46094
16.667583466,19.16406
17.666889191,19.74512
18.668699742,19.22656
19.668179035,19.7959
20.667563439,19.4375
21.666869641,19.00488
22.668681145,19.06738
23.667988300,18.99414
24.667294979,19.26563
25.666602612,19.45117
26.668415547,19.88477
27.667723179,18.82227
28.667031288,19.25488
29.666340351,19.02051
30.668542385,19.15723
31.667851448,18.95898
32.667203903,18.97168
33.669017792,18.84863
34.668327332,19.5166
35.667637825,19.08496
36.666947842,18.63965
37.668763638,19.25781
38.668073654,18.80176
39.667384625,19.45703
40.666696549,19.22168
41.668512821,19.25977
42.667824268,19.20996
43.667135716,19.56934
44.666448116,19.14941
45.668264866,19.34766
46.667577744,19.52051
47.666890621,20.17578
48.666204453,19.13867
49.668022633,20.47266
50.667396069,19.43555
51.666965962,19.63379
52.668784142,20.21484
53.668098450,20.17773
54.667413235,20.36328
55.666728020,20.08008
56.668547630,18.38672
57.667862415,19.05469
58.667177677,18.85645
59.666492939,19.54883
60.668313503,19.72266
61.667628765,19.61133
62.666944981,18.87012
63.666261196,19.58789
64.668082237,18.79688
65.667398453,19.35254
66.666715622,19.56348
67.666032314,19.57617
68.667853832,19.76172
69.667616844,19.79883
70.666934490,19.36719
71.668756962,19.08301
72.668074131,18.81055
73.667391777,18.53906
74.666709423,18.93457
75.668535710,18.56348
