Time (s),Power (dBm),Percentage (%)
0.219422817,-53,94
0.719198227,-53,94
1.219257832,-53,94
1.719236851,-53,94
2.219241619,-53,94
2.719166279,-53,94
3.219396591,-53,94
3.719047546,-53,94
4.219321728,-53,94
4.719127178,-53,94
5.219328880,-53,94
6.219141007,-62,76
6.719094753,-55,90
7.219293118,-64,72
7.718974590,-55,90
8.219085217,-55,90
8.719041824,-60,80
9.219249249,-57,86
9.718919277,-60,80
10.219099522,-62,76
10.719048977,-51,98
11.219049454,-60,80
11.718949318,-53,94
12.219204426,-55,90
12.718887806,-57,86
13.219264031,-57,86
13.719049454,-51,98
14.219072342,-47,100
14.719006538,-51,98
15.219234943,-47,100
15.718939304,-55,90
16.219182491,-47,100
16.719016075,-60,80
17.219032288,-49,100
17.719029903,-64,72
18.219063759,-59,82
18.719046593,-65,70
19.219212532,-59,82
19.718905449,-59,82
20.219198227,-62,76
20.719008446,-55,90
21.219025612,-53,94
21.719047069,-51,98
22.219052315,-55,90
22.718948841,-53,94
23.219192505,-53,94
23.718898296,-53,94
24.219145298,-53,94
24.719002724,-53,94
25.219005585,-53,94
25.718992233,-53,94
26.218978882,-53,94
26.718976498,-55,90
27.219130516,-57,86
27.718834400,-55,90
28.219122887,-51,98
28.718998432,-55,90
29.218977928,-49,100
29.718970776,-51,98
30.218978405,-53,94
30.719021320,-53,94
31.219144344,-64,72
31.718834400,-57,86
32.219104767,-59,82
32.718976021,-55,90
33.219003677,-53,94
33.718987465,-55,90
34.218945503,-53,94
34.718929768,-53,94
35.219089508,-55,90
35.718776226,-53,94
36.219080448,-59,82
36.718952656,-53,94
37.218980789,-55,90
37.718918323,-57,86
38.218937397,-47,100
38.718920231,-51,98
39.219045162,-55,90
39.718805313,-61,78
40.219065189,-57,86
40.718888760,-45,100
41.218986034,-53,94
41.718912125,-49,100
42.218955040,-59,82
42.718925953,-57,86
43.219051361,-57,86
43.718739986,-49,100
44.218862534,-53,94
44.718907356,-62,76
45.218895912,-59,82
45.718928337,-51,98
46.218964100,-53,94
46.718869209,-55,90
47.219067097,-49,100
47.718708992,-51,98
48.218845367,-57,86
48.718883038,-55,90
49.218904018,-55,90
49.718773365,-55,90
50.218880653,-53,94
50.718875885,-53,94
51.218900681,-55,90
51.718724728,-55,90
52.218853474,-53,94
52.718772411,-53,94
53.218913555,-55,90
53.718852997,-53,94
54.218896389,-59,82
54.718692779,-51,98
55.218993187,-53,94
55.718737125,-57,86
56.218882561,-53,94
56.718874454,-53,94
57.218863964,-53,94
57.718833446,-53,94
58.218908310,-55,90
58.718675137,-51,98
59.219007492,-51,98
59.718664169,-57,86
60.218903542,-65,70
60.718853950,-65,70
61.218843937,-55,90
61.718626499,-55,90
62.218921661,-55,90
62.718672275,-53,94
63.218987465,-51,98
63.718659878,-63,74
64.218927860,-60,80
64.718834400,-64,72
65.218832016,-61,78
65.718795299,-47,100
66.218777657,-51,98
66.718621731,-61,78
67.218933106,-53,94
67.718666077,-51,98
68.218942165,-53,94
68.718781471,-45,100
69.218790054,-59,82
69.718774319,-51,98
70.218959332,-60,80
70.718605995,-69,62
71.218912125,-55,90
71.718611717,-55,90
72.218845844,-51,98
72.718759537,-49,100
73.218790531,-47,100
73.718754768,-49,100
74.218931675,-51,98
74.718631744,-51,98
75.218928814,-51,98
75.718598843,-51,98
76.218863487,-51,98
76.718739986,-51,98
77.218796253,-53,94
77.718736172,-51,98
78.218907833,-51,98
78.718567371,-49,100
79.218874455,-49,100
79.718570709,-53,94
80.218872070,-53,94
80.718722343,-57,86
81.218717098,-60,80
81.718560696,-57,86
82.218921661,-53,94
82.718583584,-59,82
83.218853474,-53,94
83.718601704,-53,94
84.218899250,-57,86
84.718736648,-55,90
85.218722343,-60,80
85.718623638,-61,78
86.218858719,-53,94
86.718538761,-53,94
87.218869686,-53,94
87.718627930,-51,98
88.218855858,-53,94
88.718717575,-67,66
89.218687058,-55,90
89.718674183,-49,100
90.218869686,-49,100
90.718502998,-57,86
91.218751907,-59,82
91.718659401,-51,98
92.218862534,-59,82
92.718588352,-49,100
93.218695641,-47,100
93.718632221,-51,98
94.218752384,-51,98
94.718539238,-47,100
95.218796253,-57,86
95.718562603,-57,86
96.218673229,-60,80
96.718641758,-69,62
97.218644619,-49,100
97.718616486,-65,70
98.218816757,-51,98
98.718474388,-51,98
99.218773842,-49,100
99.718642235,-51,98
100.218672276,-51,98
100.718657970,-53,94
101.218647003,-51,98
101.718598366,-51,98
102.218795300,-51,98
102.718492031,-53,94
103.218608379,-53,94
103.718654633,-51,98
104.218625546,-51,98
104.718441486,-62,76
105.218593597,-53,94
105.718435287,-53,94
106.218571663,-59,82
106.718418598,-59,82
107.218629837,-62,76
107.718405724,-55,90
108.218580246,-57,86
108.718582630,-62,76
109.218674660,-53,94
109.718430996,-65,70
110.218721867,-51,98
110.718463421,-51,98
111.218633652,-55,90
111.718605041,-53,94
112.218582153,-55,90
112.718563080,-53,94
113.218678951,-51,98
113.718451500,-51,98
114.218736172,-59,82
114.718406200,-60,80
115.218695164,-65,70
115.718583584,-57,86
116.218611240,-57,86
116.718578339,-77,46
117.218723297,-53,94
117.718375206,-47,100
118.218716621,-51,98
118.718388557,-53,94
119.218646050,-59,82
119.718528271,-53,94
120.218534470,-49,100
120.718525410,-53,94
121.218738556,-53,94
121.718430042,-57,86
122.218663693,-62,76
122.718350410,-57,86
123.218655109,-55,90
123.718544006,-59,82
124.218508244,-59,82
124.718379021,-59,82
125.218669891,-59,82
125.718382358,-59,82
126.218676567,-60,80
126.718405247,-65,70
127.218633175,-60,80
127.718525886,-53,94
128.218535900,-57,86
128.718454361,-69,62
129.218684673,-62,76
129.718339443,-67,66
130.218658924,-67,66
130.718418598,-55,90
131.218664169,-62,76
131.718504906,-59,82
132.218485832,-59,82
132.718451977,-65,70
133.218651295,-57,86
133.718331814,-57,86
134.218567371,-59,82
134.718472004,-59,82
135.218457699,-59,82
135.718404293,-60,80
136.218509197,-62,76
