Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.016414166,-0.1432908,-0.01668055,0.0625824,0.01933437,0.04461286,-1.008138,-2.115202,-1.601208,13.52296,1008.021
0.051175118,-1.256302,0.217467,0.001519755,0.01693784,0.03834109,-1.000434,-1.74044,-1.599562,13.95317,1008.019
0.083452702,-1.932249,0.3336917,-0.05931239,0.01788082,0.04752867,-1.003284,-2.139834,-1.247962,12.64689,1008.019
0.115726471,-3.100141,0.6254032,-0.0591278,0.02078134,0.04802252,-1.002804,-2.139834,-1.247962,12.64689,1008.021
0.150487900,-5.331193,-0.0790301,-0.1200685,0.01981205,0.0499653,-0.9998906,-2.430163,-1.239003,13.08721,1008.021
0.182765484,-4.525535,-0.2551384,-0.4857127,0.01981433,0.04899744,-0.9998961,-1.76441,-1.610831,13.08172,1008.02
0.217525959,-4.835403,-0.02032731,-0.2419499,0.01447592,0.05769787,-0.9983848,-1.76441,-1.610831,13.08172,1008.02
0.249804020,-5.145272,0.09707824,-0.3028906,0.01832793,0.06057319,-1.009979,-1.765072,-1.246315,13.0771,1008.02
0.282082558,-5.083298,0.5667005,-0.3028906,0.009641523,0.05622243,-1.001284,-1.763749,-1.975347,13.08633,1008.018
0.316838741,-6.570666,0.6254032,-0.5466534,0.0178511,0.06059965,-1.00176,-1.763749,-1.975347,13.08633,1008.018
0.349116802,-7.128429,0.4492949,-0.424772,0.0236353,0.06787026,-1.003181,-2.127849,-1.242327,13.08261,1008.02
0.383877754,-7.686192,0.4492949,-0.6685348,0.01927274,0.07270037,-1.002177,-2.125203,-2.70039,13.10108,1008.02
0.416155815,-7.624218,0.2144838,-0.6685348,0.02168329,0.07658691,-0.9997432,-2.125203,-2.70039,13.10108,1008.02
0.450916290,-5.888956,0.03837546,-0.8513569,0.02023797,0.07416148,-1.000237,-2.138511,-1.976993,12.65612,1008.02
0.483193874,-4.649482,0.155781,-0.3638313,0.0216424,0.09303229,-1.002067,-1.775734,-1.980981,12.65061,1008.02
0.515468120,-2.294483,-0.02032731,-0.2419499,0.01972001,0.08770027,-1.00306,-1.775734,-1.980981,12.65061,1008.02
0.550229072,-0.683168,0.155781,-0.2419499,0.01681108,0.09059226,-1.004004,-1.787058,-2.351131,12.2195,1008.02
0.582507133,0.2464369,-0.02032731,0.06275361,0.01489538,0.08479924,-0.9982316,-1.788381,-1.6221,12.21026,1008.022
0.617268085,0.5563052,0.09707824,0.06275361,0.01731302,0.08382847,-1.001143,-1.788381,-1.6221,12.21026,1008.022
0.649546146,-0.125405,0.2144838,0.1236943,0.01924346,0.08626184,-0.9987161,-1.78772,-1.986616,12.21488,1008.018
0.684306621,-1.240931,0.2144838,-0.1810092,0.01731469,0.08481272,-0.996303,-1.775734,-1.980981,12.65061,1008.016
0.716580391,-1.612773,-0.0790301,-0.1810092,0.02118499,0.08434311,-0.9953472,-1.775734,-1.980981,12.65061,1008.022
0.748857975,-1.798694,-0.1964356,-0.424772,0.01971741,0.08964417,-1.000632,-1.787058,-2.351131,12.2195,1008.022
0.783619404,-1.674747,-0.02032731,-0.1200685,0.02166056,0.08822085,-0.9938758,-1.786397,-2.715647,12.22411,1008.022
0.815896988,-1.302905,-0.0790301,-0.2419499,0.01681574,0.08963423,-1.001109,-1.786397,-2.715647,12.22411,1008.02
0.850658417,-0.125405,-0.0790301,-0.0591278,0.01777703,0.09107895,-1.004003,-1.797331,-2.355961,11.84601,1008.022
0.882936001,0.2464369,0.155781,0.001812908,0.02068147,0.09110036,-1.000142,-1.787058,-2.351131,12.2195,1008.022
0.917692661,0.1844633,-0.1377329,-0.0591278,0.01923911,0.08624382,-1.004034,-1.775734,-1.980981,12.65061,1008.02
0.949970245,-0.125405,0.155781,0.1236943,0.02310047,0.09208986,-0.9957907,-1.775734,-1.980981,12.65061,1008.02
0.982248306,-0.5592207,-0.02032731,-0.0591278,0.01826607,0.09061442,-0.9986892,-1.774411,-2.710013,12.65984,1008.02
1.017009258,-0.7451416,0.09707824,-0.1200685,0.01826083,0.09401339,-0.9952859,-1.775734,-1.980981,12.65061,1008.02
1.049287319,-0.8071153,-0.02032731,-0.0591278,0.01972199,0.08770846,-1.000643,-1.775734,-1.980981,12.65061,1008.024
1.084047794,-0.8071153,-0.1377329,-0.0591278,0.01971939,0.08965236,-0.9982144,-1.775073,-2.345497,12.65522,1008.023
1.116322517,-0.1873787,-0.2551384,-0.0591278,0.02067645,0.09254559,-1.002067,-2.138511,-1.976993,12.65612,1008.023
1.151082993,0.3703842,-0.02032731,0.001812908,0.01874654,0.09158039,-0.9996517,-2.138511,-1.976993,12.65612,1008.021
1.183360577,0.6182789,0.03837546,0.1236943,0.01731109,0.08430912,-1.002107,-1.775073,-2.345497,12.65522,1008.019
1.215638638,0.4323579,0.03837546,0.001812908,0.01777905,0.09157599,-1.000133,-1.787058,-2.351131,12.2195,1008.019
1.250399589,-0.311326,0.03837546,-0.0591278,0.01923541,0.0891605,-1.00015,-1.787058,-2.351131,12.2195,1008.019
1.282677650,-0.3732997,0.03837546,-0.0591278,0.02407055,0.09015036,-0.9977375,-2.138511,-1.976993,12.65612,1008.019
1.317433834,-0.6211943,-0.0790301,-0.0591278,0.02019114,0.09498023,-0.9972183,-1.775073,-2.345497,12.65522,1008.019
1.349712372,-0.311326,-0.2551384,0.06275361,0.015838,0.09447403,-1.000112,-1.775073,-2.345497,12.65522,1008.022
1.384472847,0.6802526,-0.1964356,-0.0591278,0.02019726,0.09256223,-0.9967487,-2.149173,-2.711659,12.22963,1008.02
1.416750908,1.48591,-0.1377329,0.1236943,0.01922929,0.0915785,-1.00062,-1.775073,-2.345497,12.65522,1008.02
1.449028492,1.671831,-0.3138412,0.1236943,0.01391944,0.08769187,-1.00063,-1.775073,-2.345497,12.65522,1008.018
1.483789921,0.7422262,-0.0790301,0.001812908,0.01828411,0.08433646,-0.9948575,-2.13785,-2.341509,12.66074,1008.018
1.516063690,-0.2493524,-0.0790301,0.001812908,0.02407272,0.08771598,-1.002102,-1.775734,-1.980981,12.65061,1008.018
