Time (s),Power (dBm),Percentage (%)
0.245223999,-57,86
0.745059490,-57,86
1.245264053,-57,86
1.745037079,-59,82
2.245197296,-59,82
2.745016575,-57,86
3.245374203,-55,90
3.744995594,-53,94
4.245307445,-49,100
4.745131493,-49,100
5.245218277,-53,94
5.744975090,-59,82
6.245087147,-53,94
6.745106220,-55,90
7.245243072,-60,80
7.744927883,-49,100
8.245252609,-49,100
8.745088577,-57,86
9.245052337,-62,76
9.745102405,-49,100
10.245211124,-64,72
10.744887829,-49,100
11.245226383,-47,100
11.745070457,-57,86
12.245079994,-57,86
12.745003223,-53,94
13.245088100,-51,98
13.744915485,-57,86
14.245014667,-60,80
14.744866848,-55,90
15.245067119,-55,90
15.744838238,-55,90
16.245036602,-59,82
16.744878769,-57,86
17.245012760,-60,80
17.744846821,-53,94
18.245018482,-59,82
18.744827270,-57,86
19.245141029,-55,90
19.744996548,-47,100
20.245117664,-47,100
20.744959354,-53,94
21.245024204,-51,98
21.745022297,-60,80
22.245167255,-57,86
22.745054722,-58,84
23.245197773,-57,86
23.745017052,-59,82
24.245158672,-53,94
24.745046616,-49,100
25.245156288,-59,82
25.745043755,-69,62
26.245198726,-62,76
26.745046616,-62,76
27.245172977,-53,94
27.745020866,-59,82
28.245119095,-59,82
28.744908810,-62,76
29.244955063,-65,70
29.744783878,-59,82
30.244983196,-49,100
30.744830608,-45,100
31.244956016,-49,100
31.744797707,-53,94
32.245009422,-53,94
32.744844913,-43,100
33.244948387,-49,100
33.744796276,-59,82
34.245141029,-51,98
34.744781494,-51,98
35.245123386,-51,98
35.744974613,-57,86
36.245048523,-55,90
36.744816780,-45,100
37.245083332,-49,100
37.744963646,-51,98
38.245107174,-53,94
38.744921207,-45,100
39.245138645,-62,76
39.744956493,-55,90
40.245050430,-51,98
41.245097637,-49,100
41.744889259,-65,70
42.245112419,-57,86
42.744956016,-53,94
43.245047569,-57,86
43.744919777,-51,98
44.244963646,-57,86
44.744804859,-62,76
45.244963646,-58,84
45.744742393,-59,82
46.244949817,-53,94
46.744716167,-57,86
47.244920730,-57,86
47.744752407,-57,86
48.244904518,-59,82
48.744793415,-59,82
49.244911671,-59,82
49.744765758,-63,74
50.245059013,-53,94
50.744870186,-65,70
51.245016098,-55,90
51.744799614,-59,82
52.244861126,-60,80
52.744908810,-57,86
53.245053768,-51,98
53.744756222,-57,86
54.245083809,-62,76
54.744901180,-53,94
55.244888782,-53,94
55.744933128,-65,70
56.245042324,-59,82
56.744724274,-55,90
57.245095730,-51,98
57.744900227,-49,100
58.244913101,-53,94
58.744829178,-47,100
59.244910240,-41,100
59.744747162,-49,100
60.244837761,-49,100
60.744677544,-47,100
61.244887352,-45,100
61.744712353,-45,100
62.244916439,-45,100
62.744683266,-39,100
63.244846344,-41,100
63.744717121,-41,100
64.244823932,-42,100
64.744691849,-41,100
65.245023727,-51,98
65.744801521,-60,80
66.244967937,-55,90
66.744712830,-57,86
67.244776726,-47,100
67.744853496,-51,98
68.244998455,-53,94
68.744885921,-51,98
69.244993687,-55,90
