Time (s),Humidity (%)
0.499212742,11.32422
1.500161648,11.09961
2.501109600,12.13574
3.499536514,11.08789
4.500485897,12.07324
5.498913765,11.21289
6.499863148,10.62695
7.500813007,11.18848
8.499241829,10.90137
9.500191688,11.10156
10.501142025,12
11.499570846,11.81348
12.500521183,12.64941
13.498950481,11.03906
14.499901295,10.92676
15.500852585,10.80273
17.500232696,10.75293
18.501183987,11.18945
19.499614239,10.64063
20.500565052,12.36328
21.498995304,10.97754
22.499946594,9.779297
23.500898361,9.816406
24.499328136,10.79102
26.498710155,11.31543
27.499661446,11.52734
28.500613212,11.42773
30.499995232,11.20313
31.500946998,11.73926
32.499376774,10.72852
33.500328064,10.97754
34.498758316,11.42676
35.499709129,11.66406
36.500660419,11.02734
37.499090671,10.00391
38.500041962,11.33984
39.500993252,10.85254
40.499422073,10.44043
41.500373363,11.30176
42.498803615,11.87598
43.499753952,11.17676
44.500705242,11.77637
45.499134540,11.48926
46.500084877,11.73926
47.498514175,10.70313
48.499464989,10.71484
49.500415325,11.25195
50.498844147,11.87598
51.499794483,10.51465
52.500744820,10.90234
53.499173164,10.65234
54.500123024,11.28906
55.498552322,11.28906
56.499501705,10.81445
57.500451565,9.828125
58.498879909,10.67676
59.499829292,10.37695
60.500778675,10.67676
61.499206543,10.72656
62.500154972,11.6377
63.498582840,10.45117
64.499531746,11.16309
65.500480175,11.22559
66.498906612,11.27441
67.499854565,11.97363
68.500802040,11.64844
69.499228001,11.01172
70.500174522,11.73535
71.498599529,11.81055
72.499545574,10.15039
73.500491619,11.06055
74.498915672,11.52246
75.499860763,11.07324
76.500805378,10.64844
77.499228477,10.97266
78.500172615,12.48145
79.498595238,11.20898
80.499538898,10.88477
81.500482082,10.73438
82.498903274,11.74414
83.499846458,10.55957
84.500788689,9.709961
85.499209881,12.29199
86.500151634,11.43164
87.498572349,10.94531
88.499513626,10.94531
89.500454903,10.91992
90.498874664,11.14453
91.499815464,10.2334
92.498234749,11.92969
93.499175072,11.72949
94.500114918,11.15625
95.498533726,11.8291
96.499473572,12.14063
97.500412941,11.11816
98.498830795,10.96777
99.499770164,11.84082
100.498187065,11.62891
101.499125957,11.16699
102.500063896,11.97754
103.498480797,10.83008
104.499418735,10.76758
105.500356197,10.72949
106.498772621,11.60254
107.499710083,10.70508
108.500647068,11.82715
109.499062538,11.10352
110.499999523,11.87598
111.498414993,11.92578
112.499351501,12.02539
113.500287533,11.83887
114.498703003,10.89063
115.499638557,11.18945
116.498054027,10.5166
117.498990059,11.27734
118.499925613,11.23926
119.498340130,11.46387
120.499276161,10.05469
121.500212192,11.35156
122.498626232,11.58887
123.499561787,11.13965
124.497975826,11.30176
125.498911381,11.01465
126.499846458,10.77734
127.498260498,10.56543
128.499195099,11.21387
129.500130176,11.6748
130.498543262,11.7002
131.499477863,10.88965
132.500412464,12.02344
133.498826027,12.08594
134.499760628,10.75195
135.498173714,10.71484
136.499107361,10.81445
