Time (s),Power (dBm),Percentage (%)
0.402815819,-59,82
0.903073311,-59,82
1.402956009,-59,82
1.903024674,-59,82
2.402986527,-60,80
2.903122902,-59,82
3.402795315,-60,80
3.903123856,-59,82
4.402830124,-59,82
4.902951241,-59,82
5.402933121,-62,76
5.902963162,-62,76
6.402963638,-59,82
6.903058529,-62,76
7.402809143,-67,66
7.903099537,-65,70
8.402754784,-62,76
8.903107167,-60,80
9.402864456,-62,76
9.902911186,-62,76
10.402906418,-64,72
10.902935505,-55,90
11.402919293,-49,100
11.903043270,-53,94
12.402772427,-55,90
12.903071404,-51,98
13.402731419,-55,90
13.902921200,-57,86
14.402882099,-53,94
14.902912617,-60,80
15.402876377,-60,80
15.902972698,-63,74
16.402717114,-62,76
16.903048516,-57,86
17.402762890,-59,82
17.903021336,-69,62
18.402894497,-62,76
18.902865410,-60,80
19.402854920,-57,86
19.902987957,-62,76
20.402709007,-67,66
20.902992249,-67,66
21.402701855,-62,76
21.903005600,-65,70
22.402675629,-65,70
22.902914047,-71,58
23.402865887,-67,66
23.902958870,-65,70
24.402774811,-62,76
24.902966976,-62,76
25.402704716,-59,82
25.903003216,-62,76
26.402760029,-59,82
26.902884960,-59,82
27.402842522,-61,78
27.902873039,-59,82
28.402838230,-62,76
28.902943611,-65,70
29.402658463,-59,82
29.902916432,-62,76
30.402650833,-62,76
30.902862549,-55,90
31.402751923,-60,80
31.902820111,-64,72
32.402813912,-64,72
32.902926922,-62,76
33.402644158,-59,82
33.902916908,-64,72
34.402659893,-59,82
34.902940750,-57,86
35.402761459,-55,90
35.902775765,-53,94
36.402791500,-55,90
36.902937889,-62,76
37.402629852,-69,62
37.902892113,-65,70
38.402590275,-59,82
38.902800560,-59,82
39.402695656,-53,94
39.902768612,-57,86
40.402636051,-53,94
40.902730942,-55,90
41.402744770,-59,82
41.902761936,-61,78
42.402615070,-62,76
42.902901650,-67,66
43.402694702,-65,70
43.902724743,-65,70
44.402709007,-59,82
44.902760029,-60,80
45.402703285,-71,58
45.902791023,-62,76
46.402532578,-60,80
46.902875900,-59,82
47.402531147,-59,82
47.902706623,-59,82
48.402686596,-59,82
48.902709961,-60,80
49.402516842,-60,80
