Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.900242329,48.734,33.53
1.899648190,48.72,33.532
2.901558876,48.752,33.532
3.900965214,48.788,33.534
4.900371552,48.748,33.536
5.899778366,48.756,33.536
6.899185181,48.75,33.538
7.901096821,48.78,33.54
8.900504589,48.72,33.54
9.899911881,48.74,33.542
10.899319649,48.748,33.544
11.901231766,48.818,33.544
12.900640011,48.774,33.546
13.900047779,48.782,33.548
14.899456024,48.822,33.548
15.901369572,48.734,33.548
16.900778294,48.82,33.55
17.900187493,48.844,33.55
18.899596215,48.82,33.552
19.901509762,48.816,33.552
20.900919438,48.83,33.554
21.900329113,48.798,33.554
22.899739266,48.832,33.556
23.899148941,48.844,33.558
24.901063919,48.886,33.558
25.900474072,48.908,33.56
26.899884224,48.878,33.56
27.899295330,48.86,33.562
28.901210308,48.86,33.562
29.900620938,48.886,33.564
30.900031090,48.91,33.564
31.899442196,48.92,33.564
32.901357651,48.88,33.566
33.900768757,48.896,33.566
34.900180340,48.906,33.568
35.899590969,48.904,33.568
36.901506901,48.858,33.568
37.900918484,48.92,33.568
38.900329113,48.912,33.568
39.899740696,48.876,33.57
40.899152279,48.918,33.57
41.901068688,48.886,33.57
42.900480271,48.914,33.57
43.899891854,48.922,33.572
44.899303436,48.904,33.572
45.901220322,48.92,33.572
46.900631905,48.926,33.572
47.900043488,48.95,33.572
48.899455548,48.904,33.574
49.901372910,48.9,33.574
50.900784970,48.924,33.574
51.900196552,48.922,33.574
52.899608612,48.91,33.574
53.899021149,48.934,33.574
54.900938034,48.926,33.574
55.900350094,48.954,33.576
56.899763108,48.952,33.576
57.899175167,48.91,33.576
58.901092053,48.924,33.576
59.900505066,48.962,33.576
60.899917603,48.954,33.576
61.899330139,48.95,33.578
62.901247978,48.984,33.578
63.900660992,48.984,33.578
64.900073052,48.984,33.578
65.899486065,48.954,33.578
66.898899555,48.994,33.58
67.900817394,48.98,33.58
68.900229931,48.964,33.58
69.899643898,48.938,33.582
70.899056435,48.962,33.582
71.900974751,48.98,33.582
72.900388241,48.92,33.584
73.899802685,48.972,33.584
74.899216175,48.956,33.584
75.901134491,48.99,33.586
76.900548935,48.966,33.586
77.899962902,48.954,33.586
78.899376393,49.03,33.586
79.898790837,48.97,33.588
80.900709629,49.03,33.588
81.900124550,48.974,33.588
82.899538994,49.05,33.59
83.898952961,48.982,33.59
84.900872708,49.008,33.59
85.900287152,49.06,33.59
86.899702072,49.002,33.59
87.899116993,49.01,33.592
88.901036263,49.026,33.592
89.900451184,49.036,33.592
90.899867058,48.992,33.594
91.899281979,49.002,33.594
92.898697376,49.062,33.594
93.900617600,49.03,33.596
94.900033474,49.088,33.596
95.899448872,49.02,33.598
96.898864269,49.03,33.598
97.900785446,49.082,33.598
98.900200844,49.034,33.6
99.899617195,49.072,33.6
100.899033547,49.104,33.6
101.900954247,49.076,33.602
102.900371075,49.098,33.602
103.899787426,49.08,33.602
104.899204254,49.056,33.604
105.898621559,49.124,33.604
106.900542736,49.118,33.606
107.899960518,49.05,33.606
108.899377346,49.09,33.606
109.898795128,49.126,33.608
110.900717259,49.104,33.608
111.900135040,49.128,33.61
112.899553299,49.164,33.61
113.898970604,49.17,33.612
114.900893688,49.128,33.612
115.900311947,49.162,33.614
116.899730206,49.168,33.614
117.899148941,49.18,33.616
118.898568154,49.142,33.616
119.900491715,49.148,33.618
120.899910450,49.148,33.618
121.899329186,49.16,33.62
122.898748875,49.134,33.62
123.900672436,49.164,33.622
124.900092125,49.158,33.622
125.899511814,49.198,33.624
126.898931504,49.234,33.624
127.900856018,49.176,33.626
128.900275707,49.224,33.626
129.899695873,49.208,33.628
130.899115563,49.178,33.628
131.898535729,49.192,33.628
132.900460720,49.212,33.628
133.899880886,49.204,33.628
134.899301052,49.188,33.63
135.898721695,49.188,33.63
136.900646210,49.246,33.63
137.900066853,49.192,33.63
138.899487019,49.23,33.63
139.898907185,49.218,33.63
140.900832176,49.188,33.63
141.900252342,49.228,33.63
142.899672032,49.208,33.628
143.899092198,49.212,33.628
144.898511887,49.18,33.628
145.900436878,49.184,33.628
146.899856091,49.144,33.628
147.899275780,49.192,33.626
148.898695469,49.18,33.626
149.900619507,49.186,33.626
150.900039196,49.136,33.626
151.899458885,49.174,33.626
152.898878575,49.194,33.626
153.900803566,49.24,33.626
154.900222779,49.184,33.626
155.899642468,49.224,33.626
156.899062634,49.212,33.628
157.898482800,49.204,33.628
158.900407315,49.234,33.628
159.899827481,49.258,33.628
160.899247647,49.204,33.628
161.898667813,49.204,33.63
162.900593758,49.204,33.63
163.900013924,49.23,33.63
164.899434567,49.214,33.632
165.898855210,49.252,33.632
166.898275852,49.24,33.632
167.900201321,49.26,33.632
168.899622441,49.292,33.634
169.899043560,49.238,33.634
170.898465157,49.248,33.636
171.900390625,49.27,33.636
172.899812222,49.222,33.636
173.899233818,49.234,33.638
174.898655415,49.248,33.638
175.900582314,49.212,33.64
176.900003910,49.264,33.64
177.899425984,49.26,33.64
178.898848057,49.212,33.64
180.900197506,49.298,33.642
181.899620533,49.336,33.644
182.899042607,49.278,33.644
183.898465634,49.312,33.644
184.900393009,49.336,33.646
185.899816036,49.3,33.646
186.899239063,49.308,33.646
187.898661614,49.28,33.648
188.900589943,49.344,33.648
189.900012970,49.31,33.648
190.899436474,49.32,33.648
191.898859501,49.326,33.65
192.898283005,49.324,33.65
193.900211334,49.308,33.65
194.899634361,49.338,33.65
195.899057865,49.336,33.652
