Time (s),W,X,Y,Z
0.012321472,0.7981046,0.4145761,-0.3478063,0.2584845
0.046968460,0.7981643,0.4145338,-0.3477626,0.2584269
0.079142094,0.7983105,0.4143325,-0.3476635,0.2584316
0.111314297,0.7984219,0.4141995,-0.3476474,0.2583221
0.145961762,0.7984923,0.4140958,-0.3476733,0.2582361
0.178134918,0.7985827,0.4137405,-0.3477613,0.2584069
0.212781906,0.798631,0.4133202,-0.34799,0.2586227
0.244954586,0.798547,0.4135064,-0.3481117,0.2584204
0.279602528,0.7986451,0.4132304,-0.3481685,0.2584823
0.311775208,0.7987139,0.4130024,-0.3482777,0.2584865
0.346422672,0.798668,0.4130209,-0.3483974,0.2584378
0.378595352,0.7985885,0.4132338,-0.3484437,0.2582808
0.413242817,0.7986452,0.4131582,-0.3484406,0.2582303
0.445415974,0.7985934,0.4129058,-0.3487268,0.2584084
0.480062962,0.798358,0.4130773,-0.3491334,0.2583126
0.512235642,0.7981197,0.413387,-0.3495246,0.258024
0.546883583,0.7980863,0.4133703,-0.3497281,0.2578782
0.579056263,0.7981147,0.4130284,-0.3500249,0.2579354
0.613703728,0.7980709,0.4128708,-0.3502806,0.2579766
0.645876408,0.7979183,0.4129788,-0.3505841,0.2578629
0.678049088,0.797842,0.4131982,-0.350738,0.2575385
0.712697029,0.7978809,0.413074,-0.3508788,0.257425
0.744869232,0.7979302,0.4126438,-0.3510854,0.2576806
0.779516697,0.7979751,0.412587,-0.351128,0.2575747
0.811689854,0.7980853,0.4123405,-0.3512029,0.257526
0.846336842,0.7980623,0.4122581,-0.3513744,0.2574952
0.878509522,0.798088,0.4122257,-0.3513851,0.2574524
0.913157463,0.7980614,0.4122262,-0.3514399,0.2574595
0.945330143,0.7979853,0.4123488,-0.3514829,0.25744
0.979978085,0.7980361,0.4124272,-0.3513671,0.2573148
1.012150288,0.7980108,0.4127431,-0.351292,0.2569895
1.046798229,0.7979119,0.413021,-0.3513768,0.2567337
1.078970909,0.7975412,0.4133794,-0.3517743,0.2567648
1.113617897,0.7971313,0.4137284,-0.3523189,0.2567289
1.145791531,0.7967374,0.4138712,-0.3530493,0.2567175
1.177963734,0.7960582,0.4143586,-0.3541302,0.2565496
1.212611198,0.7957678,0.4143457,-0.3548618,0.2564609
1.244784355,0.7958107,0.4138437,-0.3552018,0.2566675
1.279431343,0.7958193,0.4134823,-0.3554166,0.2569252
1.311604023,0.7959716,0.4132244,-0.3552407,0.2571124
1.346251965,0.7963436,0.4130286,-0.3545571,0.257218
1.378424645,0.7968712,0.4127727,-0.3537533,0.2571018
1.413072109,0.7969836,0.4131663,-0.3530766,0.2570512
1.445244789,0.7972064,0.4132711,-0.352409,0.2571082
1.479892731,0.7974304,0.4136477,-0.3516882,0.2567943
1.512065411,0.7972701,0.4146251,-0.351327,0.2562096
1.546712399,0.7975403,0.4146086,-0.3509383,0.2559277
1.578885555,0.7979005,0.4141625,-0.350714,0.2558351
1.613533020,0.7982834,0.4134637,-0.3506453,0.2558654
1.645705700,0.7985609,0.4128208,-0.3506397,0.2560453
1.680353165,0.7987205,0.4124925,-0.3506351,0.2560821
1.712525845,0.7989265,0.4123007,-0.3504654,0.2559808
1.744698525,0.7992061,0.4119684,-0.3502559,0.2559298
1.811518669,0.7994286,0.412039,-0.3498373,0.2556936
1.846166611,0.7994581,0.4122548,-0.34963,0.2555371
1.878339291,0.7996235,0.412148,-0.3494014,0.2555048
1.912987232,0.7998632,0.4120665,-0.3491573,0.2552195
1.945159912,0.8000303,0.4118979,-0.3490291,0.2551429
1.979806900,0.8002262,0.4113964,-0.3490549,0.2553025
2.011980057,0.8002869,0.4112392,-0.3491251,0.2552697
2.046627522,0.8001907,0.4112957,-0.3492996,0.2552413
2.078800678,0.8000929,0.4113776,-0.3493777,0.2553088
