Time (s),W,X,Y,Z
0.002521515,0.7988714,-0.5290342,-0.005226522,0.2802282
0.035297871,0.7987993,-0.5291365,-0.005293338,0.280239
0.068075180,0.7989354,-0.5289096,-0.005581518,0.2802739
0.100852013,0.7986271,-0.5293376,-0.00569808,0.2803422
0.133628368,0.7981489,-0.5300344,-0.005725686,0.280387
0.168926716,0.7978803,-0.5304604,-0.005974074,0.2803406
0.201703548,0.7974574,-0.5310922,-0.006181963,0.2803429
0.234480381,0.7970444,-0.5316987,-0.006283288,0.2803659
0.267257690,0.796811,-0.5320494,-0.006480193,0.2803596
0.300034046,0.7968692,-0.5319908,-0.006880923,0.2802955
0.335332394,0.796745,-0.5321035,-0.007137881,0.2804281
0.368108749,0.7964055,-0.5325042,-0.007158792,0.2806312
0.400886059,0.7963306,-0.5325972,-0.007373891,0.2806616
0.433662891,0.7963361,-0.5325909,-0.00765114,0.2806507
0.468960762,0.7959197,-0.5331687,-0.007563037,0.2807378
0.501737595,0.7956856,-0.5335098,-0.007641626,0.2807508
0.534513950,0.7957609,-0.5334221,-0.008016759,0.2806933
0.567291260,0.7956331,-0.5336643,-0.008227034,0.280589
0.600068569,0.7954494,-0.5339823,-0.008461704,0.2804984
0.635365963,0.7953069,-0.5341534,-0.008615901,0.280572
0.668143273,0.795028,-0.5345292,-0.008602127,0.2806467
0.700920105,0.7949007,-0.5346899,-0.008642874,0.2807002
0.733696938,0.7948281,-0.5348036,-0.008633477,0.2806893
0.768995285,0.7946078,-0.5351317,-0.008443103,0.2806938
0.801771641,0.7942671,-0.5356035,-0.008142763,0.2807671
0.834548474,0.7942167,-0.5357167,-0.008031343,0.280697
0.867325783,0.793979,-0.5360759,-0.0078876,0.2806869
0.900102139,0.7938997,-0.5362287,-0.007759372,0.2806235
0.935400486,0.7937731,-0.5364463,-0.007579032,0.2805706
0.968177795,0.7935108,-0.5368025,-0.007250861,0.28064
1.000954151,0.7933655,-0.5369069,-0.006863941,0.2808605
1.033730984,0.7931285,-0.5371477,-0.006406621,0.2810802
1.069028854,0.7928058,-0.5375463,-0.005761665,0.2812427
1.101806164,0.7926885,-0.5376586,-0.00536528,0.2813662
1.134582996,0.7925803,-0.537814,-0.004875529,0.2813832
1.167359352,0.7922275,-0.5382945,-0.003936266,0.2814727
1.200136662,0.7925674,-0.5377656,-0.00372995,0.2815293
1.235434532,0.7927252,-0.5375283,-0.003670505,0.2815391
1.268211365,0.7925341,-0.5377986,-0.003338225,0.2815655
1.300988674,0.7927096,-0.5374663,-0.003173531,0.2817071
1.333765030,0.7928747,-0.5371713,-0.00276714,0.2818097
1.369063377,0.7929547,-0.5369689,-0.002281049,0.2819746
1.401840210,0.7931991,-0.5365583,-0.001841873,0.2820722
1.434617043,0.7934502,-0.5361952,-0.001454373,0.2820587
1.467393875,0.793533,-0.536046,-0.001001712,0.2821113
1.500170231,0.7937245,-0.5357965,-0.0006977575,0.2820476
1.535468578,0.7935129,-0.5360917,-0.0002554732,0.2820826
1.568245888,0.7933809,-0.5362648,-0.0001550567,0.2821252
1.601022244,0.7932574,-0.5364286,-1.20981E-05,0.2821606
1.633799553,0.7930799,-0.5366656,0.0001032592,0.2822095
1.669097901,0.7929453,-0.5368056,0.0001773746,0.2823212
1.701874256,0.7930506,-0.5366256,0.0002137111,0.2823675
1.734651089,0.7931266,-0.5364954,0.0004079592,0.2824009
1.767427921,0.7929324,-0.5367139,0.0007385929,0.2825308
1.800204754,0.7929652,-0.5366372,0.0009355205,0.2825835
1.835503102,0.7929692,-0.5367046,0.001086305,0.2824438
1.868279457,0.7929854,-0.536764,0.001206791,0.2822854
1.901056767,0.7929955,-0.5367798,0.001272378,0.2822264
1.933833122,0.7928685,-0.5369245,0.001480187,0.2823067
1.969131470,0.7926859,-0.5371168,0.001752552,0.2824519
2.001908779,0.7926784,-0.5370609,0.001845118,0.2825789
2.034685135,0.7926581,-0.5370631,0.001762547,0.2826321
2.067461967,0.7924768,-0.5372813,0.002036265,0.282724
2.100239277,0.7925271,-0.5372002,0.002137543,0.2827364
2.135537148,0.7923673,-0.5375196,0.002174988,0.2825769
2.168313980,0.7921906,-0.5378332,0.002176451,0.2824756
2.201091290,0.7922884,-0.5377628,0.001956639,0.2823367
2.233867645,0.7923158,-0.5377743,0.001665902,0.2822402
2.266644478,0.7918676,-0.5384012,0.001717914,0.2823021
2.301942349,0.7918363,-0.5384846,0.001476009,0.2822324
2.334719658,0.7918447,-0.5384706,0.001085944,0.2822373
2.367496491,0.7917028,-0.5387074,0.0008281816,0.2821841
2.400272846,0.7915244,-0.5389787,0.0006285916,0.2821674
2.435571194,0.7915576,-0.5389677,0.0003428016,0.2820956
2.468348503,0.7916362,-0.5389467,3.674038E-05,0.2819152
2.501124859,0.7914713,-0.5391644,-4.586953E-05,0.2819621
2.533902168,0.7913465,-0.5392722,-0.0001172459,0.2821063
2.566678524,0.7912068,-0.5394937,-0.0002745978,0.2820745
2.601976872,0.7910839,-0.5396987,-0.0005180619,0.2820268
2.634753704,0.791014,-0.5398251,-0.0007632309,0.2819798
2.667530537,0.7909463,-0.5399322,-0.001071316,0.2819642
2.700307369,0.7908817,-0.5401152,-0.001358663,0.2817933
2.735605240,0.7908598,-0.5402331,-0.00168406,0.2816274
2.768382073,0.7907463,-0.5403805,-0.001869419,0.2816622
2.801159382,0.7905624,-0.5406177,-0.001968238,0.2817224
2.833935738,0.7905437,-0.5406391,-0.002050629,0.2817328
2.866713047,0.7903947,-0.5408904,-0.002092601,0.2816685
2.902011395,0.7902852,-0.5411232,-0.002119978,0.2815284
2.934787750,0.7902821,-0.5412028,-0.002120604,0.2813839
2.967564583,0.7900121,-0.5415579,-0.001710816,0.2814614
3.000341892,0.7898244,-0.5418432,-0.001076991,0.2814429
3.035639763,0.7899833,-0.5416361,0.0002160923,0.2813971
3.068416595,0.7901176,-0.5415859,0.001328213,0.2811138
3.101192951,0.789681,-0.5422974,0.002219297,0.2809633
3.133970261,0.789618,-0.542448,0.00241303,0.2808477
3.166747093,0.789213,-0.5431611,0.002802694,0.2806041
3.202044964,0.7887511,-0.5441312,0.003833155,0.2800108
3.234822273,0.7909775,-0.5416042,0.005128358,0.2786052
3.267599106,0.7918215,-0.5408409,0.009951628,0.277558
3.300375462,0.7836176,-0.5520841,0.02539409,0.2777217
3.335674286,0.7657955,-0.5763901,0.06170931,0.2723069
3.368450642,0.7599581,-0.5850554,0.1040073,0.2568735
3.401227474,0.7681758,-0.5744153,0.1471626,0.2343579
3.434004784,0.7755154,-0.5602549,0.1971122,0.2060693
3.466781139,0.7856213,-0.5372258,0.2456404,0.1745732
3.502079487,0.7974308,-0.5046849,0.2933749,0.1412659
3.534856796,0.8047915,-0.4748401,0.3332898,0.1112789
