Time (s),Power (dBm),Percentage (%)
0.235023022,-61,78
0.734933853,-61,78
1.234971523,-61,78
1.734909058,-61,78
2.235034466,-61,78
2.734708786,-60,80
3.235082149,-60,80
3.734781742,-60,80
4.235065460,-61,78
4.734901428,-57,86
5.234895706,-55,90
5.734899998,-55,90
6.235061645,-59,82
6.734746456,-51,98
7.234960079,-53,94
7.734962940,-59,82
8.234962463,-69,62
8.734939098,-57,86
9.235089302,-59,82
9.734753132,-57,86
10.235044956,-57,86
10.734724045,-61,78
11.235031605,-47,100
11.734899998,-57,86
12.234882831,-62,76
12.734772205,-69,62
13.235025883,-62,76
13.734683990,-59,82
14.234943390,-59,82
14.734807491,-60,80
15.234802723,-59,82
15.736830711,-63,74
16.236878872,-62,76
16.736851692,-64,72
17.236971855,-64,72
17.736692429,-60,80
18.236862659,-58,84
18.736793995,-59,82
19.236833095,-55,90
19.736731052,-59,82
20.236896515,-55,90
20.736550808,-53,94
21.236873150,-67,66
21.736526489,-53,94
22.236823559,-55,90
22.736692429,-57,86
23.236670494,-57,86
23.736621380,-57,86
24.236805439,-53,94
24.736477852,-65,70
25.236727238,-65,70
25.736592293,-60,80
26.236651897,-53,94
26.736532211,-57,86
27.236588955,-53,94
27.736398220,-59,82
28.236630440,-60,80
28.736374855,-57,86
29.236657142,-60,80
29.736435413,-51,98
30.236494064,-57,86
30.736456871,-57,86
31.236555099,-49,100
31.736296654,-64,72
32.236602306,-57,86
32.736304760,-62,76
33.236582279,-62,76
33.736382484,-51,98
34.236402988,-57,86
34.736374855,-65,70
35.236493110,-65,70
35.736207008,-62,76
36.236466884,-64,72
36.736314773,-64,72
37.236335754,-64,72
37.736281872,-62,76
38.236340999,-55,90
38.736122608,-65,70
39.236427307,-57,86
39.736104965,-63,74
40.236379146,-57,86
40.736207962,-63,74
41.236211300,-55,90
41.736051083,-61,78
42.236341953,-67,66
42.736006260,-59,82
43.236150741,-53,94
43.736071587,-54,92
44.236570835,-61,78
44.736197472,-67,66
45.236391544,-53,94
45.736864567,-65,70
46.236787319,-57,86
46.736632347,-57,86
47.236927986,-53,94
47.736628056,-55,90
48.236784458,-57,86
48.736742020,-65,70
49.236826896,-53,94
49.736592770,-57,86
50.236853123,-59,82
50.736542225,-61,78
51.236858368,-51,98
51.736668587,-53,94
52.236671448,-60,80
52.736641407,-59,82
53.236807823,-55,90
53.736487865,-53,94
54.236751556,-55,90
54.736462593,-57,86
55.236752510,-57,86
55.736603260,-55,90
56.236592293,-61,78
56.736530304,-53,94
57.236720085,-65,70
57.736436844,-55,90
58.236652374,-59,82
58.736504078,-60,80
59.236503601,-60,80
59.736503601,-59,82
60.236463547,-60,80
60.736497402,-53,94
61.236613273,-62,76
61.736313820,-57,86
62.236546993,-60,80
62.736428261,-59,82
63.236435413,-53,94
63.736369610,-55,90
64.236542225,-53,94
64.736221790,-53,94
65.236479282,-55,90
65.736206055,-58,84
66.236467361,-59,82
66.736294746,-51,98
67.236352920,-57,86
67.736215591,-60,80
68.236416817,-53,94
68.736080646,-57,86
69.236377716,-53,94
69.736248016,-60,80
70.236240864,-57,86
70.736212254,-59,82
71.236268043,-55,90
71.736184120,-53,94
72.236341476,-59,82
72.736055374,-57,86
73.236138820,-63,74
73.736118317,-61,78
74.236121654,-62,76
74.736093998,-65,70
75.236185074,-67,66
75.735962391,-55,90
76.236204147,-57,86
76.735932350,-57,86
77.236156463,-59,82
77.736019134,-53,94
78.236042976,-62,76
78.735932350,-57,86
79.236154556,-55,90
79.735820770,-57,86
80.236031055,-57,86
80.735817909,-57,86
81.236090183,-57,86
81.735836506,-55,90
82.235993862,-55,90
82.735870838,-62,76
83.235934734,-60,80
83.735767841,-53,94
84.236005783,-65,70
84.735745430,-53,94
85.235882282,-51,98
85.735819340,-51,98
86.235866070,-49,100
86.735822201,-51,98
87.235931396,-53,94
87.735638618,-55,90
88.235793114,-57,86
88.735780716,-53,94
89.235754967,-53,94
89.735721111,-55,90
90.235845089,-53,94
90.735605240,-60,80
91.235865116,-71,58
91.735513210,-59,82
92.235805511,-67,66
92.735681534,-57,86
93.235671043,-51,98
93.735457420,-61,78
94.235780239,-53,94
94.735441208,-53,94
