Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2665833,0.1020339,0.07868555,-0.04149963,0.2216742,-0.9726763,2.996535,-13.81037,27.1772,1008.281
0.032329559,-0.9109162,-0.07407448,-0.04319586,-0.03908286,0.2197225,-0.9794608,2.996535,-13.81037,27.1772,1008.282
0.064610004,-0.1052586,0.2194394,-0.1650773,-0.04151784,0.2259968,-0.9823205,2.996535,-13.81037,27.1772,1008.284
0.099372864,0.08066235,0.336845,0.1396262,-0.03570253,0.2226455,-0.9765509,2.997858,-14.5394,27.18644,1008.28
0.131653309,-1.282758,-0.1327773,0.01774484,-0.03522175,0.2226355,-0.9799361,2.997858,-14.5394,27.18644,1008.28
0.166416645,-1.220785,-0.0153717,0.01774484,-0.03473077,0.2216903,-0.9736578,4.096851,-13.8167,27.59639,1008.282
0.198697090,-0.7249953,-0.1327773,-0.04319586,-0.04199624,0.2260167,-0.9760347,3.346665,-13.45547,26.73135,1008.284
0.233456135,0.08066235,-0.19148,0.07868555,-0.04005334,0.2216603,-0.9779974,3.346665,-13.45547,26.73135,1008.285
0.265736103,-0.229206,-0.19148,-0.1650773,-0.04199253,0.2231,-0.9799188,2.983888,-13.45148,26.73686,1008.287
0.298016548,-0.4151269,-0.3675884,0.1396262,-0.03813711,0.2289215,-0.9789271,3.358651,-13.44984,27.16707,1008.287
0.332779884,-1.158811,0.04333108,0.01774484,-0.03523971,0.2298911,-0.9808616,3.358651,-13.44984,27.16707,1008.285
0.365060329,-1.716574,-0.19148,0.01774484,-0.03763884,0.2255633,-0.9707289,2.995873,-13.44585,27.17259,1008.289
0.399823665,-0.6630216,0.04333108,0.01774484,-0.03813707,0.2294104,-0.977474,3.710104,-13.82398,26.73045,1008.289
0.432099819,-0.1052586,0.3955477,0.200567,-0.04443245,0.2317973,-0.9817978,3.710104,-13.82398,26.73045,1008.285
0.464379787,-0.4151269,0.6303589,0.3224484,-0.03910627,0.2279329,-0.9842485,2.996535,-13.81037,27.1772,1008.285
0.499143600,-0.2911796,0.5716561,0.2615077,-0.03667297,0.2250722,-0.9736344,3.358651,-13.44984,27.16707,1008.285
0.531423569,-0.3531533,0.3955477,0.1396262,-0.03571428,0.2284609,-0.9741005,3.358651,-13.44984,27.16707,1008.285
0.566187382,-0.9109162,-0.0153717,-0.04319586,-0.03669009,0.23282,-0.97214,2.997196,-14.17488,27.18182,1008.286
0.598467350,-1.158811,-0.19148,-0.04319586,-0.03475758,0.2318413,-0.976984,2.633758,-13.80638,27.18272,1008.286
0.633226395,-1.034863,-0.19148,-0.1041366,-0.03864038,0.2386118,-0.9750035,2.633758,-13.80638,27.18272,1008.288
0.665506840,-0.4151269,-0.4262911,-0.04319586,-0.04201112,0.2323078,-0.9759989,3.360635,-14.54339,27.18092,1008.288
0.697787285,0.5764517,0.04333108,0.1396262,-0.04393706,0.226961,-0.981343,3.69878,-14.19413,26.29934,1008.288
0.732550621,0.8243463,0.2194394,0.200567,-0.03860622,0.2221386,-0.9808984,3.69878,-14.19413,26.29934,1008.288
0.764830589,0.2046097,0.6303589,0.200567,-0.03958965,0.2298869,-0.9784351,3.359312,-13.81435,27.17169,1008.288
0.799594402,-1.034863,0.2194394,0.07868555,-0.03427202,0.2323397,-0.9731148,2.996535,-13.81037,27.1772,1008.288
0.831870079,-0.1052586,0.1607366,0.07868555,-0.03716524,0.2294328,-0.9716747,2.996535,-13.81037,27.1772,1008.288
0.866633892,0.2046097,-0.3088856,0.07868555,-0.03620699,0.2323309,-0.9740775,2.983888,-13.45148,26.73686,1008.288
0.898913860,-0.4151269,-0.2501828,-0.04319586,-0.03524116,0.2313511,-0.9784361,3.359973,-14.17887,27.17631,1008.286
0.931194305,-0.229206,-0.2501828,-0.04319586,-0.03910905,0.2323194,-0.9750382,3.359973,-14.17887,27.17631,1008.286
0.965957642,-0.04328496,-0.07407448,-0.1041366,-0.03766233,0.232796,-0.9784227,3.359973,-14.17887,27.17631,1008.286
0.998238087,0.2665833,-0.07407448,0.07868555,-0.03716985,0.2308796,-0.9731168,3.710765,-14.18849,26.73506,1008.286
1.032997131,0.08066235,0.1020339,0.1396262,-0.03767109,0.236669,-0.9779172,2.983888,-13.45148,26.73686,1008.288
1.065277100,-0.5390742,0.1607366,-0.1041366,-0.03717874,0.2332862,-0.9769706,2.983888,-13.45148,26.73686,1008.286
1.100040913,-0.229206,0.2194394,0.01774484,-0.03427478,0.2323283,-0.9764989,3.370636,-13.4442,27.6028,1008.288
1.132320404,0.2665833,-0.0153717,0.07868555,-0.03378015,0.2279776,-0.9755577,2.98455,-13.816,26.74148,1008.288
1.164601326,0.142636,-0.07407448,-0.04319586,-0.03814512,0.232309,-0.9789078,2.98455,-13.816,26.74148,1008.288
1.199364185,-0.2911796,0.04333108,-0.1041366,-0.03959331,0.2332924,-0.9730979,3.347988,-14.1845,26.74058,1008.284
1.231640816,0.142636,-0.07407448,0.3224484,-0.0400653,0.2250314,-0.9828126,2.271643,-14.1669,27.19285,1008.284
1.266404152,-0.1672323,0.1020339,0.01774484,-0.0386306,0.2327883,-0.979871,2.271643,-14.1669,27.19285,1008.284
1.298684597,0.142636,-0.0153717,-0.1650773,-0.0395911,0.2313468,-0.9760095,3.34865,-14.54902,26.7452,1008.284
1.333447456,-0.2911796,0.04333108,0.07868555,-0.03910042,0.2269798,-0.979903,2.997196,-14.17488,27.18182,1008.285
1.365727424,-0.1672323,0.2194394,-0.04319586,-0.03909871,0.2284528,-0.9736099,2.997196,-14.17488,27.18182,1008.285
1.398007870,-0.1052586,0.1020339,-0.04319586,-0.03572661,0.2323192,-0.9779462,3.347988,-14.1845,26.74058,1008.283
1.432766914,-0.1672323,-0.0153717,-0.04319586,-0.03474786,0.2299269,-0.9707103,2.997196,-14.17488,27.18182,1008.281
1.465047836,-0.04328496,-0.1327773,-0.1650773,-0.03426378,0.2269985,-0.978463,2.997196,-14.17488,27.18182,1008.283
1.499810696,0.08066235,-0.2501828,0.01774484,-0.03136471,0.2289523,-0.9755574,2.995873,-13.44585,27.17259,1008.283
1.532091141,0.01868869,-0.0153717,0.07868555,-0.04490142,0.2264809,-0.9794098,3.34865,-14.54902,26.7452,1008.283
1.566854477,-0.6010479,-0.07407448,-0.04319586,-0.04005673,0.223601,-0.976536,3.34865,-14.54902,26.7452,1008.283
1.599134922,-0.6010479,-0.07407448,-0.226018,-0.04152383,0.2298813,-0.978431,3.009181,-14.16925,27.61755,1008.285
1.631410599,0.5764517,0.1607366,0.01774484,-0.03958719,0.2308744,-0.9726282,3.323356,-13.83126,25.86451,1008.285
1.666173935,0.328557,0.04333108,0.07868555,-0.0362156,0.2332726,-0.9818071,3.323356,-13.83126,25.86451,1008.285
1.698454380,0.2046097,-0.3088856,0.07868555,-0.03958001,0.2269948,-0.9750675,3.70878,-13.09495,26.72122,1008.285
1.733217716,-0.04328496,0.1020339,-0.1041366,-0.03572014,0.229414,-0.9784461,3.723412,-14.54737,27.17541,1008.285
1.765498161,-0.7249953,0.1607366,0.01774484,-0.03426972,0.2313719,-0.9731203,3.723412,-14.54737,27.17541,1008.286
1.797778130,-0.1052586,-0.19148,-0.04319586,-0.04297865,0.2318145,-0.9779334,3.347327,-13.81999,26.73596,1008.286
1.832537651,-0.1052586,-0.2501828,0.01774484,-0.03766166,0.2313327,-0.981815,3.359312,-13.81435,27.17169,1008.282
1.864817619,-0.6630216,-0.3088856,-0.04319586,-0.03862998,0.2308362,-0.9847164,3.359312,-13.81435,27.17169,1008.282
1.899580955,0.3905306,-0.19148,0.07868555,-0.04104012,0.2318381,-0.9726195,3.371297,-13.80872,27.60742,1008.284
1.931861401,1.196188,-0.19148,0.07868555,-0.03958921,0.2303773,-0.9764985,3.346665,-13.45547,26.73135,1008.284
1.966624260,0.9482936,0.04333108,0.07868555,-0.03716915,0.2299052,-0.9750562,2.623096,-14.54104,26.75623,1008.286
