Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.694301605,47.088,33.22
1.693641186,47.082,33.218
2.692980766,47.064,33.214
3.692319870,47.022,33.212
4.691688538,47.048,33.208
5.693531036,47.046,33.206
6.692894459,47.002,33.202
7.692232132,46.958,33.2
8.694073677,46.954,33.198
9.693409920,46.968,33.194
10.692809105,46.968,33.192
11.692144394,46.918,33.19
12.693984508,46.936,33.186
13.693383694,46.886,33.184
14.692718506,46.894,33.182
15.692068100,46.86,33.18
16.693906307,46.84,33.178
17.693315983,46.8,33.176
18.692697525,46.828,33.172
19.692030430,46.818,33.168
20.693867207,46.788,33.166
21.693323612,46.796,33.164
22.692655086,46.75,33.162
23.691987038,46.73,33.158
24.693822384,46.714,33.156
25.693152428,46.722,33.154
26.692482948,46.694,33.15
27.691812992,46.724,33.15
28.693647385,46.748,33.148
29.692976475,46.7,33.146
30.692305088,46.686,33.144
31.691676140,46.662,33.14
32.693509102,46.624,33.138
33.692837238,46.7,33.136
34.692164421,46.644,33.134
35.691494942,46.594,33.132
36.693358898,46.682,33.13
37.692762375,46.648,33.126
38.692088604,46.6,33.124
39.694040775,46.62,33.122
40.693366527,46.57,33.12
41.692693233,46.572,33.118
42.692018032,46.532,33.116
43.693846703,46.512,33.112
44.693170547,46.506,33.11
45.692494392,46.486,33.108
46.691837311,46.47,33.106
47.693903446,46.516,33.104
48.693225861,46.49,33.1
49.692547321,46.428,33.096
50.691868782,46.458,33.094
51.693694591,46.436,33.09
52.693014622,46.404,33.088
53.692335129,46.46,33.086
54.691654682,46.382,33.082
55.693478107,46.358,33.08
56.692797184,46.364,33.078
57.692115307,46.276,33.074
58.691458702,46.328,33.07
59.693359852,46.268,33.068
60.692676544,46.272,33.066
61.691993713,46.284,33.062
62.693814754,46.234,33.06
63.693130016,46.22,33.056
64.692445755,46.214,33.054
65.691760540,46.194,33.052
66.693750858,46.164,33.05
67.693069935,46.23,33.048
68.692472935,46.166,33.046
69.691786289,46.124,33.042
70.693603992,46.182,33.038
71.692916870,46.152,33.036
72.692291260,46.06,33.034
73.691602707,46.084,33.03
74.693418980,46.078,33.028
75.692836285,46.064,33.024
76.692146778,46.072,33.022
77.691456795,46.054,33.02
78.693272114,46.062,33.016
79.692581654,46.022,33.014
80.691890240,45.97,33.012
81.691198826,45.996,33.01
82.693011761,45.948,33.006
83.692319870,45.946,33.004
84.691648006,45.95,33.002
85.693459511,45.902,33
86.692766666,45.952,32.996
87.692259312,45.93,32.994
88.691565514,45.928,32.992
89.693376541,45.938,32.99
90.692682266,45.89,32.986
91.691987991,45.844,32.986
92.691292763,45.866,32.984
93.693102360,45.868,32.98
94.692406654,45.828,32.978
