Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.567065239,54.74609,91.3125,3.804375,275,0
1.446055412,54.73438,91.40625,3.805625,262.8125,0
2.501057625,54.72266,91.40625,3.80875,253.75,0
3.555841446,54.71094,91.3125,3.805625,256.5625,0
4.434881210,54.71094,91.5,3.8075,251.875,0
5.489636421,54.69922,91.59375,3.805625,258.75,0
6.544914245,54.6875,91.59375,3.805,274.375,0
7.423399925,54.67188,91.5,3.805625,274.375,0
8.478003502,54.66016,91.3125,3.800625,271.875,0
9.532882213,54.64844,91.5,3.80625,254.0625,0
10.411989212,54.64844,91.40625,3.804375,259.6875,0
11.466652393,54.63672,91.21875,3.805,255.9375,0
12.521579265,54.625,91.125,3.80375,261.875,0
13.576939583,54.61328,91.125,3.80625,262.5,0
14.455293178,54.60156,91.3125,3.806875,260.9375,0
15.509986400,54.60156,91.5,3.805625,250,0
16.564783573,54.58984,91.59375,3.804375,265,0
17.443980694,54.57422,91.40625,3.805,272.5,0
18.498559952,54.5625,91.40625,3.804375,277.1875,0
19.553478718,54.55078,91.40625,3.80125,274.375,0
20.432377338,54.55078,91.40625,3.805625,254.6875,0
21.487240791,54.53906,91.40625,3.80625,256.875,0
22.541901588,54.52734,91.3125,3.806875,275,0
23.421062469,54.51563,91.21875,3.805625,260.3125,0
24.475829601,54.50391,91.125,3.80375,263.4375,0
25.530502796,54.50391,91.21875,3.80625,256.25,0
26.409607887,54.49219,91.21875,3.805625,253.4375,0
27.464323997,54.47656,91.21875,3.806875,265.9375,0
28.519167423,54.46484,91.21875,3.804375,260,0
29.573883057,54.45313,91.21875,3.804375,263.125,0
30.452973842,54.45313,91.21875,3.804375,258.125,0
31.507879257,54.44141,91.03125,3.8025,276.25,0
32.562591553,54.42969,90.84375,3.80375,257.8125,0
33.441759586,54.41797,91.03125,3.805625,266.875,0
34.496376991,54.40625,91.125,3.803125,260,0
35.551097393,54.39453,91.03125,3.804375,264.6875,0
36.430254936,54.39453,91.03125,3.805625,266.5625,0
37.484788418,54.37891,91.125,3.804375,260,0
38.539781570,54.36719,91.125,3.805,253.4375,0
39.418727398,54.35547,91.21875,3.8025,272.5,0
40.473648071,54.35547,91.21875,3.805625,260.625,0
41.528322220,54.34375,91.125,3.805,269.375,0
42.583278656,54.33203,91.3125,3.803125,255.3125,0
43.462101936,54.32031,91.21875,3.805625,265.9375,0
44.516736030,54.30859,91.125,3.805,251.25,0
45.571649551,54.29688,91.03125,3.80375,267.5,0
46.450721741,54.29688,91.03125,3.805625,259.375,0
47.505412578,54.28125,91.125,3.805,262.5,0
49.439210415,54.25781,91.03125,3.805,264.0625,0
50.494007110,54.24609,90.9375,3.803125,274.0625,0
51.548684120,54.24609,90.84375,3.80375,260.9375,0
52.427835941,54.23438,90.75,3.80375,264.0625,0
53.482681751,54.22266,90.9375,3.8025,265,0
54.537297726,54.21094,91.125,3.8025,259.0625,0
55.416657925,54.19922,91.03125,3.80375,269.375,0
56.471056938,54.19922,91.03125,3.80125,269.375,0
57.526026249,54.18359,90.9375,3.80375,254.0625,0
59.459770679,54.16016,90.9375,3.8025,259.375,0
60.514656067,54.14844,90.84375,3.805,260,0
61.569243431,54.13672,90.75,3.80375,278.125,0
62.448646545,54.13672,90.65625,3.801875,258.4375,0
63.503015041,54.125,90.375,3.800625,263.125,0
64.557868957,54.11328,90.375,3.80125,273.4375,0
65.436855793,54.10156,90.65625,3.804375,248.75,0
66.491729259,54.08594,90.46875,3.801875,265.9375,0
67.546606064,54.08594,90.46875,3.805625,258.75,0
68.425457954,54.07422,90.46875,3.8025,253.4375,0
69.480167389,54.0625,90.46875,3.8025,260.3125,0
70.535137653,54.05078,90.65625,3.8025,269.6875,0
71.413984775,54.05078,90.65625,3.8,255.625,0
72.468934059,54.03906,90.5625,3.803125,260,0
73.523520946,54.02734,90.5625,3.8025,253.125,0
74.578457832,54.01563,90.5625,3.80375,244.6875,0
75.457506657,54.00391,90.46875,3.80375,257.8125,0
76.512279987,53.98828,90.5625,3.803125,266.5625,0
77.567044258,53.98828,90.5625,3.8025,265.9375,0
78.446091652,53.97656,90.5625,3.800625,275.3125,0
79.500836849,53.96484,90.5625,3.803125,248.4375,0
80.555476665,53.95313,90.5625,3.80125,254.375,0
81.434587479,53.94141,90.5625,3.803125,255.625,0
82.489492893,53.94141,90.5625,3.8025,253.75,0
83.544131279,53.92969,90.5625,3.80125,254.375,0
84.423059940,53.91797,90.5625,3.80125,269.375,0
85.477894306,53.90625,90.46875,3.800625,273.125,0
86.532742977,53.89063,90.375,3.800625,267.8125,0
87.411687851,53.89063,90.28125,3.800625,272.5,0
88.466609955,53.87891,89.90625,3.801875,260.3125,0
89.521431446,53.86719,90.09375,3.801875,257.8125,0
90.576030254,53.85547,90.1875,3.800625,271.5625,0
91.455242634,53.84375,90.1875,3.800625,273.75,0
92.509823322,53.83203,90.09375,3.801875,262.8125,0
93.564778328,53.83203,90.09375,3.8,257.5,0
94.443593979,53.82031,90.09375,3.80125,248.125,0
