Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.234404564,50.78,34.072
1.232741833,50.79,34.072
2.233562946,50.796,34.074
3.234383106,50.79,34.074
4.232720375,50.804,34.074
5.233541489,50.816,34.074
6.234361649,50.8,34.076
7.232699394,50.834,34.076
8.233520031,50.814,34.076
9.234341145,50.774,34.076
10.232678890,50.802,34.076
11.233499050,50.776,34.076
12.234320164,50.814,34.076
13.232657433,50.794,34.076
14.233478546,50.856,34.076
15.234299660,50.81,34.076
16.232636452,50.808,34.074
17.233457565,50.786,34.074
18.234278202,50.824,34.074
19.235099316,50.848,34.074
20.233436108,50.8,34.074
21.234256744,50.758,34.072
22.232594013,50.814,34.072
23.233414173,50.758,34.072
24.234233856,50.824,34.072
25.232571125,50.784,34.072
26.233391285,50.81,34.07
27.234211445,50.78,34.07
28.232548237,50.74,34.07
29.233368874,50.768,34.07
30.234188557,50.798,34.07
31.235008240,50.804,34.07
32.233345509,50.788,34.068
33.234165192,50.798,34.068
34.234985352,50.782,34.068
35.233321667,50.834,34.068
36.234141827,50.804,34.068
37.234961987,50.758,34.068
38.233298302,50.796,34.068
39.234118939,50.844,34.068
40.234939098,50.748,34.068
41.233275890,50.778,34.07
42.234096050,50.778,34.068
43.234916687,50.8,34.068
44.233253002,50.73,34.068
45.234073162,50.764,34.068
46.234893799,50.818,34.068
47.233230114,50.764,34.068
48.234049797,50.79,34.068
49.234870434,50.782,34.068
50.233206749,50.762,34.068
51.234026432,50.784,34.068
52.234847069,50.79,34.066
53.233183384,50.79,34.066
54.234003067,50.8,34.066
55.234822750,50.824,34.066
56.233158588,50.744,34.066
57.233978272,50.766,34.064
58.234797955,50.766,34.066
59.233134747,50.77,34.064
60.233953476,50.764,34.064
61.234773159,50.768,34.064
62.233108997,50.728,34.064
63.233928680,50.744,34.064
64.234747887,50.77,34.064
65.233084202,50.75,34.064
66.233903408,50.724,34.064
67.234722614,50.726,34.062
68.233058453,50.692,34.064
69.233878136,50.79,34.062
70.234697342,50.804,34.062
71.233032703,50.77,34.062
72.233851910,50.728,34.062
73.234671116,50.752,34.06
74.233006954,50.76,34.06
75.233825684,50.718,34.06
76.234644890,50.71,34.06
77.232980251,50.726,34.06
78.233798981,50.766,34.06
79.234617710,50.736,34.058
80.232953072,50.746,34.058
81.233771801,50.7,34.058
82.234591007,50.766,34.058
83.232925892,50.774,34.058
84.233744144,50.746,34.056
85.234562874,50.762,34.056
86.232897759,50.748,34.058
87.233716011,50.736,34.056
88.234535217,50.716,34.056
89.232869625,50.748,34.056
90.233688355,50.698,34.056
91.234507084,50.74,34.056
92.232841492,50.728,34.056
93.233660221,50.738,34.056
94.234478474,50.73,34.056
95.232813358,50.708,34.056
96.233632088,50.688,34.054
97.234450340,50.74,34.054
98.232785225,50.75,34.054
99.233603954,50.754,34.054
100.234421730,50.682,34.054
101.232756615,50.712,34.054
102.233574390,50.726,34.052
103.234392643,50.724,34.052
104.232727528,50.714,34.052
105.233544827,50.726,34.05
106.234362602,50.684,34.05
107.232697010,50.71,34.05
108.233514786,50.72,34.05
109.234332085,50.74,34.05
110.232666493,50.666,34.048
111.233484268,50.65,34.048
112.234301090,50.706,34.048
113.232635498,50.692,34.046
114.233452797,50.674,34.046
115.234270096,50.654,34.046
116.232603550,50.694,34.046
117.233420849,50.67,34.046
118.234237671,50.62,34.044
119.232571602,50.686,34.044
120.233387947,50.622,34.044
121.234205246,50.658,34.044
122.232538223,50.632,34.042
123.233354569,50.662,34.042
124.234170914,50.604,34.042
125.232503414,50.672,34.04
126.233319759,50.602,34.04
127.234135628,50.63,34.04
128.232468605,50.65,34.04
129.233284473,50.622,34.038
130.234100342,50.628,34.038
131.232431889,50.594,34.038
132.233247757,50.648,34.036
133.234062672,50.63,34.036
134.232395172,50.598,34.036
135.233210087,50.602,34.034
136.234025478,50.624,34.034
137.232357025,50.632,34.034
138.233171463,50.6,34.032
139.233986378,50.63,34.032
140.232317448,50.572,34.032
141.233132839,50.578,34.032
142.233947277,50.602,34.03
143.232278347,50.608,34.03
144.233092785,50.568,34.03
145.233907223,50.632,34.03
146.232238293,50.592,34.03
147.233052731,50.532,34.028
148.233867168,50.568,34.028
149.232197285,50.566,34.028
150.233011723,50.596,34.028
151.233826160,50.548,34.028
152.232156754,50.582,34.028
153.232971191,50.574,34.028
154.233785629,50.596,34.028
155.232116699,50.558,34.028
156.232931137,50.582,34.028
157.233745575,50.66,34.028
158.232076645,50.636,34.03
159.232891560,50.56,34.03
160.233705998,50.578,34.03
161.232037544,50.602,34.03
162.232851982,50.55,34.03
163.233667374,50.578,34.032
164.231998920,50.618,34.032
165.232813835,50.56,34.032
166.233629227,50.658,34.032
167.231960774,50.602,34.032
168.232776642,50.592,34.034
169.233591557,50.626,34.034
170.231924057,50.644,34.034
171.232738972,50.628,34.034
172.233554840,50.59,34.034
173.231886864,50.558,34.034
174.232701778,50.602,34.034
175.233516693,50.586,34.034
176.231848717,50.562,34.034
177.232663631,50.598,34.034
178.233478546,50.66,34.034
179.231810570,50.604,34.034
180.232625485,50.584,34.034
181.233440876,50.574,34.034
182.234255791,50.646,34.034
183.232587338,50.584,34.034
184.233403206,50.604,34.034
185.231735230,50.606,34.034
186.232550144,50.576,34.034
187.233366013,50.578,34.034
188.234180927,50.61,34.036
189.232513428,50.61,34.036
190.233329296,50.624,34.036
191.234144211,50.632,34.036
192.232476711,50.66,34.038
193.233292580,50.622,34.038
194.234107971,50.612,34.038
195.232440472,50.608,34.038
196.233256340,50.62,34.038
197.234072208,50.61,34.038
198.232404232,50.584,34.038
199.233219624,50.59,34.038
200.234035492,50.592,34.038
201.232367516,50.604,34.038
202.233183384,50.618,34.038
203.233999252,50.606,34.038
204.232331753,50.638,34.038
205.233147144,50.668,34.038
206.233963013,50.674,34.038
207.232295513,50.61,34.038
208.233111382,50.644,34.038
209.233926296,50.624,34.038
210.232258797,50.57,34.038
211.233074665,50.654,34.038
212.233890057,50.57,34.038
213.232222080,50.608,34.038
214.233036995,50.584,34.036
215.233852863,50.594,34.036
216.232183933,50.624,34.036
217.232998848,50.57,34.034
218.233814240,50.602,34.034
219.232145310,50.588,34.034
220.232960224,50.546,34.032
221.233774662,50.58,34.032
222.232105732,50.538,34.032
223.232920170,50.618,34.032
224.233734608,50.536,34.032
225.232065201,50.53,34.03
226.232879639,50.58,34.03
227.233693123,50.546,34.03
228.232024193,50.592,34.028
229.232838154,50.582,34.028
230.233652592,50.552,34.028
231.231982708,50.538,34.028
232.232797146,50.554,34.028
233.233611584,50.572,34.028
234.231942177,50.564,34.028
235.232756615,50.61,34.028
236.233571053,50.554,34.028
237.231901169,50.524,34.026
238.232715607,50.61,34.026
239.233529568,50.556,34.026
240.231860638,50.584,34.026
241.232674122,50.564,34.024
242.233488083,50.562,34.024
243.231818676,50.552,34.024
244.232632160,50.554,34.022
245.233446121,50.578,34.022
246.231776238,50.546,34.022
248.233403206,50.538,34.02
