Time (s),W,X,Y,Z
0.000000000,0.1013653,-0.5267824,0.8331527,0.1212829
0.035068989,0.101432,-0.5270725,0.8329589,0.1212984
0.067633629,0.1014955,-0.527126,0.8329185,0.12129
0.100197792,0.1015078,-0.5268797,0.8330631,0.1213562
0.135267258,0.1013884,-0.5259504,0.8336417,0.1215141
0.167831421,0.1013127,-0.5256506,0.8338313,0.1215732
0.200396061,0.1012938,-0.5257172,0.8337949,0.1215517
0.232960701,0.1012587,-0.5257918,0.8337566,0.1215211
0.268030167,0.1012398,-0.5259278,0.8336789,0.1214816
0.300594807,0.1012615,-0.5260148,0.8336196,0.1214926
0.333159447,0.101259,-0.5258921,0.8336935,0.1215187
0.368228436,0.1013203,-0.5260253,0.8336102,0.1214629
0.400793076,0.1013844,-0.5261417,0.8335315,0.1214456
0.433357239,0.1014007,-0.5261863,0.833503,0.1214348
0.468426705,0.1014214,-0.526109,0.8335418,0.121486
0.500990868,0.101425,-0.525968,0.8336222,0.1215423
0.533555508,0.1013604,-0.5256298,0.833834,0.1216062
0.568625450,0.1013663,-0.5257078,0.8337932,0.1215439
0.601189613,0.1013577,-0.5259664,0.8336411,0.1214754
0.633754253,0.1013856,-0.5263095,0.8334246,0.1214506
0.666318893,0.1013684,-0.5259322,0.8336581,0.1214977
0.701387882,0.1013554,-0.525469,0.8339418,0.1215654
0.733952522,0.1013485,-0.5253713,0.8339933,0.1216402
0.766516685,0.101313,-0.5251533,0.8341308,0.1216689
0.801586151,0.1012682,-0.5251215,0.8341593,0.1216482
0.834150314,0.1013097,-0.5255217,0.8339105,0.1215913
0.866714954,0.1013778,-0.5260031,0.8336077,0.1215285
0.901784897,0.1014065,-0.5262645,0.8334466,0.1214773
0.934349060,0.1013773,-0.5260222,0.8335972,0.1215191
0.966913700,0.1014821,-0.5264941,0.8332967,0.121449
1.001982689,0.101566,-0.5269812,0.8329926,0.1213515
1.034547329,0.1015934,-0.5273604,0.8327582,0.1212894
1.067111492,0.1015332,-0.5271975,0.8328721,0.1212671
1.099676132,0.1014808,-0.5269583,0.833023,0.1213133
1.134745121,0.1014249,-0.5267638,0.8331511,0.1213258
1.167309761,0.1014018,-0.5266518,0.8332236,0.1213338
1.199874401,0.1013356,-0.5263247,0.8334324,0.1213728
1.234943867,0.101266,-0.5258117,0.8337604,0.1214029
1.267508507,0.1012524,-0.5255393,0.8339345,0.1213968
1.300073147,0.1012414,-0.5255117,0.8339507,0.1214146
1.335142136,0.101274,-0.525879,0.8337181,0.1213953
1.367706776,0.1012223,-0.5255464,0.8339201,0.1214907
1.400270939,0.1011823,-0.525479,0.8339594,0.1215465
1.432835579,0.1012237,-0.5257224,0.833813,0.1214632
1.467904568,0.1012185,-0.526117,0.8335802,0.1213576
1.500469208,0.1012235,-0.5261846,0.8335404,0.1213332
1.533033848,0.1012432,-0.5259593,0.8336752,0.1213663
1.568103313,0.1012292,-0.5256162,0.8338923,0.1213738
1.600667953,0.1011675,-0.5256486,0.8338764,0.1213947
1.633232593,0.1011501,-0.525847,0.8337501,0.1214167
1.668301582,0.1010845,-0.5257223,0.833834,0.1214352
1.700866222,0.1010434,-0.525731,0.8338387,0.1213992
1.733430386,0.1010588,-0.5257837,0.833806,0.1213831
1.768500328,0.1010904,-0.5258794,0.8337433,0.1213722
1.801064014,0.1011649,-0.5263175,0.8334636,0.1213326
1.833628654,0.1012315,-0.5267155,0.8332073,0.1213111
1.866193294,0.1012261,-0.5265254,0.8333242,0.1213366
1.901262760,0.1011995,-0.5262921,0.8334681,0.1213822
1.933827400,0.1011793,-0.5261396,0.8335634,0.1214062
1.966392040,0.1011943,-0.526112,0.8335783,0.1214111
2.001461029,0.1011374,-0.5255707,0.8339207,0.1214524
2.034025669,0.1010787,-0.5250199,0.8342674,0.1215018
2.066589832,0.1010884,-0.5251288,0.8342081,0.1214308
2.101659775,0.1010558,-0.5247996,0.8344185,0.1214353
2.134224415,0.1010142,-0.5244981,0.83461,0.1214564
2.166788578,0.1010631,-0.5245899,0.8345466,0.1214552
2.201858044,0.1011092,-0.5247855,0.8344136,0.1214852
2.234422207,0.1011398,-0.5249432,0.8343123,0.1214743
2.266986847,0.1011551,-0.5250233,0.8342689,0.1214135
2.299551487,0.1011732,-0.5251877,0.8341692,0.1213733
2.334620476,0.1012422,-0.5252032,0.834149,0.1213867
2.367185116,0.1012934,-0.5249397,0.8343012,0.1214384
2.399749279,0.1013365,-0.5251485,0.8341703,0.1213978
2.434819222,0.1013059,-0.5253573,0.8340452,0.1213809
2.467383862,0.1012783,-0.5253565,0.8340513,0.1213642
2.499948025,0.1012556,-0.5253839,0.8340392,0.1213483
2.535017491,0.1012383,-0.5253046,0.8340926,0.1213402
2.567581653,0.1012294,-0.5250443,0.8342519,0.1213777
2.600146294,0.1012574,-0.5250269,0.8342571,0.1213936
2.635215282,0.1012836,-0.5249328,0.8343103,0.121414
2.667779922,0.101267,-0.5246779,0.8344702,0.1214299
2.700344562,0.1012535,-0.5246027,0.8345203,0.1214216
2.732908726,0.1012321,-0.5245987,0.8345299,0.1213908
2.767978668,0.1012149,-0.5246717,0.8344846,0.1214012
2.800543308,0.1011308,-0.5244982,0.8345955,0.1214586
2.833107471,0.101069,-0.5243492,0.8346872,0.1215229
2.900741100,0.10098,-0.5238094,0.8350162,0.1216653
2.933305740,0.1010495,-0.523834,0.8349997,0.1216141
2.968374729,0.1011452,-0.5240555,0.8348549,0.1215748
3.000939369,0.1011757,-0.5240282,0.8348546,0.1216697
3.033503532,0.1013645,-0.5243245,0.8346365,0.1217319
3.068573475,0.1018243,-0.5248867,0.8342417,0.1216312
3.101138115,0.1020493,-0.5250057,0.8341689,0.121429
3.133702278,0.1018271,-0.5251541,0.8340997,0.1214483
3.166266918,0.1012979,-0.5251766,0.834106,0.1217503
3.201335907,0.1009135,-0.5249687,0.8342053,0.1222855
3.233900547,0.1009659,-0.5245658,0.8343829,0.122758
3.266465187,0.1014607,-0.5243001,0.8344512,0.1230204
3.301534176,0.1022852,-0.5243388,0.8343138,0.1231043
3.334098816,0.1029823,-0.525065,0.8337858,0.1230049
3.366662979,0.1034692,-0.526248,0.8330271,0.1226824
3.401732922,0.1033116,-0.5268487,0.8327622,0.1220319
3.434297562,0.1026173,-0.5268475,0.8329975,0.1210135
3.466861725,0.1018125,-0.5265959,0.8334121,0.1199282
3.501931191,0.1012918,-0.5265562,0.8336233,0.1190723
3.534495354,0.1011961,-0.5264123,0.8337376,0.1189909
3.567059994,0.1014154,-0.5264015,0.8336571,0.119415
3.599624634,0.1015982,-0.5265723,0.833432,0.1200761
3.634694099,0.1015837,-0.5262862,0.8335235,0.1207052
3.667258739,0.1015336,-0.525865,0.8337368,0.1211088
3.699822426,0.1015945,-0.5258823,0.8337007,0.121232
3.734892368,0.1017056,-0.5258851,0.833675,0.1213024
3.767457008,0.1019431,-0.5261415,0.8334898,0.121265
3.800021172,0.1021688,-0.5265371,0.8332252,0.1211763
3.835090637,0.1022958,-0.527106,0.8328628,0.121088
3.867654800,0.1022678,-0.527376,0.8326874,0.1211415
3.900219440,0.1021422,-0.5273322,0.8327312,0.1211364
3.935289383,0.1019726,-0.5276244,0.8325995,0.1209135
3.967853546,0.1020487,-0.5280844,0.8323657,0.1204493
4.000418186,0.1023874,-0.5291551,0.8317782,0.1195178
4.032982826,0.1018029,-0.5293121,0.8317994,0.1191736
4.068051815,0.1008839,-0.5284899,0.8322045,0.1207648
4.100616455,0.1009275,-0.5273883,0.8326799,0.1222585
4.133180618,0.1014233,-0.5266832,0.8330871,0.1221131
4.168250084,0.1020528,-0.5269436,0.8330635,0.1206172
4.200814247,0.1023791,-0.5278884,0.8326086,0.119344
4.233378887,0.1020767,-0.5281042,0.8325427,0.1191077
4.268448830,0.1017828,-0.5279538,0.8325624,0.1198851
4.301012993,0.1018146,-0.5272748,0.8328426,0.1208963
4.333577633,0.102097,-0.5269014,0.8329178,0.121765
4.366142273,0.1022006,-0.5264516,0.8331012,0.1223678
4.401211262,0.1021892,-0.5261789,0.8332112,0.1227999
4.433775902,0.1019877,-0.526022,0.8333513,0.1226894
4.466340065,0.1015955,-0.5257397,0.833721,0.1217099
4.501409531,0.1010885,-0.5254442,0.8341885,0.1201943
4.533973694,0.1007915,-0.5256393,0.8342158,0.1193987
4.566538334,0.1007078,-0.5255053,0.8342763,0.1196367
4.601608276,0.100684,-0.5250303,0.8344643,0.1204277
4.634172439,0.1005124,-0.5247901,0.8345574,0.1209721
4.666737080,0.1002763,-0.5245609,0.8347153,0.1210733
4.701806068,0.1001682,-0.5244056,0.8348489,0.1209135
4.734370708,0.1004788,-0.5248516,0.8345791,0.1205826
4.766935348,0.1011106,-0.5253328,0.8342602,0.1201651
4.799499512,0.1018559,-0.5257865,0.8338851,0.1201545
4.834568500,0.1029915,-0.5261085,0.8333294,0.1216234
4.867133141,0.1039917,-0.5261448,0.8328575,0.1238275
4.899697781,0.1045822,-0.5258514,0.8326629,0.1258699
4.934767723,0.1041508,-0.5256017,0.8327719,0.1265466
4.967331886,0.102837,-0.5253509,0.8332555,0.1254748
4.999896526,0.1014362,-0.5252978,0.8337411,0.123597
5.034965515,0.1007114,-0.525376,0.8340468,0.1217823
5.067530155,0.1007199,-0.5255566,0.8340774,0.1207821
5.100094318,0.1009648,-0.5258933,0.8338596,0.1206152
5.135164261,0.1015189,-0.5265749,0.8332724,0.1212334
5.167728901,0.1023994,-0.5265244,0.8329481,0.1229288
5.200293064,0.1030437,-0.5260485,0.8328777,0.1248904
5.232857227,0.1036472,-0.5259638,0.8326961,0.1259532
5.267926693,0.104632,-0.5262502,0.8322606,0.1268175
5.300491333,0.1056719,-0.525617,0.83218,0.1290903
5.333055973,0.1083475,-0.5240379,0.8320029,0.1343279
5.368124962,0.1127906,-0.5231251,0.8306326,0.1424627
5.400689602,0.1167006,-0.5226229,0.8288049,0.1515138
5.433253765,0.1199317,-0.5221229,0.8266788,0.1619685
5.468323708,0.1235475,-0.521512,0.824025,0.1742744
5.500888348,0.1262777,-0.5205327,0.8214976,0.1867322
5.533452511,0.1283683,-0.5202431,0.8185647,0.1986158
5.568521976,0.1304869,-0.5208355,0.8151535,0.2094179
5.601086140,0.1311071,-0.5216424,0.8122637,0.218072
5.633650780,0.1310262,-0.5230659,0.8093413,0.2254516
5.666215420,0.1306225,-0.525081,0.8064591,0.2312553
5.701284408,0.1292762,-0.5274937,0.8039925,0.2350784
5.733849049,0.1281219,-0.5297737,0.8023028,0.2363525
5.766413212,0.1277072,-0.5323399,0.8009467,0.2354091
5.801483154,0.126739,-0.5354249,0.799745,0.2330087
5.834047794,0.1256356,-0.5383546,0.798841,0.2299363
5.866611958,0.1237368,-0.5400691,0.7984212,0.2283986
5.901681423,0.1223182,-0.5409728,0.7974402,0.2304419
5.934245586,0.121027,-0.5415745,0.7963699,0.2333926
5.966810226,0.1191269,-0.543034,0.7956291,0.2335059
6.001880169,0.1165615,-0.5444782,0.7956489,0.23136
6.034443855,0.1125635,-0.545107,0.7962453,0.2298021
6.067008495,0.1081062,-0.5465161,0.7966541,0.2271633
6.099572659,0.1034314,-0.5478116,0.797006,0.2249748
6.134642601,0.09561291,-0.5487313,0.7980953,0.2223146
6.167207241,0.08916701,-0.5501549,0.7985615,0.2197869
6.199771404,0.08311469,-0.551668,0.7989596,0.2169001
6.234840870,0.0762602,-0.5535345,0.7998108,0.2114577
6.267405033,0.07183827,-0.5552186,0.800324,0.206593
6.299969673,0.068032,-0.5564764,0.8009544,0.2020039
6.335039616,0.06562337,-0.5579197,0.8011097,0.1981668
6.367603779,0.06474775,-0.5589424,0.801163,0.1953372
6.400168419,0.06480073,-0.5599152,0.8008952,0.1936241
6.435237408,0.06463803,-0.5606877,0.8005127,0.193024
6.467802048,0.06468517,-0.5611222,0.800126,0.1933489
6.500366688,0.0649853,-0.5615581,0.7994718,0.1946842
6.532930851,0.06532645,-0.5616828,0.798736,0.1972145
6.568000317,0.06711547,-0.5621226,0.7975559,0.2001148
6.600564480,0.06876922,-0.5623522,0.7964045,0.2034655
6.633129120,0.07086115,-0.5625063,0.7950507,0.2075748
6.668199062,0.07399958,-0.5624777,0.793533,0.2123111
6.700763225,0.07632549,-0.562551,0.7920175,0.2169025
6.733327866,0.0784274,-0.56293,0.7906808,0.2200243
6.768396854,0.07959612,-0.5629618,0.7897327,0.2229087
6.800961494,0.08103985,-0.5628827,0.7888296,0.225768
6.833526134,0.08309808,-0.563143,0.7874715,0.2290872
6.868595123,0.08611986,-0.5637107,0.7852746,0.2340623
6.901159286,0.0888584,-0.5637553,0.7833226,0.2394106
6.933723927,0.09076361,-0.5633292,0.7814261,0.2458113
6.966288567,0.09329442,-0.562049,0.7793503,0.2542398
7.001358509,0.09630033,-0.5596922,0.7770121,0.265237
7.033922672,0.09947313,-0.5570303,0.774321,0.2772672
7.066487312,0.1037516,-0.5540779,0.770512,0.2918426
7.101556301,0.1099494,-0.5507717,0.7649657,0.3098663
7.134120941,0.1163527,-0.5480787,0.7594651,0.3254416
7.166685104,0.1213284,-0.5455709,0.7545149,0.3390675
7.201755047,0.1252083,-0.5428079,0.7498307,0.3522273
7.234319687,0.1284115,-0.5408784,0.7465269,0.3609523
7.266883850,0.1301016,-0.5397898,0.7450708,0.3649625
7.299448490,0.1299161,-0.5398186,0.7446806,0.3657815
7.334517479,0.1277572,-0.5403827,0.7449811,0.3650968
7.367082119,0.1260488,-0.5403652,0.7456255,0.3644002
7.399646759,0.1260136,-0.5393507,0.7456343,0.3658942
7.434715748,0.1279819,-0.5383422,0.7436501,0.3707028
7.467280388,0.13151,-0.5370455,0.7404797,0.3776302
7.499844551,0.1358876,-0.5352698,0.7365918,0.3861101
7.534914494,0.1412965,-0.5333962,0.7318605,0.3956406
7.567479134,0.1462799,-0.5321419,0.7270635,0.4042691
7.600043297,0.1498789,-0.5307991,0.7231657,0.4116404
7.635112762,0.1536997,-0.5292965,0.7191899,0.4190647
7.667676926,0.1566413,-0.5284079,0.7149029,0.4263685
7.700241566,0.1582876,-0.5280747,0.7101632,0.4340253
7.732806206,0.1604448,-0.5266352,0.7047765,0.4436558
7.767875194,0.1653472,-0.5234484,0.696816,0.4579709
7.800439835,0.1739072,-0.5188721,0.6853595,0.4769045
7.833003998,0.1868145,-0.5123643,0.6707618,0.4992889
7.868073940,0.2016074,-0.509185,0.6535621,0.5192008
7.900638580,0.2000573,-0.5183362,0.6519678,0.5127088
7.933202744,0.1874703,-0.5312681,0.6614645,0.4916314
7.968272209,0.1715244,-0.5477473,0.6708062,0.466046
8.000836372,0.1565258,-0.5653991,0.6779722,0.4390955
8.033401012,0.1533195,-0.5790511,0.6814464,0.416475
8.068470955,0.1668372,-0.5907297,0.6777415,0.400622
8.101035118,0.1861669,-0.5996308,0.6699895,0.3918249
8.133599758,0.2038858,-0.6088589,0.6601343,0.3854501
8.166164398,0.2159076,-0.6208217,0.6506414,0.3758429
8.201233387,0.2227856,-0.6363259,0.6420008,0.3604423
8.233798027,0.2276271,-0.6528338,0.6330143,0.3433869
8.266362190,0.2307174,-0.6707199,0.6222077,0.3261742
8.301431656,0.2362964,-0.6882889,0.6073019,0.3134238
8.333995819,0.2427775,-0.7032068,0.5909395,0.3065577
8.366560459,0.2491488,-0.7171822,0.5734912,0.3021758
8.401630402,0.2554623,-0.7318244,0.5534904,0.2990789
8.434194565,0.258635,-0.7455882,0.5340618,0.2976773
8.466759205,0.2617853,-0.7592221,0.5133053,0.2969774
8.501828194,0.2636461,-0.7745458,0.4897709,0.2955023
8.534392834,0.2639078,-0.786768,0.4685346,0.2974085
8.566957474,0.2689393,-0.794847,0.4472854,0.3040615
8.599521637,0.2736611,-0.8015707,0.4260097,0.3126298
8.634591579,0.2776297,-0.807201,0.4029406,0.3249843
8.667155266,0.2798549,-0.8111078,0.3813199,0.3391285
8.699719906,0.2786371,-0.8147952,0.361129,0.3531058
8.734789848,0.2737231,-0.8186045,0.3410129,0.3678318
8.767354011,0.2658978,-0.8222384,0.3244462,0.380243
8.799918652,0.2537877,-0.8263724,0.3085421,0.392594
8.834987640,0.2434582,-0.827806,0.2900778,0.4098145
8.867552280,0.2374614,-0.8256622,0.2723089,0.4293827
8.900116920,0.2345729,-0.8218107,0.2558815,0.4480571
8.935186386,0.2326606,-0.8182504,0.2423436,0.4628526
8.967751026,0.2291343,-0.8170643,0.2360232,0.4699194
9.000315666,0.2234975,-0.8183445,0.2343615,0.4712361
9.032879829,0.2135001,-0.8217424,0.2370608,0.4686011
9.067948818,0.2005981,-0.824982,0.2444437,0.4648011
9.100513458,0.1882897,-0.8260574,0.255053,0.462333
9.133078098,0.1785487,-0.8251612,0.2658962,0.4616885
9.168147087,0.1678772,-0.8252091,0.2758552,0.4597594
9.200711727,0.1537235,-0.8271661,0.2876766,0.453911
9.233275890,0.1401427,-0.8296005,0.2989616,0.4465118
9.268345833,0.1285195,-0.8316858,0.3091375,0.4391391
9.300910473,0.1202468,-0.8336045,0.3167502,0.4323671
9.333474636,0.1123648,-0.8353772,0.3232448,0.4262154
9.368544102,0.1046041,-0.8366063,0.3284015,0.4218151
9.401108265,0.0986701,-0.8373194,0.3315088,0.4193928
9.433672905,0.09308295,-0.8373693,0.3334364,0.4190419
9.466237545,0.08883151,-0.8362741,0.3334028,0.4221668
9.533871651,0.08255966,-0.8342505,0.3289748,0.4308288
9.566436291,0.07863493,-0.833343,0.326962,0.4348326
9.601505279,0.07540496,-0.8313863,0.3243859,0.4410356
9.634069920,0.07242953,-0.8289973,0.3212113,0.4482949
9.666634083,0.0687791,-0.8266392,0.3178437,0.4555657
9.701703548,0.06331187,-0.8239104,0.315505,0.4628687
9.734267712,0.05818241,-0.8209135,0.31427,0.4696573
9.766832352,0.05378686,-0.8176015,0.3138612,0.4761865
9.801902294,0.0503333,-0.8141063,0.313618,0.4826687
9.834466457,0.04735872,-0.8108922,0.3130872,0.4886872
9.867031097,0.04384244,-0.807258,0.3127676,0.4951934
9.899595737,0.04060375,-0.8036892,0.3124884,0.5014117
9.934664726,0.03665635,-0.8004385,0.3108965,0.5078638
9.967229366,0.0336368,-0.7978338,0.3074824,0.5142102
9.999793530,0.03176793,-0.795764,0.3029858,0.5201709
10.034863472,0.03036809,-0.7943468,0.2989768,0.5247204
10.067428112,0.03009917,-0.7935832,0.2972074,0.5268921
10.099992275,0.02961582,-0.7925968,0.2983485,0.5277587
10.135061741,0.02856915,-0.791316,0.2993271,0.5291824
10.167625904,0.02708687,-0.7903023,0.2987268,0.5311108
10.200190544,0.02389582,-0.7889069,0.2985654,0.5334241
10.235259533,0.02215704,-0.7865477,0.2984557,0.5370324
10.267824173,0.02255123,-0.7844331,0.2955236,0.54171
10.300388813,0.02335535,-0.7826681,0.2909442,0.5466849
10.332952976,0.02278068,-0.7801645,0.2877529,0.5519514
10.368022919,0.02114988,-0.7753996,0.2863974,0.5593857
10.400587559,0.02234188,-0.7695639,0.283622,0.5687339
10.433151722,0.025086,-0.7642952,0.2796536,0.5776202
10.468221188,0.02435002,-0.759379,0.2793969,0.5842223
10.500785351,0.02277031,-0.7558826,0.2802159,0.5884129
10.533349991,0.02096249,-0.7541728,0.2806616,0.590458
10.568419933,0.01712375,-0.7543702,0.2829854,0.5892192
10.600984096,0.01343607,-0.7552823,0.2865518,0.586416
10.633548260,0.01141172,-0.7561696,0.2903115,0.5834588
10.666112423,0.01074425,-0.7565375,0.2938896,0.5811989
10.701182365,0.01280485,-0.7561185,0.2952209,0.5810276
10.733747005,0.01554987,-0.7554879,0.2951488,0.581817
10.766311169,0.01567365,-0.7544504,0.2969455,0.5822456
10.801380634,0.01402675,-0.7512432,0.3037075,0.5829462
10.833944797,0.01039494,-0.745807,0.3132758,0.5849357
10.866509438,0.003271017,-0.7360394,0.3286395,0.5889474
10.901579380,-3.909691E-05,-0.7222515,0.3426555,0.5979697
10.934143543,0.009103197,-0.7099323,0.3414146,0.6131697
10.966708183,0.02869495,-0.7021983,0.3274872,0.6288671
11.001777172,0.04588626,-0.7050521,0.3060865,0.6354013
11.034341812,0.04792366,-0.7172561,0.2927462,0.6278332
11.066906452,0.04286949,-0.7270214,0.2905371,0.6179141
11.099470615,0.03688443,-0.7324379,0.2953141,0.6095829
11.134539604,0.03268981,-0.7328345,0.302627,0.6057471
11.167104244,0.03427531,-0.7286752,0.3067726,0.6085852
11.199668884,0.03931266,-0.7245553,0.3057084,0.6137134
11.234738827,0.04421667,-0.7214823,0.3033062,0.6181756
11.267302990,0.04504414,-0.7223377,0.3025631,0.6174807
11.299867630,0.04180222,-0.7249147,0.3041287,0.6139095
11.334936619,0.03786694,-0.7254043,0.3080763,0.6116139
11.367501259,0.03614499,-0.7246347,0.3103611,0.611475
11.400065422,0.03726351,-0.7228434,0.3104601,0.6134746
11.435135365,0.03974689,-0.7208131,0.3089888,0.6164433
11.467700005,0.0419253,-0.7188326,0.3069334,0.6196302
11.500264168,0.04350365,-0.7162899,0.3060327,0.6229028
11.532828808,0.04423123,-0.7137122,0.3061574,0.6257426
11.567897797,0.04319462,-0.7124453,0.3057719,0.627445
11.600462437,0.03951735,-0.7126386,0.3082355,0.6262615
11.633027077,0.03516741,-0.7138702,0.3111443,0.6236742
11.668096065,0.03081228,-0.7161015,0.3128377,0.6204914
11.700660705,0.02811424,-0.7180625,0.3140961,0.6177112
11.733224869,0.02628214,-0.7192648,0.3153138,0.6157698
11.768294811,0.02528696,-0.7199404,0.3152977,0.6150295
11.800859451,0.02495373,-0.7201976,0.3146957,0.6150505
11.833423614,0.024813,-0.7203456,0.3141333,0.6151704
