Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.741099834,66.09766,110.8125,3.87875,250.3125,0
1.795910358,66.08594,110.625,3.878125,273.125,0
2.674998283,66.07422,110.71875,3.875,261.5625,0
3.729674339,66.0625,110.25,3.87875,254.0625,0
4.784400463,66.05078,110.25,3.875,268.4375,0
5.663504124,66.03906,109.96875,3.878125,266.5625,0
6.718215465,66.03906,110.0625,3.875625,262.8125,0
7.773207664,66.02734,110.0625,3.87625,275,0
8.651946068,66.01563,110.0625,3.87625,254.375,0
9.707145691,66,110.15625,3.8775,249.0625,0
10.761641502,65.98828,110.15625,3.876875,258.75,0
11.816268444,65.97656,110.15625,3.8775,253.125,0
12.695432663,65.97656,110.15625,3.87625,265.9375,0
13.750152588,65.96484,110.15625,3.876875,272.5,0
14.805180550,65.95313,110.0625,3.874375,265.3125,0
15.683969021,65.94141,110.4375,3.8775,256.5625,0
16.738648415,65.92969,110.15625,3.878125,260.3125,0
17.793486595,65.92969,110.25,3.875625,254.375,0
18.672603607,65.91797,110.34375,3.875,252.8125,0
19.727227688,65.90234,110.4375,3.87625,256.875,0
20.782215118,65.89063,110.34375,3.875625,269.6875,0
21.661006927,65.87891,110.34375,3.8775,251.5625,0
22.715993881,65.86719,110.25,3.87625,265,0
23.770623684,65.86719,110.34375,3.874375,264.6875,0
24.649711132,65.85547,110.15625,3.87375,268.4375,0
25.704387665,65.84375,110.25,3.875,252.1875,0
26.759254932,65.83203,110.15625,3.874375,267.5,0
27.814166069,65.82031,110.25,3.875625,262.5,0
28.693161964,65.82031,110.15625,3.873125,268.4375,0
29.747941494,65.80469,109.875,3.874375,270.625,0
30.802779674,65.79297,109.96875,3.875,252.1875,0
31.681665897,65.78125,109.78125,3.875,267.5,0
32.736325264,65.76953,109.875,3.876875,255,0
33.791444778,65.75781,109.78125,3.874375,264.0625,0
34.670150280,65.75781,109.78125,3.875625,256.25,0
35.725345612,65.74609,109.59375,3.87375,265.3125,0
36.779839992,65.73438,109.78125,3.87625,255,0
37.659250736,65.72266,109.96875,3.875625,259.6875,0
38.713479519,65.70703,109.6875,3.874375,268.75,0
39.768479347,65.69531,109.875,3.875625,269.375,0
40.823469162,65.69531,109.96875,3.8725,268.125,0
41.702186108,65.68359,110.0625,3.874375,262.5,0
42.757420540,65.67188,110.0625,3.871875,260.3125,0
43.811690330,65.66016,110.15625,3.873125,271.25,0
44.691372871,65.64844,109.96875,3.876875,255,0
45.745430946,65.64844,110.0625,3.873125,283.75,0
46.800354958,65.63672,110.15625,3.87375,254.375,0
47.679241180,65.625,110.0625,3.875,255.9375,0
48.734193325,65.60938,110.15625,3.87375,260,0
49.789406300,65.59766,110.0625,3.875,265.3125,0
50.667921066,65.59766,110.0625,3.87375,276.875,0
51.722584724,65.58594,109.96875,3.875625,270.9375,0
52.777381897,65.57422,109.96875,3.875,265.9375,0
53.657378673,65.5625,109.875,3.873125,267.8125,0
54.711341858,65.55078,109.96875,3.873125,266.5625,0
55.766119003,65.55078,109.96875,3.874375,263.4375,0
56.820913792,65.53906,109.96875,3.870625,285.625,0
57.699890137,65.52734,109.875,3.873125,264.0625,0
58.754693508,65.51172,109.78125,3.8725,266.875,0
59.809329033,65.5,109.78125,3.8725,269.375,0
60.688328743,65.48828,109.59375,3.87375,256.25,0
61.743279457,65.48828,109.78125,3.871875,257.5,0
62.798066139,65.47656,109.78125,3.87375,250.625,0
63.677305221,65.46484,109.6875,3.8725,269.375,0
64.731855869,65.45313,109.78125,3.87125,272.1875,0
65.786494732,65.44141,109.59375,3.873125,269.6875,0
66.665531635,65.44141,109.59375,3.871875,254.6875,0
67.720445633,65.42969,109.59375,3.87375,266.5625,0
68.775232792,65.41406,109.6875,3.8725,254.375,0
69.654201031,65.40234,109.78125,3.873125,253.4375,0
70.709208965,65.39063,109.875,3.87125,257.5,0
71.763636589,65.37891,109.875,3.874375,252.8125,0
72.818555832,65.37891,109.6875,3.87125,267.5,0
73.697477341,65.36719,109.78125,3.871875,253.75,0
74.752346516,65.35547,109.59375,3.871875,275,0
75.807009697,65.34375,109.5,3.8725,259.0625,0
76.686115265,65.33203,109.5,3.869375,260,0
77.740825653,65.33203,109.5,3.86875,284.0625,0
78.795625687,65.31641,109.5,3.8725,255.3125,0
79.674637794,65.30469,109.40625,3.8725,260,0
81.784335613,65.28125,109.5,3.873125,253.4375,0
82.663160801,65.26953,109.5,3.868125,271.5625,0
83.718101978,65.26953,109.5,3.871875,269.375,0
84.772970676,65.25781,109.5,3.87125,271.5625,0
85.651868820,65.24609,109.40625,3.871875,256.875,0
86.706747532,65.23438,109.3125,3.8725,256.25,0
87.761546612,65.21875,109.3125,3.86875,250,0
88.816224098,65.20703,109.3125,3.87,265,0
89.695262909,65.20703,109.3125,3.87,267.8125,0
90.750034332,65.19531,109.5,3.8725,259.0625,0
91.805052757,65.18359,109.3125,3.871875,276.25,0
92.683872700,65.17188,109.3125,3.87375,273.4375,0
93.738457680,65.16016,109.40625,3.864375,255.3125,0
94.793654442,65.16016,109.40625,3.869375,270.625,0
95.672349930,65.14844,109.3125,3.871875,260.9375,0
96.727139473,65.13672,109.40625,3.8675,260.625,0
97.781989098,65.12109,109.3125,3.8725,262.5,0
98.660953045,65.10938,109.21875,3.87125,256.875,0
99.715652466,65.10938,109.125,3.870625,258.125,0
100.770560741,65.09766,109.125,3.871875,261.5625,0
101.649464130,65.08594,109.125,3.87125,260,0
102.704357624,65.07422,108.84375,3.87,272.1875,0
103.759071827,65.0625,108.65625,3.87,257.1875,0
104.813781261,65.05078,108.65625,3.869375,266.875,0
105.692844391,65.05078,108.65625,3.87,265.9375,0
106.747587681,65.03906,108.5625,3.8725,254.375,0
107.802605152,65.02344,108.75,3.86875,262.8125,0
108.681437969,65.01172,108.5625,3.87,258.125,0
109.736322403,65,108.5625,3.87,270,0
110.790948391,64.98828,108.75,3.86875,267.8125,0
111.670087337,64.98828,108.5625,3.87,284.0625,0
112.724905968,64.97656,108.84375,3.86875,253.75,0
113.779550075,64.96484,108.75,3.86875,278.4375,0
114.658841610,64.95313,108.9375,3.87125,260.9375,0
115.713467121,64.94141,108.84375,3.868125,260.9375,0
116.768301964,64.94141,108.9375,3.87,263.125,0
117.823362350,64.92578,108.9375,3.86875,264.375,0
118.702089786,64.91406,108.9375,3.87,260.625,0
119.756844997,64.90234,108.9375,3.870625,251.5625,0
120.811629295,64.89063,108.75,3.87,269.6875,0
121.690872669,64.89063,108.75,3.870625,267.5,0
122.745543003,64.87891,108.5625,3.8675,257.8125,0
123.800181866,64.86719,108.5625,3.869375,276.25,0
124.679394722,64.85547,108.375,3.87,261.5625,0
125.733986854,64.84375,108.375,3.86875,256.875,0
126.788793087,64.82813,108.5625,3.869375,271.25,0
127.667851448,64.82813,108.46875,3.870625,256.875,0
128.722401619,64.81641,108,3.8675,261.875,0
129.777303696,64.80469,108,3.8675,266.875,0
130.656282425,64.79297,108.1875,3.8675,260.9375,0
131.711121082,64.78125,108.09375,3.86875,250.625,0
132.765920162,64.78125,108.375,3.8675,282.1875,0
133.820572376,64.76953,108.09375,3.87,266.875,0
134.699589729,64.75781,108.09375,3.864375,263.125,0
135.754448414,64.74609,108.375,3.868125,263.4375,0
136.809454918,64.73047,108,3.86875,256.875,0
137.688290119,64.71875,108.09375,3.86875,260,0
138.743266582,64.71875,108.28125,3.87,261.5625,0
139.797738075,64.70703,108.28125,3.86625,260,0
140.677082539,64.69531,108.28125,3.869375,258.75,0
141.731515407,64.68359,108.28125,3.86875,257.8125,0
142.786440372,64.67188,108.46875,3.865,265.9375,0
143.665314674,64.67188,108.65625,3.86875,261.875,0
144.720287323,64.66016,108.46875,3.8675,257.1875,0
145.775376797,64.64844,108.46875,3.8675,257.1875,0
146.654033184,64.63281,108.46875,3.866875,256.875,0
147.709231377,64.62109,108.375,3.865625,268.4375,0
148.763516903,64.60938,108.1875,3.86875,258.4375,0
149.818453789,64.60938,108.09375,3.866875,255.625,0
150.697264194,64.59766,108.28125,3.866875,266.875,0
151.752176762,64.58594,108.28125,3.86875,252.8125,0
152.807553291,64.57422,108.1875,3.866875,265.9375,0
153.685994148,64.5625,108.28125,3.866875,258.125,0
154.741019726,64.5625,108.46875,3.86875,251.5625,0
155.795448780,64.55078,108.375,3.8675,254.6875,0
156.674575329,64.53516,108.28125,3.86875,258.75,0
157.729272842,64.52344,108.28125,3.866875,256.5625,0
158.784135818,64.51172,108.375,3.866875,257.5,0
159.663133144,64.5,108.375,3.868125,252.8125,0
160.717904091,64.5,108.46875,3.866875,259.0625,0
161.773482799,64.48828,108.46875,3.86625,265.3125,0
162.651725769,64.47656,108.375,3.86625,254.375,0
163.706554413,64.46484,108.28125,3.8675,265.625,0
164.761343479,64.45313,108.1875,3.868125,252.1875,0
165.816066742,64.4375,108,3.86875,260,0
166.695210457,64.4375,107.90625,3.864375,290.625,0
167.749865055,64.42578,107.90625,3.86625,259.6875,0
168.804660320,64.41406,107.8125,3.866875,257.5,0
169.683680057,64.40234,107.71875,3.864375,272.8125,0
170.738437653,64.39063,107.90625,3.864375,256.875,0
171.793245316,64.39063,107.90625,3.86625,261.875,0
172.672254085,64.37891,107.90625,3.86375,273.4375,0
173.727217674,64.36719,107.90625,3.865625,261.5625,0
174.781847000,64.35547,107.71875,3.868125,262.8125,0
175.661117077,64.33984,107.71875,3.864375,268.4375,0
176.715594292,64.32813,107.625,3.8675,261.25,0
177.770274162,64.32813,107.71875,3.86375,275.3125,0
178.649421215,64.31641,107.625,3.866875,265.3125,0
179.704437256,64.30469,107.4375,3.865625,255.9375,0
180.759084701,64.29297,107.4375,3.86625,269.375,0
181.813766479,64.28125,107.53125,3.866875,263.125,0
182.693119049,64.28125,107.53125,3.86375,256.25,0
183.747542858,64.26953,107.25,3.865625,282.5,0
184.802372932,64.25781,107.53125,3.864375,261.875,0
185.681226253,64.24219,107.53125,3.865,261.25,0
186.736199856,64.23047,107.71875,3.86625,260,0
187.790753841,64.21875,107.71875,3.866875,262.1875,0
188.669981480,64.21875,107.71875,3.86375,262.8125,0
189.725190163,64.20703,107.625,3.865,255.9375,0
190.779398918,64.19531,107.4375,3.8675,261.875,0
191.658388138,64.18359,107.53125,3.86375,282.1875,0
192.713153362,64.17188,107.25,3.864375,256.25,0
193.768073082,64.17188,107.53125,3.864375,269.375,0
194.822909355,64.16016,107.25,3.86375,310.625,0
195.701914787,64.14453,106.96875,3.86375,259.6875,0
196.756713390,64.13281,107.0625,3.86125,265.9375,0
197.811297417,64.12109,107.0625,3.864375,264.0625,0
198.690295219,64.12109,107.0625,3.866875,258.125,0
199.745084763,64.10938,107.0625,3.865,261.5625,0
200.800050259,64.09766,107.34375,3.866875,274.0625,0
201.678927421,64.08594,107.25,3.865,266.875,0
202.733799934,64.07422,107.25,3.865625,269.375,0
203.788868427,64.0625,107.34375,3.864375,253.4375,0
204.667665481,64.0625,107.4375,3.860625,265.9375,0
