Time (s),Humidity (%)
0.823470592,11.93359
1.821938515,12.30859
2.822927952,11.87109
3.821396351,12.10938
4.822385788,12.14746
5.823375702,11.74609
6.821844101,11.72168
7.822834015,11.13281
8.821302891,10.93359
9.822292805,11.83496
10.823283195,10.53223
11.821751595,10.80859
12.822742462,11.55957
13.823732853,10.75781
14.822202206,11.97266
15.823192596,10.68359
16.821661949,10.5957
17.822652817,11.22168
18.823643684,11.81055
19.822113037,11.79785
20.823104382,11.99805
21.821574211,11.47266
22.822565556,11.92285
23.823556900,11.03418
24.822026730,12.07324
25.823018074,10.95898
26.821487904,10.59668
27.822479725,10.97168
28.823471069,10.75879
29.821941376,11.93555
30.822933674,11.33496
31.821403503,10.84668
32.822395325,10.78418
33.823386669,10.65918
34.821856976,10.57129
35.822848320,11.44727
36.821318150,10.16992
37.822309494,10.12012
38.823300362,10.7959
39.821769237,11.53418
40.822760105,10.93359
41.821229458,10.6709
42.822219372,10.55762
43.823209286,11.67188
44.821677685,9.931641
45.822667122,10.9834
46.821135044,11.2959
47.822124004,10.31934
48.823113441,11.27051
49.821580410,11.45801
50.822569370,11.04492
51.821036339,11.12012
52.822024822,11.52051
53.823012829,10.63086
54.821479320,10.34375
55.822467327,10.73145
56.823455334,11.39453
57.821921825,11.19434
58.822909355,10.69336
59.821374893,11.90723
60.822362900,10.85645
61.823350429,11.01855
62.821815968,11.51953
63.822802544,11.40625
64.821268558,10.88086
65.822255135,10.44238
66.823242664,9.603516
67.821707725,10.93066
68.822694302,10.51758
69.821159840,10.95508
70.822146416,11.28027
71.823132992,10.41699
72.821597576,10.5918
73.822584152,11.12988
74.821048737,10.4043
75.822035313,10.97949
76.823020935,11.60547
77.821485519,10.76758
78.822471619,10.69238
79.820936203,10.72949
81.822907925,11.12988
82.821372509,10.89258
83.822358608,10.83008
84.820822239,11.54297
85.821808338,11.04199
86.822793961,11.41699
87.821258068,10.4541
88.822242737,10.67871
89.820706367,10.00293
90.821691036,10.55371
91.822675705,11.0918
92.821138859,10.41504
93.822123527,10.79102
94.823108196,10.90332
95.821570873,9.777344
96.822554588,10.46484
97.821017265,10.64063
98.822000980,10.43945
99.822984219,10.91504
100.821446419,10.79004
101.822429657,11.57813
102.820891380,10.87793
103.821874618,11.70313
104.822857380,11.42773
105.821319103,12.37891
106.822301865,12.64063
107.820763111,10.46387
108.821744919,11.07715
109.822727680,11.47754
110.821187973,10.15137
111.822170258,10.15039
112.820630550,9.849609
113.821611881,10.42578
114.822593689,10.57617
115.821053982,9.9375
116.822034359,10.36328
117.823015690,9.586914
118.821475029,10.19922
119.822454929,10.4873
120.820913792,11.16309
121.821893692,10.71191
122.822873592,11.91309
123.821331978,10.8125
124.822311878,10.7998
125.820769787,11.02441
126.821748733,11.6123
127.822727203,11.96289
128.821184635,11.09961
129.822163105,10.91113
130.820620537,10.88574
131.821598530,10.99805
132.822576523,10.34766
133.821032047,9.847656
134.822009563,10.78516
135.820465565,10.60938
136.821442127,10.65918
137.822418690,10.62207
138.820873737,11.34766
139.821849823,11.75977
140.822826385,10.50879
141.821280956,12.09668
142.822257042,11.17188
143.820710659,11.85938
144.821686745,12.14648
145.822661877,11.69727
146.821116447,10.6084
147.822091579,11.53418
148.820545673,11.28418
149.821520805,11.0957
150.822495460,10.4082
151.820949554,10.3584
152.821924686,10.63281
153.820377827,11.2207
154.821352482,10.7959
155.822327137,11.30859
156.820780277,11.3584
157.821754932,11.93359
158.820208073,10.94531
159.821182728,11.9209
160.822157383,10.85742
161.820610046,12.2207
162.821584701,10.9082
163.822558880,12.05762
164.821012497,11.49512
165.821986198,11.4082
166.820439339,11.23242
167.821413994,11.94531
168.822389126,11.3457
169.820842743,11.8457
170.821816921,11.5332
171.820271015,11.77148
172.821246147,11.8584
173.822221756,11.98438
174.820676327,11.68359
175.821651459,11.44629
176.820106029,10.85938
177.821082115,11.58398
178.822057724,12.13477
179.820513248,11.68457
180.821488857,12.04785
181.822465420,12.41016
182.820921421,11.78516
183.821897984,12.42285
184.820353508,12.78516
185.821330547,12.56055
186.822307587,13.19824
187.820763588,12.72363
188.821741104,12.07324
189.820197582,12.42383
190.821174622,12.58691
191.822152615,12.72363
192.820609093,11.94922
193.821587086,11.58594
194.820044041,13.03613
195.821021557,11.88672
196.821999550,12.83691
197.820456028,12.48633
198.821433544,12.01172
199.822410583,11.68652
200.820866585,12.29883
201.821843147,12.34863
202.820298672,11.74805
203.821275234,11.66016
204.822250843,11.37207
205.820705414,11.19727
206.821681499,10.45898
207.820135593,10.69629
208.821110725,11.37109
209.822085381,10.8584
210.820538521,10.20801
211.821513176,11.24609
212.819966316,10.98242
213.820940018,10.73242
214.821914196,11.5332
215.820366859,10.94531
216.821340084,10.40723
217.822313786,11.48242
218.820765972,10.76953
219.821739197,11.30762
220.820190430,12.20703
221.821163654,11.55664
222.822136879,12.00684
223.820588112,12.29395
224.821561336,11.85645
225.820012569,11.23145
226.820985317,12.36816
227.821957111,11.28125
228.820407867,11.54395
229.821379662,11.83105
230.819829941,11.40527
231.820802212,11.18066
232.821774006,11.03125
233.820224762,11.20605
234.821195602,11.45605
235.819646358,11.34375
236.820617676,11.69336
237.821589470,12.46777
238.820039272,12.03027
239.821010590,11.89355
240.821982861,12.15527
241.820431709,10.89258
242.821403027,11.55566
243.819853306,11.71777
244.820823669,10.95508
245.821794987,11.70508
246.820244312,11.31738
247.821214676,12.80469
248.819664001,10.78027
