Time (s),Power (dBm),Percentage (%)
0.493621349,-55,90
0.993923187,-57,86
1.493600845,-57,86
1.993901730,-57,86
2.493736744,-59,82
2.993818760,-60,80
3.493696690,-61,78
3.993911266,-62,76
4.493592739,-62,76
4.993688583,-60,80
5.493718624,-60,80
5.993688107,-58,84
6.493659020,-57,86
6.993828773,-57,86
7.493629933,-59,82
7.993912220,-61,78
8.493700504,-57,86
8.993763924,-55,90
9.493766785,-60,80
9.993789196,-51,98
10.493557453,-65,70
10.993873596,-61,78
11.493565560,-62,76
11.993821144,-60,80
12.493656635,-62,76
12.993682384,-55,90
13.493577480,-55,90
13.993806839,-53,94
14.493472576,-55,90
14.993737698,-58,84
15.493581295,-55,90
15.993590832,-53,94
16.493592739,-57,86
16.993723392,-57,86
17.493450165,-69,62
17.993698597,-62,76
18.493659496,-57,86
18.993891716,-60,80
19.493755341,-59,82
19.993745804,-53,94
20.493730068,-57,86
20.993861675,-55,90
21.493537903,-55,90
21.993813038,-62,76
22.493680954,-51,98
22.993651867,-53,94
23.493569374,-51,98
23.993799210,-60,80
24.493513107,-61,78
24.993728161,-55,90
25.493576050,-55,90
25.993571758,-55,90
26.493547440,-55,90
26.993711472,-55,90
27.493412495,-55,90
27.993653297,-59,82
28.493421078,-59,82
28.993691921,-65,70
29.493472099,-55,90
29.993508339,-59,82
30.493499756,-57,86
30.993604660,-59,82
31.493505955,-59,82
31.993791580,-59,82
32.493652344,-57,86
32.993622780,-51,98
33.493485451,-55,90
33.993735313,-57,86
34.493484497,-55,90
34.993698120,-55,90
35.493591786,-55,90
35.993732452,-53,94
36.493659496,-55,90
36.993846416,-57,86
37.493525982,-55,90
37.993765354,-57,86
