Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.279996395,64.69531,110.34375,3.86625,255,0
1.335003853,64.68359,110.15625,3.86625,254.0625,0
2.389730454,64.67188,110.25,3.863125,255.9375,0
3.444674969,64.66016,110.34375,3.86375,245.9375,0
4.323477268,64.64844,110.34375,3.865,264.0625,0
5.377968311,64.64844,110.34375,3.865625,255,0
6.432802200,64.63281,110.34375,3.864375,260.3125,0
7.312036514,64.62109,110.34375,3.863125,255.9375,0
8.366637707,64.60938,110.25,3.86375,259.375,0
9.421432018,64.59766,110.25,3.86125,255,0
10.300447941,64.59766,110.15625,3.86375,266.5625,0
11.355292797,64.58594,110.34375,3.86625,259.0625,0
12.410194397,64.57422,110.34375,3.864375,244.0625,0
13.289077759,64.5625,110.34375,3.86375,260.625,0
14.343995571,64.55078,110.15625,3.86375,261.25,0
15.398784638,64.55078,110.25,3.866875,260.625,0
16.453524590,64.53516,109.96875,3.863125,275,0
17.332566261,64.52344,109.78125,3.8625,249.0625,0
18.387328148,64.51172,109.78125,3.86375,251.875,0
19.442002773,64.5,109.6875,3.86125,275.9375,0
20.321022034,64.5,109.59375,3.864375,250.9375,0
21.375808239,64.48828,109.21875,3.86,275,0
22.430502892,64.47656,109.40625,3.864375,259.6875,0
23.309586525,64.46484,109.21875,3.860625,267.8125,0
24.364720345,64.45313,109.21875,3.86125,254.6875,0
25.419650555,64.45313,109.21875,3.865,259.375,0
26.298533917,64.4375,109.125,3.86125,278.4375,0
27.352835178,64.42578,109.03125,3.8625,258.125,0
28.407851219,64.41406,108.9375,3.860625,251.25,0
29.287029743,64.40234,108.84375,3.86125,260.3125,0
30.341835976,64.40234,108.9375,3.8625,260.3125,0
31.396448135,64.39063,109.125,3.86125,260.625,0
32.451193333,64.37891,109.03125,3.861875,265.3125,0
33.330157757,64.36719,109.125,3.860625,270.9375,0
34.384896755,64.35547,109.3125,3.86125,244.6875,0
35.439818859,64.35547,109.40625,3.86125,252.5,0
36.318820477,64.33984,109.03125,3.859375,266.25,0
37.373553276,64.32813,109.125,3.863125,252.1875,0
