Time (s),Power (dBm),Percentage (%)
0.454494000,-60,80
0.954215050,-60,80
1.454466820,-60,80
1.954229355,-60,80
2.454543114,-60,80
2.954354763,-59,82
3.454346180,-59,82
3.954346657,-60,80
4.454379559,-62,76
4.954160690,-60,80
5.454273224,-62,76
5.954154968,-59,82
6.454433441,-69,62
6.954301834,-67,66
7.454537869,-67,66
7.954408169,-57,86
8.454383850,-59,82
8.954383850,-64,72
9.454483509,-62,76
9.954239368,-73,54
10.454455853,-53,94
10.954230785,-62,76
11.454572201,-62,76
11.954339027,-61,78
12.454386234,-57,86
12.954371452,-63,74
13.454353333,-65,70
13.954373837,-62,76
14.454532147,-62,76
14.954215527,-65,70
15.454506397,-64,72
15.954166412,-61,78
16.454403401,-59,82
16.954321384,-55,90
17.454332829,-62,76
17.954260826,-67,66
18.454453945,-60,80
18.954097748,-60,80
19.454369545,-57,86
19.954082012,-59,82
20.454360962,-57,86
20.954139709,-57,86
21.454267502,-59,82
21.954219818,-57,86
22.454233646,-62,76
22.954214096,-62,76
23.454329014,-57,86
23.954100132,-62,76
24.454357147,-61,78
24.954208374,-64,72
25.454255581,-65,70
25.954171181,-65,70
26.454172611,-65,70
26.954158306,-62,76
27.454313278,-62,76
27.954005718,-57,86
28.454349518,-59,82
28.954224586,-61,78
29.454507351,-53,94
29.954203129,-59,82
30.454398155,-59,82
30.954299450,-57,86
31.454520226,-59,82
31.954288959,-62,76
32.454408169,-65,70
32.954124928,-62,76
33.454418182,-62,76
33.954238892,-67,66
34.454246998,-61,78
34.954196453,-67,66
35.454204559,-62,76
35.954118729,-59,82
36.454322338,-62,76
36.953990936,-60,80
37.454216004,-59,82
37.954027653,-62,76
