Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.450591564,49.544,33.69
1.452507019,49.568,33.69
2.451976776,49.568,33.692
3.451388359,49.558,33.692
4.450799942,49.594,33.692
5.452720642,49.572,33.694
6.452132225,49.562,33.694
7.451703072,49.59,33.694
8.451115608,49.616,33.696
9.453032494,49.598,33.696
10.452444553,49.564,33.696
11.451948643,49.574,33.696
12.451361179,49.634,33.698
13.450773239,49.574,33.698
14.452743530,49.628,33.698
15.452156544,49.624,33.7
16.451568604,49.64,33.7
17.450981617,49.638,33.702
18.452898979,49.588,33.702
19.452311993,49.616,33.704
20.451725483,49.644,33.706
21.451202870,49.662,33.706
22.450616360,49.628,33.708
23.452534676,49.666,33.708
24.451967239,49.644,33.708
25.451380730,49.69,33.71
26.450794697,49.628,33.71
27.452759266,49.71,33.712
28.452257156,49.702,33.712
29.451833725,49.632,33.714
30.451248169,49.65,33.714
31.450663090,49.638,33.714
32.452582836,49.678,33.716
33.451996803,49.688,33.716
34.451411724,49.676,33.718
35.450827599,49.688,33.718
36.452747822,49.7,33.72
37.452162743,49.712,33.72
