Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.158771515,63.69531,102.9375,3.85875,270.3125,0
1.037473679,63.68359,103.03125,3.863125,246.5625,0
2.091903687,63.67188,102.9375,3.861875,250.625,0
3.146830082,63.65625,102.84375,3.8625,283.125,0
4.025792122,63.65625,102.9375,3.863125,262.1875,0
5.080501556,63.64453,102.84375,3.8625,245.625,0
6.135744095,63.63281,102.9375,3.858125,263.4375,0
7.014459133,63.62109,102.75,3.861875,270.9375,0
8.069346428,63.60938,103.125,3.8625,255.625,0
9.124281406,63.59766,103.03125,3.8625,261.875,0
10.003095627,63.59766,103.03125,3.860625,252.8125,0
11.058125496,63.58594,103.21875,3.8625,244.6875,0
12.112722874,63.57422,103.3125,3.860625,268.75,0
13.167597771,63.55859,103.40625,3.860625,258.75,0
14.046594620,63.54688,103.40625,3.86375,257.1875,0
15.101963520,63.53516,103.3125,3.861875,275,0
16.155965328,63.53516,103.3125,3.861875,266.875,0
17.034941673,63.52344,103.3125,3.8625,257.8125,0
18.089708328,63.51172,103.3125,3.8625,249.0625,0
19.144673348,63.5,103.125,3.861875,272.8125,0
20.023454189,63.48828,102.9375,3.86125,243.75,0
21.078715324,63.48828,103.125,3.861875,255,0
22.133214474,63.47656,103.125,3.859375,269.375,0
23.012101650,63.46094,102.9375,3.861875,244.0625,0
24.066927910,63.44922,102.9375,3.86125,254.0625,0
25.121806145,63.4375,103.125,3.8575,263.4375,0
26.000575542,63.42578,102.9375,3.861875,258.75,0
27.055594444,63.42578,102.84375,3.860625,259.0625,0
28.110105038,63.41406,102.9375,3.860625,259.6875,0
29.165255070,63.40234,102.9375,3.860625,255.625,0
30.044070721,63.39063,102.9375,3.8575,260.9375,0
31.098850250,63.37891,103.03125,3.860625,259.0625,0
32.153792381,63.36328,102.9375,3.86125,251.25,0
33.032625675,63.36328,103.03125,3.860625,265.9375,0
34.087537766,63.35156,102.84375,3.863125,257.8125,0
35.142162800,63.33984,102.84375,3.8625,260.625,0
36.021813393,63.32813,102.84375,3.859375,252.5,0
37.075942040,63.31641,102.84375,3.860625,272.8125,0
38.130712986,63.30469,102.5625,3.861875,281.875,0
