Time (s),W,X,Y,Z
0.000000000,0.3728168,-0.3901052,0.02851018,-0.8394285
0.032168865,0.3980968,-0.3760537,0.008455838,-0.8346608
0.066815853,0.4233183,-0.3546218,-0.001452408,-0.8316673
0.098989010,0.4455566,-0.3372155,-0.002264402,-0.8272772
0.131161690,0.4637114,-0.3251195,-0.006533375,-0.8221034
0.165808678,0.4765233,-0.3148996,-0.01490144,-0.8186387
0.197981358,0.4845231,-0.3066214,-0.02160791,-0.8169342
0.232625485,0.4985518,-0.2923207,-0.01336893,-0.8139064
0.264797688,0.509896,-0.2816735,-0.01040779,-0.8106698
0.299445152,0.5176677,-0.2753513,-0.01395285,-0.8078582
0.331618309,0.5226363,-0.2710977,-0.0177288,-0.8060215
0.366265297,0.5310398,-0.2618065,-0.01401602,-0.8036699
0.398437977,0.5365867,-0.2561208,-0.01527229,-0.8017926
0.433082104,0.5395544,-0.2517214,-0.01895403,-0.8011155
0.465254307,0.5413754,-0.2475803,-0.02047944,-0.8011398
0.499901772,0.5415183,-0.2458628,-0.02329091,-0.8014953
0.532074928,0.5428889,-0.2401567,-0.01770304,-0.8024405
0.566721916,0.5415454,-0.2418974,-0.01493631,-0.8028817
0.598894596,0.5420694,-0.2413819,-0.007511315,-0.8027869
0.631062985,0.5442111,-0.2419631,-0.002926596,-0.8011912
0.665710926,0.5441679,-0.2474627,-0.009788401,-0.7994845
0.697883606,0.5356226,-0.2566931,-0.02621497,-0.8019711
0.732531548,0.5163348,-0.2684632,-0.0428157,-0.8100126
0.764704228,0.4885817,-0.284339,-0.0553783,-0.8209751
0.799421787,0.4363931,-0.3184282,-0.08391909,-0.8353142
0.831590653,0.3747094,-0.3488334,-0.1005986,-0.8511261
0.866238117,0.2980581,-0.3738914,-0.1106062,-0.8693448
0.898410797,0.2167853,-0.3953958,-0.1194729,-0.882621
0.933058262,0.1342985,-0.4017871,-0.1134352,-0.8968228
0.965231419,0.05655038,-0.3937877,-0.103621,-0.9097382
0.999878407,-0.03364689,-0.3836395,-0.1041949,-0.9151281
1.032046795,-0.109879,-0.3553011,-0.08721334,-0.922339
1.066694736,-0.1891037,-0.3183586,-0.06670225,-0.9246978
1.098867416,-0.2572678,-0.2817402,-0.05493695,-0.9208937
1.133514881,-0.3079582,-0.2487758,-0.01001443,-0.9164059
1.165688038,-0.3427527,-0.2305918,0.04430907,-0.9077512
1.197860241,-0.3767591,-0.208514,0.07542183,-0.8975042
1.232503414,-0.4034753,-0.191075,0.1086468,-0.8862966
1.264676094,-0.4183565,-0.1788116,0.1473989,-0.8763021
1.299324036,-0.4281609,-0.1641909,0.1836056,-0.8675461
1.331496716,-0.4361612,-0.1461298,0.1990736,-0.8633695
1.366144657,-0.4444493,-0.1205038,0.1995308,-0.8629941
1.398316860,-0.4546298,-0.09205253,0.1835458,-0.8647407
1.432960034,-0.466613,-0.05939651,0.1617205,-0.865574
1.465132713,-0.4776213,-0.02818867,0.1437303,-0.8643219
1.499780655,-0.4856791,0.002477565,0.136549,-0.8614475
1.531953335,-0.488292,0.0225353,0.113056,-0.8630812
1.566601277,-0.484908,0.01905899,0.1076639,-0.8657581
1.598773480,-0.4789108,0.0145954,0.1078177,-0.8691573
1.633416653,-0.4747359,0.0119043,0.1062495,-0.8716782
1.665589333,-0.4744884,0.012942,0.1025865,-0.8722367
1.697762489,-0.4752341,0.01554571,0.1027215,-0.8717723
1.732409954,-0.4730922,0.01601099,0.105325,-0.8726178
1.764582157,-0.4710694,0.01907452,0.09889207,-0.8744014
1.799230099,-0.4711595,0.02231771,0.08941671,-0.8752959
1.831398964,-0.4722456,0.02287209,0.08302492,-0.8753259
1.866045952,-0.4722829,0.02234378,0.08191252,-0.8754242
1.898219109,-0.4712284,0.02159239,0.08137863,-0.8760609
1.932866573,-0.470301,0.0202765,0.0782987,-0.876871
1.965038776,-0.4706701,0.01859708,0.07574911,-0.8769342
1.999686718,-0.4701161,0.01674986,0.07686768,-0.8771713
2.031855583,-0.4689681,0.01403401,0.08126242,-0.8774372
2.066502571,-0.4676989,0.01135019,0.08444621,-0.8778528
2.098675728,-0.4665692,0.009396129,0.08687679,-0.8782397
2.133323193,-0.4655025,0.008987737,0.08778218,-0.8787199
2.165495396,-0.4643916,0.009437306,0.08792972,-0.8792881
2.200143337,-0.4634238,0.009814431,0.08743845,-0.8798433
2.232311726,-0.4627175,0.009946868,0.08685119,-0.8802716
2.264484406,-0.4619088,0.0102306,0.08654703,-0.880723
2.299132347,-0.461224,0.01096118,0.08556626,-0.8811687
2.331305027,-0.4607199,0.01174656,0.08430769,-0.8815435
2.365952015,-0.4602926,0.01160724,0.08387395,-0.88181
2.398125172,-0.459864,0.01120275,0.08367027,-0.8820583
2.432768345,-0.4593689,0.01103091,0.08392487,-0.8822942
2.464941025,-0.4589038,0.01089658,0.08389833,-0.8825402
2.499588966,-0.4582561,0.01043527,0.08421229,-0.8828524
2.531761646,-0.4576417,0.009956405,0.08483911,-0.8831166
2.566408634,-0.4569903,0.009341175,0.08560475,-0.8833867
2.598581791,-0.4563384,0.0085807,0.08657757,-0.8836365
2.633224964,-0.4559115,0.008273649,0.08692817,-0.8838254
2.665397644,-0.4557345,0.008251209,0.08662751,-0.8839465
2.700045586,-0.4557108,0.008180342,0.08631466,-0.88399
2.732218266,-0.4555034,0.008321603,0.08590923,-0.8841349
2.764390469,-0.4552216,0.008464733,0.08562305,-0.8843065
2.799041748,-0.4547758,0.008166564,0.08590948,-0.884511
2.831211090,-0.4543037,0.007984605,0.08606764,-0.8847398
2.865858078,-0.4538611,0.007946192,0.08609737,-0.8849644
2.898030758,-0.4534544,0.007804871,0.08627277,-0.8851571
2.932678699,-0.4529228,0.007699108,0.08623412,-0.8854338
2.964851379,-0.4525609,0.007625671,0.08616096,-0.8856266
2.999498367,-0.452179,0.007488484,0.08628418,-0.8858109
3.031667709,-0.4518591,0.00735459,0.08633707,-0.88597
3.066314697,-0.4514717,0.007294389,0.08619691,-0.8861816
3.098487377,-0.4511218,0.006991404,0.0863173,-0.8863506
3.133135319,-0.4507916,0.00680055,0.08654623,-0.8864976
3.165307999,-0.4503583,0.006795275,0.08675318,-0.8866976
3.199955940,-0.4499514,0.006613545,0.08695006,-0.8868864
3.232124329,-0.4496859,0.006494163,0.08698876,-0.887018
3.266771317,-0.4493291,0.006609999,0.0868627,-0.8872104
3.298943996,-0.4490147,0.006620619,0.0867775,-0.8873777
3.331117153,-0.4488063,0.006664132,0.08667149,-0.8874933
3.365764618,-0.4486172,0.006776972,0.0865861,-0.8875963
3.397936821,-0.4485246,0.007042251,0.08620697,-0.8876779
3.432580948,-0.4483049,0.007106305,0.08597974,-0.8878104
3.464753628,-0.4479033,0.00708928,0.08609779,-0.8880019
3.499401093,-0.4474539,0.007268373,0.08598637,-0.8882378
3.531573773,-0.4470159,0.007644553,0.08565994,-0.8884865
3.566221237,-0.4466628,0.007893901,0.08454821,-0.8887684
3.598393440,-0.4469677,-0.001714474,0.09972619,-0.8870733
3.633037567,-0.434494,-0.03252191,0.1576766,-0.8842641
3.665210247,-0.4091902,-0.06115968,0.1983082,-0.8866366
3.699857712,-0.3717907,-0.0931346,0.2221125,-0.8946458
3.732030392,-0.318378,-0.140403,0.2476556,-0.9023396
3.766677857,-0.2584702,-0.1869806,0.2430175,-0.9142218
3.798874855,-0.1760941,-0.241849,0.2640693,-0.9150928
3.831043244,-0.09064285,-0.2862553,0.261834,-0.9153754
3.865690708,-0.009005829,-0.3306573,0.233948,-0.9124036
3.897863865,0.06409033,-0.365806,0.2089908,-0.9027894
3.932510853,0.1319981,-0.3934442,0.1735039,-0.8912363
3.964683533,0.1835543,-0.4110039,0.1309728,-0.881395
3.999331474,0.2278431,-0.4182913,0.08592764,-0.8731346
4.031499863,0.261869,-0.4197912,0.0504957,-0.8656083
4.066147804,0.2871117,-0.4208598,0.01024021,-0.8584676
4.098320484,0.2995819,-0.4256345,-0.02708205,-0.8514575
4.132967472,0.3073432,-0.4309822,-0.0596715,-0.8443112
4.165140152,0.3187905,-0.4300955,-0.0715543,-0.8395821
4.199788094,0.3299571,-0.4273458,-0.07613897,-0.8362622
4.231956482,0.3343048,-0.4260629,-0.08205215,-0.8346292
4.266604424,0.339467,-0.4222723,-0.08498598,-0.8341783
4.298777103,0.3478337,-0.414007,-0.07974721,-0.8353909
4.333424091,0.3553554,-0.4069253,-0.07462678,-0.8361776
4.365597248,0.3593251,-0.4033237,-0.07584606,-0.8361163
4.397769928,0.3656298,-0.3984658,-0.07459553,-0.8358248
4.432413101,0.3731283,-0.394208,-0.07153785,-0.8347967
4.464586258,0.3760064,-0.3940069,-0.07358169,-0.8334213
4.499233723,0.3757497,-0.395348,-0.07731429,-0.8325636
4.531406403,0.3727826,-0.3962433,-0.07985042,-0.8332323
4.566053867,0.3681341,-0.3961187,-0.07982308,-0.8353581
4.598226547,0.3618678,-0.3983339,-0.08102772,-0.8369253
4.632869721,0.3561478,-0.4022796,-0.08060477,-0.8375323
4.665042877,0.3549153,-0.4054411,-0.07527809,-0.8370267
4.699690342,0.3560834,-0.4094674,-0.06867472,-0.8351363
4.731862545,0.3604531,-0.4135639,-0.0622795,-0.8317376
4.766510487,0.3708758,-0.4042686,-0.05495249,-0.8322415
4.798683167,0.3815424,-0.3684778,-0.05475946,-0.8439659
4.833327294,0.368644,-0.3305957,-0.07382762,-0.8637043
4.865499497,0.3844796,-0.3172368,-0.07919909,-0.8613312
4.900146961,0.3581559,-0.3255844,-0.1338149,-0.8628096
4.932319164,0.3648885,-0.326164,-0.1170234,-0.8622103
4.964492798,0.3750739,-0.305973,-0.07569572,-0.8698265
4.999139786,0.3664081,-0.3159177,-0.08832772,-0.8687733
5.031308174,0.3614988,-0.3190843,-0.09197374,-0.8692942
5.065956116,0.3594477,-0.3185273,-0.08640994,-0.8709183
5.098128796,0.3545083,-0.3189074,-0.08525516,-0.8729153
5.132776737,0.3452898,-0.3183233,-0.08964936,-0.8763765
5.164949417,0.3335816,-0.3190027,-0.09346519,-0.880257
5.199596405,0.3176576,-0.320237,-0.09469463,-0.8855522
5.231765747,0.2991884,-0.3187177,-0.09294177,-0.8926896
5.266412735,0.2767972,-0.3157256,-0.08772436,-0.9014615
5.298585415,0.2513047,-0.3145533,-0.08459585,-0.9096006
5.333233357,0.2222174,-0.3126995,-0.07754649,-0.9183967
5.365405560,0.1973624,-0.3137335,-0.06333601,-0.9247894
5.400053024,0.1591612,-0.3133819,-0.06174035,-0.9323493
5.432222366,0.1234286,-0.3142741,-0.05484235,-0.9378791
5.464394570,0.09159894,-0.3129126,-0.03770095,-0.9428157
5.499042034,0.05585371,-0.3094991,-0.02192826,-0.9472262
5.531215191,0.02852189,-0.3052598,0.0065647,-0.9500461
5.565862179,-0.003351022,-0.2994409,0.03689497,-0.9516252
