Time (s),Humidity (%)
0.342669010,14.44238
1.343617439,13.32031
2.342045307,13.95703
3.342994690,13.66992
4.343944073,12.94727
5.342372418,13.17188
6.343321800,13.30859
7.344271660,11.93652
8.342700481,13.13477
9.343650818,12.70996
10.342079640,13.03516
11.343029976,11.8252
12.343980789,12.22461
13.342409611,13.03516
14.343360424,12.99805
15.344311714,12.54883
16.342741013,10.81445
17.343692303,13.45996
18.342122078,12.1748
19.343073845,12.93652
20.344025135,12.91113
21.342455387,11.82617
22.343407154,13.08691
23.341837883,11.66406
24.342790127,12.17578
25.343742371,12.84961
27.343125343,12.25098
28.344078064,12.7373
29.342508316,12.78711
30.343461037,12.10156
31.341892243,12.13867
32.342844963,11.65234
33.343798161,12.58789
34.342229366,11.88965
35.343182087,11.93945
36.344134808,11.52734
37.342566490,11.93945
38.343519211,11.45215
