Time (s),W,X,Y,Z
0.027472019,0.02133999,0.6605783,0.7472345,0.03806795
0.060031414,0.02164064,0.6606333,0.7471895,0.03782575
0.092586517,0.02176276,0.6606531,0.7471699,0.03779898
0.125146389,0.02184361,0.6605456,0.7472545,0.03795722
0.160210132,0.02210398,0.6604113,0.7473545,0.03817393
0.192769050,0.02305809,0.6604688,0.7472997,0.03768635
0.225328445,0.02434503,0.6609849,0.7468463,0.03680594
0.260392666,0.02575253,0.6612923,0.7465783,0.03574801
0.292947769,0.02707252,0.6614761,0.746417,0.03472418
0.325507164,0.02851208,0.6614625,0.746429,0.03355484
0.360570907,0.02996542,0.661691,0.7462242,0.03231607
0.393130779,0.03128262,0.6618488,0.7460794,0.03115788
0.425689697,0.03245958,0.6618847,0.7460414,0.03008338
0.460753441,0.03336642,0.6616402,0.7462492,0.02930157
0.493308544,0.03378222,0.6614825,0.7463827,0.02898855
0.525868416,0.03396893,0.6615418,0.7463264,0.02886099
0.558427811,0.03388848,0.6615722,0.7462984,0.02898745
0.593491554,0.03374666,0.6615236,0.7463432,0.0291042
0.626050472,0.03382118,0.6615309,0.7463382,0.02897911
0.658610344,0.03410153,0.661692,0.7461947,0.0286693
0.693670273,0.03448368,0.661814,0.7460821,0.02832272
0.726229191,0.03486367,0.6618559,0.7460423,0.02792823
0.758788586,0.03514303,0.6617749,0.7461147,0.02755725
0.793852329,0.03530637,0.6618953,0.7460032,0.02747707
0.826412201,0.03542684,0.6621409,0.7457832,0.02737659
0.858971119,0.03564399,0.6621363,0.745783,0.02720886
0.894031048,0.03584553,0.6619896,0.745909,0.02706105
0.926590443,0.03608,0.6617363,0.7461293,0.02686994
0.959149837,0.03635084,0.6619243,0.7459583,0.02662218
0.991709232,0.03674758,0.6621646,0.7457377,0.02627494
1.026772976,0.03720681,0.6623742,0.7455444,0.02582961
1.059331894,0.03760388,0.662298,0.7456066,0.02541233
1.091887951,0.03798019,0.662411,0.7454962,0.02514241
1.126951695,0.03833221,0.6626387,0.7452846,0.02488353
1.159511089,0.03854952,0.6626449,0.7452735,0.02471615
1.192070007,0.03862748,0.6627257,0.7452006,0.02462369
1.227133751,0.03862065,0.6628398,0.7450989,0.02464016
1.259693622,0.0386846,0.662534,0.7453693,0.02458518
1.292248726,0.03883081,0.6622291,0.7456362,0.02447347
1.327312469,0.03906471,0.661908,0.7459153,0.0242845
1.359871864,0.03933987,0.6619079,0.7459093,0.02402538
1.392431736,0.03968862,0.6618657,0.7459378,0.02372797
1.424990654,0.03998364,0.6617691,0.746015,0.02350296
1.460054397,0.0402142,0.6615448,0.746206,0.02335494
1.492609501,0.04029773,0.6615024,0.7462401,0.02332565
1.525246620,0.04021017,0.6615347,0.746211,0.02349083
1.560310364,0.04013088,0.6615568,0.746192,0.02360977
1.592869759,0.04018901,0.661631,0.7461256,0.02352878
1.625429630,0.04033735,0.6616834,0.7460774,0.02333043
1.660493374,0.0404738,0.6617409,0.7460243,0.02315868
1.693048477,0.04048222,0.6617344,0.7460324,0.02306863
1.725607395,0.04049456,0.6616636,0.746096,0.02302423
1.760671616,0.0405649,0.6613936,0.7463331,0.0229661
1.793231010,0.040595,0.6611471,0.7465509,0.02293546
1.825790405,0.04061379,0.6609911,0.7466866,0.02298266
1.860854149,0.04061063,0.66102,0.746659,0.02304747
1.893409252,0.04058991,0.6612423,0.7464619,0.02309733
1.925969124,0.04058715,0.6613681,0.7463506,0.02309237
1.958528519,0.04060696,0.6611281,0.7465648,0.02300868
1.993592262,0.04062475,0.6610723,0.7466156,0.02293238
2.026151180,0.0405973,0.6610565,0.7466311,0.02293581
2.058711052,0.04064361,0.6610813,0.7466067,0.02292882
2.093770981,0.04068098,0.6612564,0.7464511,0.02288078
2.126329899,0.04072415,0.6614432,0.7462832,0.02288335
2.158889293,0.04078334,0.6614915,0.7462388,0.02282815
2.193953037,0.04084557,0.6611925,0.7465032,0.02273322
2.226512909,0.04089149,0.6610879,0.7465956,0.02265811
2.259071827,0.04087132,0.6613416,0.7463711,0.02268846
2.294131756,0.04077405,0.6613275,0.7463863,0.02277064
2.326690674,0.04077421,0.6613119,0.7463992,0.02280329
2.359250069,0.0407821,0.6612589,0.7464475,0.02274126
2.391809940,0.04087224,0.6614641,0.7462622,0.02269527
2.426873684,0.04093941,0.6617202,0.7460311,0.02270505
2.459432602,0.04096869,0.6619989,0.7457828,0.02268688
2.491987705,0.04097255,0.6618149,0.7459465,0.02266594
2.527052402,0.04093514,0.6617768,0.745984,0.02261213
2.559611320,0.04094228,0.6619574,0.7458268,0.02249406
2.592170715,0.04099574,0.6619491,0.7458363,0.02233374
2.627234459,0.04102604,0.6620837,0.7457178,0.0222396
2.659793377,0.04102731,0.6622779,0.7455461,0.02221471
2.692349434,0.04097396,0.6622283,0.7455916,0.02226252
2.727413177,0.04091786,0.6623387,0.7454945,0.02233152
2.759972572,0.04089271,0.6625894,0.7452713,0.02239344
2.792531490,0.04088446,0.6628037,0.7450808,0.02240305
2.825090408,0.04085833,0.6628608,0.7450314,0.02240438
2.860155106,0.04080873,0.6627447,0.7451389,0.0223538
2.892710209,0.0408018,0.6628873,0.7450146,0.02228066
2.925269604,0.0408237,0.6630692,0.7448527,0.02224394
2.960333347,0.0408489,0.6632386,0.7447014,0.02221095
2.992893219,0.04090638,0.6629177,0.7449842,0.02220047
3.025452137,0.04091615,0.662764,0.7451205,0.02220059
3.060515881,0.04085395,0.6627116,0.7451694,0.02223842
3.093070984,0.04081808,0.6626202,0.7452511,0.02229128
3.125630379,0.04084722,0.6627165,0.7451651,0.02224506
3.160694122,0.04093591,0.6629217,0.7449802,0.02215792
3.193253994,0.04094871,0.6628935,0.7450054,0.02213575
