Time (s),W,X,Y,Z
0.015036583,0.8185987,-0.1971387,-0.1167004,-0.5234896
0.050333500,0.8188746,-0.1972478,-0.1166933,-0.5230182
0.083110333,0.8191984,-0.1972246,-0.1165421,-0.5225533
0.115885735,0.8194237,-0.1971278,-0.1163843,-0.5222717
0.148662567,0.819614,-0.1970505,-0.1163291,-0.5220145
0.181438923,0.8197502,-0.1970882,-0.1163544,-0.5217809
0.216735840,0.8199255,-0.197125,-0.116292,-0.5215054
0.249512195,0.8201594,-0.1972899,-0.1162083,-0.5210935
0.282288074,0.8204565,-0.1972302,-0.116023,-0.5206897
0.315064430,0.820723,-0.1972358,-0.1158617,-0.5203033
0.350361347,0.8209276,-0.1972357,-0.1158118,-0.5199915
0.383137703,0.8210862,-0.1972005,-0.1158424,-0.5197477
0.415913582,0.8213517,-0.1972135,-0.1157476,-0.5193441
0.448689937,0.82156,-0.197187,-0.1156616,-0.5190439
0.481465816,0.8216993,-0.1971361,-0.115618,-0.5188524
0.516763687,0.8217003,-0.1972817,-0.1156812,-0.5187814
0.549539566,0.821877,-0.1974524,-0.1156446,-0.5184446
0.582315922,0.8221223,-0.1974848,-0.1155827,-0.5180568
0.615092277,0.8223631,-0.1973293,-0.115538,-0.5177438
0.650389194,0.8225562,-0.1971845,-0.1155181,-0.5174966
0.683165550,0.8227077,-0.1971884,-0.115564,-0.5172439
0.715941429,0.8228646,-0.197301,-0.1155482,-0.5169549
0.748717785,0.8229436,-0.197617,-0.1156333,-0.5166893
0.781493664,0.8230855,-0.1979005,-0.1158144,-0.5163143
0.816791534,0.8232724,-0.1981054,-0.1159628,-0.5159042
0.849566936,0.8234602,-0.198184,-0.1159976,-0.5155665
0.882343769,0.8236938,-0.1982096,-0.1159646,-0.5151908
0.915119171,0.8239315,-0.1982103,-0.1158882,-0.5148274
0.950417042,0.8241382,-0.1983282,-0.1159239,-0.5144429
0.983192921,0.8242838,-0.198548,-0.1160002,-0.5141075
1.015969276,0.8244371,-0.1987661,-0.1160573,-0.5137644
1.048745632,0.8245567,-0.1987386,-0.1160861,-0.5135765
1.081521511,0.8247194,-0.1986692,-0.116021,-0.5133569
1.116819382,0.8249989,-0.1987175,-0.1159624,-0.512902
1.149594784,0.8252196,-0.1988192,-0.1159799,-0.5125036
