Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,1.700432,-0.1741223,0.1986853,0.001264527,-0.4790541,0.8713237,1.422153,39.51243,-39.87222,1008.006
0.034646988,1.516141,-0.1149373,0.07611126,0.00266941,-0.4776644,0.86361,1.433452,39.14267,-38.97781,1008.006
0.066820145,1.086128,-0.05575228,-0.2303239,0.00225835,-0.4717892,0.8699284,1.433452,39.14267,-38.97781,1008.007
0.098992825,-1.002506,-0.1741223,-0.3528979,-0.003171944,-0.4752042,0.8641669,1.811648,39.51843,-38.9816,1008.007
0.133640289,-1.493949,-0.1741223,-0.3528979,0.001720031,-0.4800532,0.8679371,1.8051,38.36934,-39.4223,1008.007
0.165813446,-0.8182147,-0.1741223,-0.475472,0.008014783,-0.4820637,0.8630419,1.8051,38.36934,-39.4223,1008.007
0.200456619,-0.6339234,0.06261775,-0.659333,0.002147194,-0.4830123,0.8621249,1.805614,39.13161,-39.42602,1008.007
0.232629299,-1.61681,-0.05575228,-0.8431941,-0.0002704044,-0.4795949,0.8631396,1.427674,39.13698,-39.42409,1008.007
0.267276764,-1.862532,0.06261775,-0.659333,0.003597157,-0.4893187,0.8635053,1.427674,39.13698,-39.42409,1008.009
0.299449444,-0.6953538,0.003432736,-1.088342,0.00617427,-0.473732,0.8722858,1.811391,39.13729,-38.97974,1008.009
0.334096909,-2.845418,-0.05575228,-1.578638,0.006609656,-0.4786179,0.8683855,1.811391,39.13729,-38.97974,1008.009
0.366270065,-2.968279,0.003432736,-0.9657681,0.001550139,-0.4947148,0.8548039,1.811391,39.13729,-38.97974,1008.009
0.400913239,-1.739671,-0.1149373,-1.33349,0.006008441,-0.4883898,0.8596345,1.433452,39.14267,-38.97781,1008.009
0.433085442,-1.371088,-0.4108624,-1.027055,0.004056673,-0.4893471,0.8601268,1.439744,39.91062,-38.53525,1008.009
0.467733383,-2.292545,0.1218028,-0.72062,0.004500136,-0.4932586,0.8567165,1.439744,39.91062,-38.53525,1008.009
0.499906063,-1.923962,0.06261775,-0.1077498,0.008952564,-0.4912911,0.8629571,1.439744,39.91062,-38.53525,1008.011
0.534554005,0.7789761,0.1218028,0.1986853,0.007865597,-0.5044435,0.8561108,1.811391,39.13729,-38.97974,1008.011
0.566726685,2.007584,0.06261775,0.3212593,0.006943724,-0.4884317,0.8548054,1.811391,39.13729,-38.97974,1008.011
0.598895073,1.024698,0.1218028,0.01482423,0.004086628,-0.4791649,0.8587645,1.439487,39.52948,-38.53339,1008.012
0.633543015,-0.2653409,-0.1741223,0.1373983,0.009910068,-0.4888949,0.8595939,1.05577,39.52917,-38.97773,1008.012
