Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.995646000,62.64453,106.59375,3.85125,255,0
2.050535202,62.63281,106.78125,3.851875,255.9375,0
2.929482460,62.62109,106.6875,3.851875,274.6875,0
3.984288692,62.60938,106.5,3.85375,268.125,0
5.039103508,62.60938,106.21875,3.85,254.0625,0
5.918159962,62.59766,106.21875,3.85,257.1875,0
6.972877026,62.58203,106.21875,3.85125,258.4375,0
8.027536392,62.57031,105.84375,3.85125,258.75,0
9.082680225,62.55859,105.84375,3.850625,265,0
9.961383343,62.55859,105.84375,3.85125,255.625,0
11.016535759,62.54688,105.9375,3.8475,258.75,0
12.071692944,62.53516,106.03125,3.85125,249.375,0
12.950350761,62.52344,105.84375,3.850625,306.25,0
14.004733086,62.51172,105.84375,3.85,267.8125,0
15.059713364,62.51172,105.84375,3.85125,253.75,0
15.938685417,62.5,105.84375,3.85,255.625,0
16.993462563,62.48438,106.125,3.85125,252.5,0
18.048381805,62.47266,106.125,3.850625,267.8125,0
18.927239418,62.47266,106.21875,3.85375,260,0
19.982206345,62.46094,106.21875,3.850625,256.5625,0
21.036807537,62.44922,106.3125,3.85,261.25,0
21.915977955,62.4375,106.21875,3.85,252.1875,0
22.970496178,62.42578,106.21875,3.84875,253.75,0
24.025328159,62.41406,106.3125,3.85125,258.75,0
25.080164433,62.41406,106.3125,3.849375,248.75,0
25.959109306,62.40234,106.125,3.84875,252.8125,0
27.014109612,62.38672,106.21875,3.848125,251.875,0
28.068867207,62.375,105.9375,3.84875,250.3125,0
28.947833538,62.375,106.03125,3.851875,267.8125,0
30.002595425,62.36328,106.125,3.849375,250,0
31.057427406,62.35156,106.03125,3.849375,266.875,0
31.936399460,62.33984,106.21875,3.84875,253.75,0
32.991203308,62.32813,106.3125,3.8475,259.6875,0
34.046611786,62.32813,106.3125,3.849375,256.25,0
34.925031662,62.31641,106.125,3.84875,271.5625,0
