Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.698715687,61.57031,100.59375,3.849375,257.1875,0
1.753233433,61.55859,100.40625,3.850625,253.4375,0
2.632369041,61.54688,100.40625,3.849375,269.0625,0
3.687121391,61.53516,100.40625,3.85,263.4375,0
4.741847992,61.52344,100.21875,3.8475,256.875,0
5.797105312,61.52344,100.21875,3.849375,251.25,0
6.675668240,61.50781,100.21875,3.848125,261.5625,0
7.730611801,61.49609,100.03125,3.8475,268.75,0
8.785324097,61.48438,100.03125,3.84875,255,0
9.664669990,61.47266,100.21875,3.85,268.75,0
10.719009399,61.46094,100.21875,3.8475,264.0625,0
11.773841381,61.46094,100.125,3.8475,268.4375,0
12.652893066,61.44922,100.03125,3.8475,275.3125,0
13.707664490,61.4375,100.125,3.850625,256.25,0
14.762966633,61.42578,100.03125,3.84875,274.0625,0
15.641513348,61.41016,99.75,3.84625,283.125,0
16.696350098,61.39844,99.65625,3.845625,263.125,0
17.750936508,61.39844,99.65625,3.84625,254.375,0
18.630079269,61.38672,99.5625,3.8475,277.1875,0
19.684797764,61.375,99.65625,3.85,259.6875,0
20.740015507,61.36328,99.75,3.84875,251.875,0
21.794586658,61.35156,99.75,3.849375,256.25,0
22.673329830,61.33984,99.5625,3.848125,266.875,0
23.728310585,61.33984,99.5625,3.848125,269.6875,0
24.783080578,61.32813,99.65625,3.849375,258.125,0
26.716989994,61.30078,99.65625,3.84875,265.3125,0
27.771516800,61.28906,99.65625,3.8475,243.4375,0
28.650756359,61.28906,99.75,3.848125,255.3125,0
29.705523014,61.27734,99.84375,3.846875,264.6875,0
30.760282516,61.26563,99.9375,3.846875,261.25,0
31.639358520,61.25391,100.125,3.85,250.3125,0
32.693931103,61.24219,100.125,3.845625,268.75,0
33.748977184,61.23047,99.65625,3.848125,255,0
34.627951145,61.23047,99.75,3.849375,255,0
35.682536602,61.21484,100.03125,3.848125,265.9375,0
36.737887382,61.20313,99.84375,3.84875,259.0625,0
37.792162895,61.19141,100.03125,3.846875,271.25,0
38.671257019,61.17969,99.9375,3.8475,255.9375,0
39.726054192,61.16797,99.75,3.84625,252.5,0
40.780838013,61.16797,99.65625,3.846875,253.125,0
41.659911156,61.15625,100.03125,3.846875,267.5,0
42.714495659,61.14453,99.9375,3.844375,282.1875,0
43.769198418,61.13281,99.375,3.845625,271.25,0
44.648431778,61.11719,99.1875,3.849375,270.9375,0
45.703149319,61.10547,98.8125,3.8475,292.5,0
46.757869244,61.10547,98.90625,3.848125,280.9375,0
47.636850834,61.09375,99.09375,3.8475,252.5,0
48.691617012,61.08203,99.1875,3.8475,247.8125,0
49.746499538,61.07031,99.28125,3.845625,264.0625,0
50.801242351,61.05859,99.28125,3.845625,262.5,0
51.680117130,61.04688,99.1875,3.845,275.625,0
52.735280514,61.04688,99,3.845,279.0625,0
53.789760113,61.03516,99.1875,3.848125,256.25,0
54.668839455,61.01953,99,3.845625,258.75,0
55.723703861,61.00781,98.8125,3.83875,267.5,0
56.778480530,60.99609,99,3.8475,253.75,0
57.657917976,60.98438,98.8125,3.84625,267.5,0
58.712262154,60.98438,99,3.84625,264.0625,0
59.767186165,60.97266,99.1875,3.845625,255,0
60.646219253,60.96094,99,3.84375,254.375,0
61.700921059,60.94922,99,3.840625,259.375,0
62.755894184,60.9375,99.28125,3.8475,243.125,0
63.634756565,60.9375,99.1875,3.846875,255.625,0
64.689567566,60.92188,99,3.845625,284.6875,0
65.744357586,60.91016,98.8125,3.845,269.375,0
66.799720287,60.89844,98.25,3.84625,265.625,0
67.678149223,60.88672,98.53125,3.84375,248.125,0
68.732853413,60.875,98.53125,3.84625,264.6875,0
69.787733078,60.86328,98.53125,3.844375,258.75,0
70.666651726,60.86328,98.53125,3.844375,272.1875,0
71.721622467,60.85156,98.71875,3.8475,264.0625,0
72.776683807,60.83984,98.53125,3.845625,260,0
73.655409813,60.82422,98.4375,3.843125,260,0
74.709986210,60.8125,98.53125,3.845,262.5,0
75.764883041,60.80078,98.53125,3.84625,250.3125,0
76.644372463,60.80078,98.625,3.840625,282.8125,0
77.698545933,60.78906,98.53125,3.84375,270.625,0
78.753572464,60.77734,98.4375,3.843125,275,0
79.632306576,60.76563,98.15625,3.8425,265,0
80.687469006,60.75391,97.875,3.845625,294.375,0
81.742104530,60.74219,97.875,3.843125,265.625,0
82.796846390,60.74219,97.78125,3.844375,251.5625,0
83.675833702,60.72656,97.875,3.844375,261.5625,0
84.730576515,60.71484,97.875,3.8425,269.375,0
85.785515308,60.70313,97.96875,3.84375,258.75,0
86.664503574,60.69141,98.0625,3.845,259.0625,0
87.719699860,60.67969,97.96875,3.84625,258.125,0
88.773891449,60.67969,98.34375,3.845625,247.1875,0
90.707821369,60.65625,98.25,3.845,270,0
91.762639046,60.64453,98.25,3.84625,262.8125,0
92.641480446,60.62891,98.4375,3.84375,254.375,0
93.696691990,60.61719,98.4375,3.84375,256.875,0
94.751049995,60.61719,97.875,3.84375,269.375,0
95.630166531,60.60547,98.0625,3.844375,266.875,0
96.685103416,60.59375,97.6875,3.84375,267.5,0
97.739710808,60.58203,97.6875,3.8425,257.8125,0
98.794726372,60.57031,97.875,3.8425,258.75,0
99.673490524,60.55859,98.15625,3.8425,257.5,0
100.728464603,60.55859,98.25,3.843125,250.625,0
101.783213615,60.54688,98.0625,3.840625,269.6875,0
102.662709713,60.53125,98.0625,3.844375,267.8125,0
103.716873646,60.51953,98.0625,3.84625,260.9375,0
104.771619797,60.50781,97.96875,3.843125,279.0625,0
105.650927544,60.49609,97.96875,3.8425,260.625,0
106.705680847,60.49609,98.0625,3.84375,259.6875,0
107.760758877,60.48438,97.96875,3.841875,286.875,0
108.639545917,60.47266,98.15625,3.844375,251.5625,0
109.694118023,60.46094,97.96875,3.84125,253.125,0
110.749030113,60.44922,97.59375,3.840625,256.5625,0
111.627994060,60.43359,97.6875,3.84375,260.625,0
112.682685375,60.43359,97.59375,3.84125,270.3125,0
113.737588406,60.42188,97.6875,3.8425,258.125,0
114.792219162,60.41016,97.6875,3.843125,277.8125,0
115.671343803,60.39844,97.5,3.84375,256.5625,0
116.726094723,60.38672,97.78125,3.843125,272.5,0
117.780811310,60.375,97.875,3.8425,269.375,0
118.659922123,60.375,97.875,3.84125,259.375,0
119.714649200,60.36328,97.875,3.8425,254.6875,0
120.769567966,60.35156,97.875,3.8425,261.5625,0
121.648519993,60.33594,97.96875,3.8425,269.375,0
122.703596592,60.32422,97.6875,3.84375,264.6875,0
123.758180141,60.3125,97.78125,3.84375,262.8125,0
124.637056351,60.3125,97.6875,3.841875,254.375,0
125.692008972,60.30078,97.6875,3.841875,252.5,0
126.746770859,60.28906,97.78125,3.841875,256.875,0
127.801438808,60.27734,97.96875,3.8425,257.1875,0
128.680627346,60.26563,97.875,3.84,259.0625,0
