Time (s),W,X,Y,Z
0.000000000,-0.566803,-0.1294549,0.1822543,-0.790814
0.034648418,-0.5664563,-0.1610894,0.2338374,-0.7714434
0.066822052,-0.5527291,-0.1934153,0.2806731,-0.7582423
0.101469517,-0.5408862,-0.2077532,0.3030317,-0.7543739
0.133643150,-0.5355803,-0.2084122,0.3070146,-0.7563648
0.168291569,-0.5364615,-0.2070911,0.3032151,-0.7576349
0.200460911,-0.5387796,-0.2043349,0.2985344,-0.7585966
0.235108376,-0.5414332,-0.2014319,0.2935449,-0.7594303
0.267282009,-0.543741,-0.1990929,0.2894237,-0.7599798
0.301930428,-0.5459704,-0.1951822,0.2841216,-0.7613954
0.334103584,-0.5482021,-0.191158,0.2789377,-0.7627285
0.366276741,-0.5500809,-0.1878601,0.2743029,-0.7638751
0.400920391,-0.5512929,-0.1858605,0.2708118,-0.7647357
0.433185101,-0.5520798,-0.1862343,0.2701039,-0.7643273
0.467833042,-0.5526158,-0.1878641,0.2710789,-0.7631952
0.500006199,-0.5528387,-0.1893582,0.2723177,-0.7622229
0.534654617,-0.5533208,-0.1899492,0.2725696,-0.7616357
0.566828251,-0.5539765,-0.1896838,0.2717814,-0.7615067
0.601471901,-0.5545691,-0.1890327,0.2709014,-0.761551
0.633645058,-0.5552995,-0.1883578,0.2697105,-0.7616087
0.668293476,-0.5562556,-0.1877437,0.2681239,-0.7616228
0.700466633,-0.5569583,-0.1879757,0.267458,-0.7612861
0.735114574,-0.5573572,-0.1888522,0.267545,-0.7607464
0.767287731,-0.5577204,-0.1895942,0.2676563,-0.7602563
0.801932335,-0.5585346,-0.1899914,0.2673111,-0.7596807
0.834105492,-0.5593173,-0.1901113,0.2669615,-0.7591977
0.866279125,-0.5601112,-0.1901029,0.2664853,-0.7587817
0.900926590,-0.5607179,-0.1901608,0.2662061,-0.758417
0.933100224,-0.5611331,-0.1902271,0.2661223,-0.7581227
0.967748642,-0.5615303,-0.1904362,0.2660709,-0.757794
0.999917984,-0.5621463,-0.1905638,0.2656059,-0.7574682
1.034565449,-0.5625186,-0.1911142,0.2658819,-0.7569562
1.066739559,-0.562785,-0.1918699,0.2662557,-0.7564355
1.101387501,-0.5632048,-0.1925868,0.2664956,-0.7558562
1.133560658,-0.5635749,-0.1929276,0.2664945,-0.7554936
1.168209076,-0.5642638,-0.1930133,0.2660649,-0.7551089
1.200378418,-0.5651718,-0.1931441,0.2656067,-0.7545575
1.235026360,-0.5659214,-0.1933382,0.2653698,-0.7540291
1.267199516,-0.5663499,-0.193583,0.2653202,-0.753662
1.301847935,-0.5666742,-0.1938193,0.2652296,-0.7533894
1.334021092,-0.5671161,-0.1941188,0.2651384,-0.7530115
1.366194248,-0.5675449,-0.1943078,0.2650307,-0.7526776
1.400838375,-0.5679783,-0.1945305,0.2648849,-0.7523446
1.433011532,-0.5685764,-0.1946725,0.2646239,-0.7519477
1.467659950,-0.5691289,-0.1948564,0.2644104,-0.7515571
1.499833107,-0.5695375,-0.1951112,0.2643401,-0.7512062
1.534481048,-0.5699404,-0.1953944,0.2642925,-0.7508436
1.566654205,-0.5702715,-0.1956636,0.2643133,-0.7505148
1.601298809,-0.5706601,-0.195836,0.2642435,-0.7501989
1.633471966,-0.5709655,-0.1960433,0.2642779,-0.7499002
1.668119907,-0.5713644,-0.1962228,0.2641819,-0.7495832
1.700294018,-0.5716925,-0.1964906,0.264226,-0.7492473
1.734941959,-0.5719845,-0.1965501,0.263988,-0.7490926
1.767115116,-0.5722108,-0.1964525,0.2637992,-0.7490121
1.801759720,-0.572279,-0.1966027,0.2638924,-0.7488877
1.833932877,-0.5723002,-0.1968759,0.2639934,-0.748764
1.868580341,-0.5725331,-0.1972345,0.2641641,-0.7484314
1.900753975,-0.5729204,-0.1972038,0.2639413,-0.7482216
1.932927132,-0.5734158,-0.1969615,0.2634481,-0.7480798
1.967575550,-0.5740704,-0.1969429,0.2629878,-0.7477445
1.999744892,-0.5747131,-0.1970582,0.2626187,-0.74735
2.034392834,-0.5750626,-0.1970418,0.2625299,-0.7471167
2.066565990,-0.5753115,-0.1969352,0.2624103,-0.7469951
2.101214409,-0.5756683,-0.1970396,0.2622525,-0.7467481
2.133387566,-0.5759969,-0.197357,0.2623309,-0.7463832
2.168035507,-0.5761469,-0.1975517,0.2623087,-0.7462237
2.200205326,-0.576276,-0.1975704,0.2622682,-0.7461333
2.234853268,-0.5765425,-0.1975731,0.2621103,-0.7459822
2.267026424,-0.5768566,-0.1976289,0.2618565,-0.7458138
2.301674843,-0.5772843,-0.19786,0.2618168,-0.7454354
2.333848000,-0.5778435,-0.1980826,0.2617148,-0.7449787
2.368495941,-0.5781387,-0.1980331,0.2615058,-0.7448363
2.400665283,-0.5785069,-0.1979451,0.2611993,-0.7446811
2.432838440,-0.5789863,-0.1980281,0.2609263,-0.7443823
2.467486858,-0.5792825,-0.1980627,0.2607788,-0.7441942
2.499660492,-0.5795072,-0.1983634,0.2609196,-0.7438897
2.534307957,-0.5799368,-0.1986359,0.2608483,-0.7435072
2.566482067,-0.5800657,-0.1989128,0.2609849,-0.7432846
2.601125717,-0.5802692,-0.1991993,0.2610102,-0.7430401
2.633298874,-0.5804721,-0.199265,0.2609581,-0.7428823
2.667947769,-0.5805447,-0.199026,0.2606601,-0.7429942
2.700120926,-0.5807797,-0.1988065,0.2602986,-0.7429962
2.734768867,-0.5809777,-0.198804,0.2601546,-0.7428925
2.766942024,-0.5809861,-0.1988321,0.2600787,-0.7429048
2.801586628,-0.5812572,-0.198864,0.2598688,-0.7427577
2.833759785,-0.5815914,-0.1990196,0.2598113,-0.7424744
