Time (s),Power (dBm),Percentage (%)
0.480040074,-57,86
0.980183125,-55,90
1.479847908,-55,90
1.980138779,-55,90
2.479990482,-55,90
2.979972839,-55,90
3.479967117,-55,90
3.980160236,-55,90
4.479829311,-61,78
4.980092525,-59,82
5.479968548,-53,94
5.980033398,-62,76
6.479810238,-57,86
6.980102062,-67,66
7.480005264,-55,90
7.979938984,-63,74
8.479946137,-57,86
8.980099201,-72,56
9.479837895,-65,70
9.980038166,-69,62
10.479921818,-57,86
10.979957581,-53,94
11.479938030,-60,80
11.980045319,-65,70
12.479821682,-55,90
12.979938507,-59,82
13.479878426,-63,74
13.980084419,-65,70
14.479728699,-60,80
14.980001926,-57,86
15.479894161,-55,90
15.979889870,-57,86
16.479866982,-55,90
16.980064392,-53,94
17.479758740,-60,80
17.980034828,-65,70
18.479907990,-53,94
18.979911327,-62,76
19.479737759,-59,82
19.980005264,-60,80
20.479868889,-64,72
20.979867935,-49,100
21.479849815,-62,76
21.980040073,-51,98
22.479691029,-73,54
22.979964733,-59,82
23.479835034,-63,74
23.979816914,-67,66
24.479864597,-71,58
24.979969501,-62,76
25.479715347,-59,82
25.979870319,-57,86
26.479812145,-57,86
26.979842663,-51,98
27.479656696,-62,76
27.979947567,-47,100
28.479660511,-61,78
28.979797363,-55,90
29.479837895,-65,70
30.479655743,-53,94
30.979978561,-60,80
31.479614258,-62,76
31.979883194,-60,80
32.479664803,-60,80
32.979740143,-57,86
33.479770661,-53,94
34.479556561,-59,82
34.979940414,-64,72
35.479588509,-59,82
35.979887962,-65,70
36.479774475,-61,78
36.979738712,-59,82
37.479557037,-62,76
37.979943275,-53,94
38.479632378,-57,86
38.979786396,-62,76
39.479715347,-63,74
39.979888439,-57,86
40.479574204,-65,70
40.979657650,-63,74
41.479702473,-51,98
41.979684353,-51,98
42.479696751,-53,94
42.979872227,-51,98
43.479521275,-51,98
43.979812145,-47,100
44.479680538,-51,98
44.979788780,-63,74
45.479568958,-60,80
45.979814053,-62,76
46.479674339,-62,76
46.979691029,-59,82
47.479475498,-59,82
47.979846001,-59,82
48.479474545,-49,100
48.979785919,-49,100
49.479677200,-67,66
49.979630947,-59,82
50.479681015,-57,86
50.979810715,-57,86
51.479522705,-64,72
51.979677677,-59,82
52.479655743,-69,62
52.979790688,-59,82
53.479457855,-55,90
53.979753494,-49,100
54.479640961,-53,94
54.979593754,-59,82
55.479577541,-60,80
55.979774475,-60,80
56.479438782,-62,76
56.979731083,-65,70
57.479582787,-59,82
57.979666233,-59,82
58.479442597,-55,90
58.979716301,-53,94
59.479593277,-53,94
59.979586124,-53,94
60.479559898,-53,94
60.979671955,-55,90
61.479452133,-57,86
61.979681492,-55,90
62.479498863,-62,76
62.979563713,-59,82
63.479541302,-49,100
63.979621887,-47,100
64.479377270,-57,86
64.979532242,-53,94
65.479455948,-59,82
65.979704857,-67,66
66.479348660,-59,82
66.979578018,-64,72
67.479508400,-51,98
67.979531288,-59,82
68.479456902,-53,94
68.979641914,-67,66
69.479316235,-61,78
69.979647160,-53,94
70.479521752,-55,90
70.979553223,-63,74
71.479317665,-59,82
71.979656219,-67,66
72.479470730,-65,70
72.979499817,-62,76
73.479464054,-55,90
73.979667664,-67,66
74.479280472,-64,72
74.979469299,-62,76
75.479485035,-71,58
75.979516029,-59,82
76.479430199,-67,66
76.979584694,-67,66
77.479299069,-55,90
77.979616642,-53,94
78.479426384,-53,94
78.979431152,-57,86
79.979561806,-45,100
80.479234219,-57,86
80.979475498,-47,100
81.479238033,-57,86
81.979361057,-60,80
82.479223251,-51,98
82.979577065,-45,100
83.479191303,-53,94
83.979396820,-51,98
84.479212284,-43,100
84.979560852,-45,100
85.479279041,-47,100
85.979430676,-47,100
86.479403019,-45,100
86.979539871,-53,94
87.479203701,-53,94
87.979501247,-65,70
88.479387283,-63,74
88.979421616,-57,86
89.479309082,-62,76
89.979486942,-65,70
90.479201317,-62,76
90.979449749,-59,82
91.479366303,-59,82
91.979340076,-71,58
92.479152203,-59,82
92.979499817,-73,54
93.479338169,-67,66
93.979299068,-55,90
94.479307652,-59,82
94.979466438,-59,82
95.479142189,-55,90
95.979372501,-62,76
96.479294777,-62,76
96.979276180,-53,94
97.479261875,-58,84
97.979428291,-65,70
98.479092598,-62,76
98.979432106,-57,86
99.479272366,-65,70
99.979388714,-63,74
100.479080200,-53,94
100.979406834,-64,72
101.479262829,-59,82
101.979313850,-59,82
102.479073048,-62,76
102.979434013,-47,100
103.479080677,-49,100
103.979407787,-59,82
104.479234219,-55,90
104.979224205,-47,100
105.479088783,-47,100
105.979403019,-53,94
106.479101181,-59,82
106.979254723,-55,90
107.479247093,-57,86
107.979390621,-60,80
108.479021549,-65,70
108.979381561,-51,98
109.479231835,-59,82
109.979233265,-60,80
110.479120255,-65,70
110.979332447,-64,72
111.479001522,-60,80
111.979331017,-58,84
112.479174137,-62,76
112.979232311,-62,76
113.479014874,-62,76
113.979310036,-60,80
114.479091168,-59,82
114.979165554,-60,80
115.979251385,-65,70
116.478971958,-51,98
116.979135513,-53,94
117.979166031,-55,90
118.479086399,-53,94
118.979156017,-49,100
119.479007244,-53,94
119.979218483,-59,82
120.478988648,-60,80
120.979174137,-61,78
121.478992462,-63,74
121.979112148,-61,78
122.979099751,-62,76
123.478942394,-59,82
123.979244232,-60,80
124.478899956,-60,80
124.979177475,-63,74
125.479113579,-62,76
125.979074001,-60,80
126.479088307,-57,86
126.979248524,-55,90
127.478966713,-57,86
