Time (s),Humidity (%)
0.965927601,9.894531
1.966619492,9.054688
2.967309952,9.609375
3.965517044,9.805664
4.966206074,9.583984
5.966895103,9.545898
6.967582703,10.83984
7.965787411,9.816406
8.966473579,9.643555
9.967160225,9.470703
10.965362549,9.790039
11.966047764,9.777344
12.966732025,9.567383
13.967416286,9.148438
14.965616226,9.541992
15.966299534,9.603516
16.966981888,10.03418
17.965180874,9.245117
18.965862751,9.084961
19.966543198,9.010742
20.967223167,9.182617
21.965420246,9.860352
22.966294289,9.354492
23.966973305,9.723633
24.965168953,9.760742
25.965847015,9.15625
26.966524601,9.833984
27.967201710,9.488281
28.965394497,9.451172
29.966117859,9.697266
30.967049122,9.561523
31.965240479,9.327148
32.965915680,8.882813
33.966589928,9.646484
34.967305660,9.62207
35.965496540,9.670898
36.966169357,9.854492
37.966841698,10.10059
38.965030193,8.979492
39.965702057,9.829102
40.966372967,10.29688
41.967044353,9.939453
42.965231419,10.29688
43.965901852,9.125977
44.966571331,9.051758
45.967402935,9.802734
46.965589046,9.741211
47.966340542,9.741211
48.967008591,9.568359
49.965193272,10.11035
50.965860367,8.87793
51.966526985,9.28418
52.967193604,9.493164
53.965376377,10.08398
54.966041565,9.948242
55.966706753,9.676758
56.964888573,9.639648
57.965552330,10.14355
58.966216087,10.31543
59.966879845,10.00781
60.965059280,9.860352
61.965722561,9.711914
62.966384888,9.995117
63.967047215,9.847656
64.965650558,9.428711
65.966311455,9.920898
66.966972351,9.009766
67.965149879,10.26465
68.965809822,9.549805
70.967128754,10.17676
71.965352535,9.980469
72.966011047,9.90625
73.966669559,10.2627
74.964843750,9.4375
75.965501785,10.21289
76.966157913,10.21289
77.966814995,9.904297
78.964988232,10.02734
79.965643883,9.978516
80.966299534,10.58008
81.967140675,9.842773
82.965312481,10.74023
83.965967178,9.755859
84.966620922,10.17383
85.964791298,10.23438
86.965444088,10.07422
87.966097355,9.594727
88.966749668,10.2832
89.964918613,10.45508
90.965570450,9.679688
91.966222286,10.40527
92.966873169,10.25684
93.965399265,10.51563
94.966049671,10.14648
95.966700077,10.55176
96.964866161,10.12109
97.965516090,9.505859
98.966166019,10.25586
99.966814995,9.960938
100.964980602,10.05859
101.965629578,10.64941
102.966278076,10.94336
103.967241287,10.8457
104.965406418,10.24316
105.966082096,9.959961
106.966729641,10.26758
107.964894772,10.43945
108.965542793,9.676758
109.966189861,10.57422
110.966836929,10.37695
111.965001106,11.11426
112.965647697,11.24902
113.966294289,10.76953
114.966940403,11.29883
115.965103626,10.37695
116.965961456,10.29004
117.966607094,10.47363
118.967252254,10.48633
119.965414524,10.57227
120.966059208,10.46191
121.966703415,9.563477
122.964864731,9.650391
123.965508938,10.28906
124.966152668,9.772461
125.966796398,10.71875
126.964956760,9.637695
127.965600014,10.43555
128.966243267,9.96875
129.966885567,10.34961
130.965044975,10.47266
131.965686798,10.38574
132.966329575,10.36133
133.964488029,10.3125
134.965129375,10.33691
135.965866089,10.27441
136.966507912,9.734375
137.964665413,11.24512
138.965305805,10.0166
139.965947151,9.733398
140.966587543,10.04102
141.964745045,10.83887
142.965385437,10.31055
143.966341972,10.38477
144.966982365,10.82715
145.965139389,9.585938
146.965779781,10.64258
147.966420174,10.40918
148.964578152,10.43359
149.965217590,10.05273
