Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.001638412,-0.1861856,0.2275377,-0.01975295,0.004408366,0.008292173,-1.002022,4.930891,-6.072072,36.42343,1007.894
0.034198761,0.05992418,-0.06986697,0.04144645,0.00197447,0.007783306,-1.003961,4.930891,-6.072072,36.42343,1007.898
0.066759586,0.05992418,-0.01038603,-0.08095235,0.002500433,0.005340331,-0.9996487,4.557108,-5.713491,35.97593,1007.894
0.101825237,-0.06313073,-0.1888288,-0.01975295,0.0009997573,0.008247725,-1.00202,4.56442,-6.074719,36.42462,1007.895
0.134381771,-0.1861856,-0.06986697,-0.1421517,-0.001913485,0.008194243,-0.9986341,4.56442,-6.074719,36.42462,1007.895
0.166942120,0.05992418,-0.06986697,-0.08095235,0.001932153,0.0121411,-1.000511,4.558739,-5.710908,36.422,1007.897
0.202007771,-0.06313073,-0.01038603,0.04144645,0.004872381,0.009767239,-1.004417,4.927629,-6.077238,35.53128,1007.897
0.234568596,0.1214516,-0.2483098,0.04144645,0.003919016,0.008290218,-1.002989,4.927629,-6.077238,35.53128,1007.897
0.267129421,-0.001603276,0.1085758,0.1026458,0.002489536,0.006787069,-0.9972097,4.558739,-5.710908,36.422,1007.895
0.302194595,0.05992418,-0.01038603,0.1026458,0.004383788,0.01071513,-1.000535,4.930891,-6.072072,36.42343,1007.895
0.334751129,0.05992418,-0.1888288,-0.1421517,0.005864007,0.007845093,-1.006381,4.930891,-6.072072,36.42343,1007.896
0.367312431,0.1214516,-0.2483098,0.04144645,0.004480008,0.002929591,-0.9982373,4.566051,-6.072136,36.87069,1007.896
0.399872780,-0.370768,0.04909491,-0.08095235,-0.0009395966,0.008206942,-0.9986349,4.192268,-5.713555,36.42319,1007.896
0.434937954,-0.1246582,-0.01038603,-0.08095235,-0.003883745,0.00868552,-1.005392,4.192268,-5.713555,36.42319,1007.892
0.467499256,0.05992418,0.2275377,0.04144645,3.030337E-05,0.007751314,-1.00251,4.20363,-6.441176,36.42842,1007.892
