Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.436928272,80.02734,133.59375,3.9725,265.9375,0
1.491845608,80.01563,133.59375,3.975,269.375,0
2.546477795,80.00391,133.6875,3.970625,263.75,0
3.425655365,79.99219,133.59375,3.974375,270,0
4.480292797,79.98047,133.59375,3.975625,256.875,0
5.535351753,79.96484,133.78125,3.974375,268.75,0
6.414096832,79.96484,133.59375,3.974375,257.8125,0
7.468867779,79.95313,133.78125,3.9725,265.9375,0
8.523649216,79.94141,133.40625,3.97375,272.5,0
9.402814865,79.92969,133.59375,3.97375,258.125,0
10.457444191,79.91797,133.5,3.9725,273.4375,0
11.512373447,79.90625,133.78125,3.971875,262.1875,0
12.391307831,79.90625,133.78125,3.975,262.5,0
13.446168899,79.89453,133.78125,3.973125,272.1875,0
14.500811577,79.88281,133.875,3.975,261.25,0
15.555605411,79.86719,133.78125,3.9725,260.625,0
16.434760570,79.85547,133.5,3.97,271.875,0
17.489375114,79.85547,133.6875,3.971875,267.1875,0
18.544367790,79.84375,133.40625,3.974375,273.125,0
19.423230648,79.83203,133.40625,3.97125,259.6875,0
20.477955341,79.82031,133.59375,3.97375,262.8125,0
21.532891750,79.80859,133.6875,3.97125,256.25,0
22.411795139,79.80859,133.78125,3.970625,260,0
23.466689110,79.79688,133.6875,3.97375,265.9375,0
24.521521568,79.78516,133.5,3.971875,254.0625,0
25.400488853,79.76953,132.9375,3.97125,256.25,0
26.455371857,79.75781,133.125,3.97125,259.6875,0
27.510198593,79.74609,133.125,3.971875,261.5625,0
28.388973236,79.74609,133.21875,3.971875,254.0625,0
29.444214821,79.73438,133.21875,3.97125,264.0625,0
30.498493194,79.72266,133.3125,3.97,262.5,0
31.553411960,79.71094,133.59375,3.971875,262.8125,0
32.432312965,79.69922,133.59375,3.969375,259.6875,0
33.487202167,79.69922,133.6875,3.97,274.0625,0
34.542639732,79.6875,133.6875,3.97,260.3125,0
35.421031952,79.67188,133.59375,3.970625,275.9375,0
36.475647926,79.66016,133.59375,3.97125,262.5,0
37.530551433,79.64844,133.40625,3.9725,269.0625,0
38.409634590,79.64844,133.40625,3.96875,270.625,0
39.464461326,79.63672,133.5,3.97125,257.8125,0
40.519147873,79.625,133.5,3.971875,260.9375,0
41.398025036,79.61328,133.5,3.969375,268.75,0
42.452793121,79.60156,133.40625,3.97,259.6875,0
43.507799148,79.58984,133.5,3.968125,270.3125,0
44.386598587,79.58984,133.3125,3.97,265.625,0
45.441545009,79.57422,133.40625,3.970625,255.3125,0
46.496548653,79.5625,133.3125,3.966875,274.0625,0
