Time (s),Humidity (%)
0.876451969,14.40918
1.874649525,14.53223
2.875329971,14.2373
3.876011372,14.16406
4.874209881,13.95605
5.874891281,15.0625
6.875573158,14.96387
7.876255512,14.85352
8.874455452,14.55859
9.875137806,14.70703
10.875821590,14.59668
11.874022007,14.56055
12.874705791,15.1875
13.875389576,14.49902
14.876073837,14.91797
15.874275684,14.18066
16.874960422,14.35254
17.875646591,14.35352
18.876331329,14.35352
19.874534607,14.79688
20.875220776,14.58789
21.875907421,14.99414
22.874111176,14.95703
23.874798775,15.4248
24.875485897,14.61426
25.876173973,14.18359
26.874378681,14.29492
27.875067711,15.08203
28.875756264,14.56543
29.873962879,14.41895
30.874651909,14.99707
31.875341415,14.43164
32.876031399,14.71484
33.874238968,14.24805
34.874929428,14.38379
35.875620365,14.9248
36.876311779,14.99902
37.874520779,14.17578
38.875212669,14.90137
39.875905037,14.10254
40.874114513,14.68066
41.874807835,14.68164
42.875500679,14.10352
43.876194477,15.37109
44.874405861,14.8418
45.875100136,14.80566
46.875795364,14.48633
47.874007702,14.01855
48.874703407,14.17969
49.875399113,14.77051
50.876095295,14.40137
51.874309063,14.96777
52.875005722,14.74707
53.875703335,14.39063
54.873918056,14.9082
55.874616146,14.08398
56.875314712,14.69922
57.876013279,14.19531
58.874228954,14.61426
59.874928474,15.32813
60.875628471,14.34375
61.873844624,14.43066
62.874545097,14.03711
63.875245571,14.34473
64.875946522,13.38477
65.874164581,14.50488
66.874865532,14.67871
67.875566483,14.1123
68.873785019,14.28418
70.875189304,13.83008
71.875890732,13.80469
72.874110222,13.63281
73.874813080,13.94141
74.875515461,14.31055
75.873735428,13.87988
76.874438763,14.36035
77.875142097,14.54492
78.875845909,14.70508
79.874066830,13.54883
80.874770641,14.76758
81.875474930,14.00391
82.873696804,14.53418
83.874402046,14.62109
84.875106811,15.1748
85.875812054,14.27637
86.874035358,14.81836
87.874741077,14.35059
88.875446796,14.63379
89.873670578,14.40039
90.874376774,13.91992
91.875083923,14.77051
92.875791073,14.85645
93.874014854,13.87207
94.874722481,14.53711
95.875430107,14.90723
96.873654842,14.41504
97.874362946,14.0332
98.875071526,15.00586
99.875780106,14.23047
100.874004841,14.64941
101.874713898,14.37891
102.875422955,14.77344
103.873649597,14.83496
104.874359131,14.23145
105.875069141,15.46387
106.875778675,14.37988
107.874006748,14.94727
108.874716759,14.31934
109.875427246,14.15918
110.873655796,14.20898
111.874366760,14.2832
112.875078678,14.39453
113.875790596,14.51758
114.874018669,14.16016
115.874731064,14.69043
116.875443459,14.37012
117.873673439,14.43262
118.874386311,14.08789
119.875099659,14.29688
120.875812530,13.97656
121.874042988,14.7168
122.874756813,14.61816
123.875470638,14.24902
124.873701572,14.34766
125.874415398,14.29785
126.875129700,13.9043
127.875844002,14.02734
128.874075890,15.17383
129.874791145,14.57031
130.875505924,14.28711
131.873737812,14.90332
132.874453068,14.02832
133.875168800,14.5957
134.875884533,14.21387
135.874116898,14.10254
136.874832630,14.41113
137.875548840,14.81836
138.873782158,14.55957
139.874498367,14.10352
140.875215530,13.14258
141.873449326,14.17773
142.874166012,14.25195
143.874882698,14.12891
144.875600815,14.69629
145.873834610,14.62207
146.874552250,14.77051
147.875269890,13.50098
148.873504162,14.42578
149.874222279,14.36426
150.874939918,14.29004
151.875658035,14.04395
152.873893261,14.42578
153.874611855,14.24121
154.875329971,14.24121
155.873565197,15.01758
156.874283791,14.38965
157.875002861,14.68555
158.875721931,14.66113
159.873957634,14.91992
160.874677181,14.88281
161.875397205,14.94434
162.873633385,14.26758
163.874353409,15.14258
164.875073433,14.99512
165.873310566,14.6377
166.874031067,14.88477
167.874752045,15.83398
168.875472546,14.81055
169.873711109,14.23145
170.874432087,15.73535
171.875154018,15.30469
172.873392105,15.48926
173.874114513,14.94727
174.874836445,14.91113
175.875558853,14.45508
176.873797893,15.56445
177.874521255,14.06055
178.875243664,15.07129
179.873483181,14.59082
180.874206066,14.66504
181.874929428,15.1709
182.875652313,15.61426
183.873892784,14.99805
184.874616623,13.80273
185.875340462,13.91406
186.873580933,14.40723
187.874304771,14.41992
188.875029087,15.75098
189.873270035,15.06055
190.873994350,14.96289
191.874718666,14.87598
192.875443459,14.46973
193.873684883,15.07422
194.874409676,14.0752
195.875134468,14.53125
196.873376369,14.43262
197.874101162,14.65527
198.874826431,14.82813
199.875552177,15.67871
200.873794079,14.96387
201.874519825,14.92676
202.875245571,14.98828
203.873487949,14.87793
204.874213695,15.16113
205.874939918,14.93945
