Time (s),Humidity (%)
0.776784897,15.20117
1.776116848,14.50879
2.775448799,14.60742
3.777286529,14.43457
4.776618957,14.34766
5.775951862,14.58398
6.775285244,14.6084
7.777123451,13.7793
8.776457310,14.32422
9.775790691,14.52246
10.775125027,14.77051
11.776963711,15.5625
12.776299000,14.96875
13.775633812,14.89551
14.777473450,15.34082
15.776808739,14.09082
16.776144504,15.40332
17.775480747,14.57422
18.777321815,14.77246
19.776658058,14.32715
20.775994778,14.73633
21.775331497,15.16992
22.777173996,14.89746
23.776510715,14.24219
24.775848865,15.07129
25.775187492,15.18359
26.777030468,14.09473
27.776368618,15.66699
28.775707245,14.42871
29.775046825,14.41699
30.776890755,14.68945
31.776230812,14.15723
32.775570393,15.06152
33.777415276,15.60645
34.776756287,15.22363
35.776096344,14.98828
36.775438309,14.67871
37.777283668,14.7168
38.776626110,15.62109
39.775967598,14.84082
40.775309563,15.01465
41.777157307,14.7793
42.776500225,15.21387
43.775843143,14.24805
44.775186539,14.87988
45.777035236,15.75879
46.776379108,15.30176
47.775723457,15.17773
48.775067806,14.45996
49.776917458,14.84473
50.776262760,15.76074
51.775608063,14.99316
52.774954319,15.06836
53.776804447,15.34082
54.776150703,14.99414
55.775497436,14.82129
56.774844646,14.41309
57.776696205,15.08203
58.776043415,15.96191
59.775391102,14.99609
60.777244091,14.60059
61.776592255,15.50488
62.775940418,15.25781
63.775289535,14.75
64.777143002,15.86426
65.776492119,15.27051
66.775841713,15.55566
67.775191307,15.24609
68.777046204,14.94922
69.776396275,15.43262
70.775746822,14.29297
71.775096893,15.48242
72.776952267,15.76758
73.776303291,14.96289
74.775654316,16.09082
75.775005817,16.14063
76.776862144,15.74414
77.776214123,14.93848
78.775566578,15.10059
79.774919033,15.48438
80.776775837,15.31152
81.776128769,14.93945
82.775482178,15.42383
83.774835110,15.48535
84.776693344,15.4248
85.776047230,14.61914
86.775401115,15.62305
87.774755478,15.62305
88.776615143,15.54883
89.775969982,15.31445
90.775324821,14.84375
91.774680614,15.43945
92.776541233,15.00586
93.775897503,15.71191
94.775253773,15.09277
95.774610996,15.65137
96.776472568,15.41602
97.775829315,14.53613
98.775187015,15.66504
99.777050018,15.33008
100.776408195,14.36328
101.775766373,14.92188
102.775125027,14.40137
103.776988983,16.03809
104.776347637,15.28223
105.775707245,15.41895
106.775067806,15.00977
107.776932716,14.91113
108.776292801,16.01465
109.775653839,15.80469
110.775014400,15.04883
111.776880741,15.4707
112.776242256,15.45801
113.775603771,15.81836
114.774966240,15.64453
115.776834011,15.44727
116.776196003,15.33594
117.775558948,14.75293
118.774921894,15.57227
119.776790142,15.21289
120.776153564,15.57227
121.775517464,15.51074
122.774881363,15.28809
123.776750565,15.01465
124.776114941,15.3125
125.775479793,15.12695
126.774844646,15.59863
127.776714325,15.3877
128.776079178,15.4502
129.775444508,15.00391
130.774809360,15.10352
131.776680469,15.35156
132.776046276,15.22754
133.775412559,16.02246
134.774778366,15.86133
135.776649952,15.6875
136.776017189,15.47754
137.775383949,14.65918
138.774751663,15.36621
139.776623726,15.19238
140.775991440,16.34668
141.775359631,15.98633
142.774727821,14.49805
143.776600838,15.59082
144.775969505,15.85156
145.775339127,16.00098
146.774708271,15.5918
147.776583195,15.44336
148.775952816,15.20703
149.775322914,16.49805
150.774693966,15.1709
151.776569366,14.93555
152.775940418,15.63086
153.775311470,15.30762
154.774682999,15.80469
155.776559353,15.09766
156.775930881,14.93652
157.775302887,14.87402
158.774675369,15.38379
159.776552200,15.14844
160.775925159,16.36426
161.775298119,15.49609
162.774671555,14.85059
163.776549339,15.89355
164.775923252,15.39746
165.775297165,15.1123
166.774671078,15.43555
167.776550293,14.79004
168.775924206,14.71582
169.775299549,14.81543
170.774674416,15.93262
171.776553631,15.9209
172.775929451,15.63574
173.775304317,15.53613
174.774680138,15.40039
175.776560783,15.51172
176.775936603,14.51855
177.775312424,14.96582
178.774688721,15.95898
179.776569843,15.4375
180.775946140,15.16504
181.775322914,15.14063
182.774699688,16.00977
183.776581287,15.06641
184.775958538,14.95508
185.775335312,15.27734
186.774713039,14.71973
187.774090290,15.51367
188.775972843,15.45215
189.775351047,14.95508
190.774728775,15.11719
191.774106979,16.13477
192.775989532,15.2041
193.775368214,15.49023
194.774746895,15.67676
195.774126053,15.72656
196.776009560,15.31641
197.775388241,16.11133
198.774767399,16.13672
199.774147034,15.77637
200.776030540,14.48535
201.775410652,14.99512
202.774790287,14.66016
203.774169922,15.36816
204.776054859,15.41797
205.775434971,15.5166
