Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.929762840,79.67188,129,3.96125,256.875,0
1.984371662,79.66016,129,3.963125,267.5,0
2.863446236,79.64844,128.8125,3.965625,256.875,0
3.918229103,79.63672,128.34375,3.9675,265.9375,0
4.973065853,79.625,128.0625,3.965,270.3125,0
5.852353096,79.625,128.0625,3.965,269.0625,0
6.906852245,79.61328,128.0625,3.963125,255.9375,0
7.961530209,79.60156,128.0625,3.95875,265.9375,0
8.840630531,79.58984,128.0625,3.964375,252.1875,0
9.895426273,79.57422,128.34375,3.964375,255.9375,0
10.950337887,79.5625,128.15625,3.96375,263.75,0
11.829102039,79.5625,128.0625,3.963125,261.875,0
12.883899689,79.55078,128.25,3.96625,250.3125,0
13.938858986,79.53906,127.875,3.96375,285.3125,0
14.817822456,79.52734,127.875,3.965625,259.375,0
15.872851849,79.51563,127.875,3.965,258.75,0
16.927281380,79.50391,127.875,3.96375,255.3125,0
17.982206345,79.49219,127.78125,3.96375,271.5625,0
18.861066818,79.49219,127.96875,3.96375,251.5625,0
19.916048527,79.47656,128.0625,3.966875,254.0625,0
20.970786571,79.46484,127.875,3.958125,274.6875,0
21.849844456,79.45313,128.0625,3.965625,260,0
22.904856682,79.44141,127.96875,3.963125,257.8125,0
23.959413528,79.42969,127.6875,3.963125,268.4375,0
24.838480473,79.41797,127.5,3.961875,254.0625,0
25.893177032,79.41797,127.40625,3.963125,249.0625,0
26.948192596,79.40625,127.59375,3.9625,258.125,0
27.826841831,79.39453,127.59375,3.964375,263.75,0
28.881843567,79.37891,127.5,3.96375,250.9375,0
29.936426163,79.36719,127.96875,3.96375,267.5,0
30.991382599,79.35547,128.15625,3.96375,261.875,0
31.870430469,79.35547,128.15625,3.96375,257.1875,0
32.925190926,79.34375,128.53125,3.96375,265,0
33.980214596,79.33203,128.71875,3.963125,266.5625,0
34.858817100,79.32031,128.4375,3.963125,256.875,0
35.913783073,79.30859,128.4375,3.9625,269.375,0
36.968542576,79.29688,128.25,3.96125,266.875,0
37.848011494,79.29688,128.15625,3.961875,265,0
38.902233601,79.28125,128.0625,3.96375,258.75,0
39.957192898,79.26953,128.4375,3.963125,256.25,0
40.836030960,79.25781,128.625,3.96,260,0
41.890911579,79.24609,128.53125,3.961875,260.3125,0
42.946182728,79.23438,128.8125,3.96125,258.125,0
43.825017452,79.23438,128.8125,3.96375,261.5625,0
44.879883289,79.22266,128.4375,3.9625,266.5625,0
45.934175014,79.21094,128.53125,3.96125,265.625,0
46.989140511,79.19922,128.71875,3.963125,264.6875,0
47.868151665,79.18359,128.53125,3.9625,262.5,0
48.923161983,79.17188,128.625,3.960625,279.6875,0
49.977568626,79.16016,128.625,3.963125,256.875,0
50.856834412,79.16016,128.625,3.960625,282.1875,0
51.911346912,79.14844,128.53125,3.95875,266.5625,0
52.966260433,79.13672,128.71875,3.9625,252.1875,0
53.845313072,79.125,128.625,3.96375,272.8125,0
54.900134563,79.11328,128.53125,3.96125,275.3125,0
55.955136776,79.10156,128.53125,3.96375,254.375,0
56.833820820,79.10156,128.53125,3.956875,263.125,0
57.888679981,79.08594,128.625,3.959375,258.125,0
58.943489075,79.07422,128.4375,3.9625,253.75,0
59.822336197,79.0625,128.53125,3.963125,261.5625,0
60.877114296,79.05078,128.4375,3.960625,277.8125,0
61.932155609,79.03906,128.71875,3.963125,255.625,0
62.986706257,79.02734,128.53125,3.96,275.625,0
63.865863800,79.02734,128.625,3.95875,259.6875,0
64.920704842,79.01563,128.8125,3.961875,259.6875,0
65.975736618,79.00391,128.53125,3.960625,268.75,0
66.854384422,78.98828,128.625,3.96,272.5,0
67.909090519,78.97656,128.90625,3.959375,258.75,0
68.964034080,78.96484,128.8125,3.96,255.9375,0
69.842998028,78.96484,129.09375,3.960625,275,0
70.897692680,78.95313,128.90625,3.960625,259.6875,0
71.952740192,78.94141,128.71875,3.963125,254.0625,0
72.831635475,78.92969,128.625,3.960625,259.6875,0
73.886307240,78.91797,128.625,3.95875,258.125,0
74.941204071,78.90625,128.71875,3.96,253.4375,0
75.820224762,78.90625,128.90625,3.961875,268.4375,0
76.875054359,78.89063,129,3.961875,258.75,0
77.929665565,78.87891,129.1875,3.96125,262.8125,0
78.984515190,78.86719,129.28125,3.961875,267.5,0
79.863435745,78.85547,129,3.960625,261.25,0
80.918359280,78.84375,128.90625,3.96,253.125,0
81.973862648,78.84375,128.8125,3.9575,257.8125,0
82.852032185,78.83203,128.8125,3.9625,262.1875,0
83.907034397,78.82031,128.8125,3.959375,261.5625,0
84.961649418,78.80859,128.625,3.960625,254.0625,0
85.840768814,78.79297,128.34375,3.95875,261.875,0
86.895560741,78.78125,127.875,3.959375,273.125,0
87.950901508,78.76953,127.3125,3.959375,260.625,0
88.829430580,78.76953,127.3125,3.959375,271.5625,0
89.884009838,78.75781,127.3125,3.960625,268.75,0
90.938983917,78.74609,127.59375,3.961875,270,0
91.817921638,78.73438,127.78125,3.960625,257.1875,0
92.872634411,78.72266,127.40625,3.9625,262.8125,0
93.927901745,78.71094,127.03125,3.960625,268.125,0
