Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.884562969,46.314,33.17
1.882771015,46.27,33.168
2.883460522,46.276,33.166
3.884150982,46.302,33.166
4.882357597,46.306,33.164
5.883047104,46.232,33.162
6.883736134,46.258,33.162
7.884425163,46.208,33.16
8.882631779,46.2,33.16
9.883320808,46.252,33.158
10.884009361,46.222,33.156
11.882215023,46.208,33.154
12.882903576,46.194,33.154
13.883591175,46.24,33.152
14.884279728,46.15,33.152
15.882483959,46.22,33.15
16.883172035,46.18,33.15
17.883859634,46.15,33.148
18.882063866,46.174,33.146
19.882750988,46.098,33.146
20.883437633,46.182,33.144
21.884123802,46.136,33.142
22.882327557,46.146,33.14
23.883013248,46.112,33.14
24.883698940,46.138,33.138
25.884385109,46.114,33.134
26.882587433,46.126,33.132
27.883271694,46.106,33.13
28.883956909,46.08,33.128
29.882157803,46.09,33.126
30.882842541,46.062,33.124
31.883525848,46.012,33.124
32.884209633,45.978,33.122
33.882410049,46.022,33.12
34.883092403,46.014,33.118
35.883775711,45.992,33.116
36.881974220,45.93,33.112
37.882656097,45.94,33.11
38.883337498,45.978,33.106
39.884017944,45.892,33.104
40.882215023,45.888,33.1
41.882894993,45.934,33.094
42.883574009,45.874,33.09
43.884252548,45.846,33.088
44.882447243,45.798,33.084
45.883125305,45.868,33.082
46.883802891,45.838,33.08
47.881996632,45.826,33.078
48.882673264,45.83,33.074
49.883349419,45.76,33.07
50.884025097,45.806,33.068
51.882216930,45.768,33.066
52.882892132,45.758,33.062
53.883566380,45.716,33.06
54.884241104,45.684,33.058
55.882431507,45.652,33.054
56.883104324,45.672,33.05
57.883776665,45.63,33.046
58.881966114,45.626,33.042
59.882637024,45.59,33.036
60.883307934,45.628,33.034
61.883979320,45.58,33.032
62.882166386,45.594,33.028
63.882835865,45.546,33.028
64.883505821,45.564,33.024
65.884174824,45.538,33.02
66.882359982,45.536,33.018
67.883028507,45.472,33.016
68.883695602,45.522,33.012
69.881879806,45.45,33.01
70.882546425,45.466,33.006
71.883212566,45.386,33.004
72.883878231,45.446,32.998
73.882060051,45.392,32.996
74.882724762,45.384,32.994
75.883388996,45.35,32.99
76.884052753,45.398,32.988
77.882234096,45.316,32.984
78.882896900,45.318,32.982
79.883559227,45.286,32.98
80.884222507,45.284,32.978
81.882401466,45.286,32.976
82.883063316,45.3,32.972
83.883724213,45.282,32.97
84.881902695,45.32,32.968
85.882564068,45.262,32.968
86.883224487,45.232,32.966
87.883884907,45.226,32.964
88.882061958,45.236,32.962
89.882722378,45.25,32.96
90.883381367,45.172,32.96
91.884040832,45.198,32.958
92.882216930,45.18,32.956
93.882875442,45.15,32.954
94.883534431,45.084,32.952
95.881709576,45.182,32.95
96.882367134,45.138,32.95
97.883024693,45.14,32.948
98.883682728,45.152,32.946
99.881856918,45.108,32.946
100.882514000,45.092,32.944
101.883172035,45.134,32.944
102.883829117,45.142,32.942
103.882002830,45.084,32.94
104.882658958,45.082,32.94
105.883315563,45.102,32.938
106.883972168,45.102,32.938
107.882144928,45.046,32.936
108.882801533,45.112,32.936
109.883457184,45.074,32.936
110.881630421,45.06,32.934
111.882286072,45.036,32.934
112.882941246,45.054,32.934
113.883596897,45.022,32.934
114.881769180,45.038,32.932
115.882424831,45.05,32.932
116.883080006,45.056,32.932
117.883735180,45.024,32.932
118.881906986,45.002,32.93
119.882562160,45.054,32.93
120.883216381,45.034,32.928
121.883871078,45.04,32.928
122.882041931,45.022,32.926
123.882696152,45.028,32.926
124.883350849,45.01,32.926
125.884004593,45.002,32.924
126.882174969,45.024,32.922
127.882828236,45.01,32.922
128.883481026,44.976,32.92
129.881649971,44.904,32.918
130.882302761,44.954,32.914
131.882954597,44.904,32.91
132.883605957,44.906,32.908
133.881773949,44.904,32.906
134.882424831,44.912,32.902
135.883075237,44.886,32.902
136.883725643,44.836,32.9
137.881892681,44.854,32.898
138.882542610,44.86,32.896
139.883191586,44.854,32.896
140.883841515,44.8,32.894
141.882008076,44.836,32.892
142.882657051,44.822,32.892
143.883305550,44.87,32.89
144.881471157,44.804,32.888
145.882119656,44.83,32.888
146.882768154,44.768,32.886
147.883415699,44.794,32.884
148.881580353,44.786,32.882
149.882227421,44.748,32.88
150.882874489,44.81,32.878
151.883520603,44.73,32.876
152.881683826,44.742,32.874
153.882329464,44.718,32.872
154.882975101,44.654,32.868
155.883620262,44.736,32.866
156.881782055,44.666,32.862
157.882425785,44.674,32.86
158.883070469,44.62,32.858
159.883713245,44.668,32.854
160.881873608,44.644,32.854
161.882516384,44.644,32.852
162.883159161,44.624,32.85
163.881318569,44.594,32.848
164.881959915,44.586,32.846
165.882601738,44.574,32.844
166.883243561,44.63,32.842
167.881401539,44.582,32.84
168.882042408,44.56,32.838
169.882682800,44.516,32.834
170.883323193,44.504,32.832
171.881479740,44.504,32.83
172.882119656,44.432,32.826
173.882758617,44.482,32.824
174.883397102,44.46,32.82
175.881552219,44.488,32.818
176.882190227,44.442,32.816
177.882827759,44.446,32.812
178.883465290,44.444,32.81
179.881618977,44.396,32.808
180.882256031,44.412,32.806
181.882892609,44.366,32.804
182.883528233,44.344,32.802
183.881681442,44.39,32.798
184.882317066,44.344,32.796
185.882952213,44.342,32.794
186.883587360,44.326,32.794
187.881739140,44.382,32.79
188.882373333,44.342,32.788
189.883008003,44.3,32.786
190.883641720,44.302,32.784
191.881792068,44.256,32.782
192.882425785,44.32,32.78
193.883059025,44.294,32.778
194.881208420,44.284,32.776
195.881841183,44.252,32.774
196.882473469,44.254,32.774
197.883105755,44.254,32.772
198.881255150,44.218,32.772
199.881886482,44.24,32.77
200.882519245,44.236,32.77
201.883150101,44.208,32.77
202.881299496,44.194,32.768
203.881930351,44.226,32.768
204.882561207,44.18,32.766
205.883192539,44.226,32.766
206.881340981,44.176,32.764
207.881971359,44.232,32.764
208.882602215,44.172,32.762
209.883233070,44.174,32.762
210.881380081,44.19,32.76
211.882009506,44.11,32.76
212.882639408,44.152,32.758
213.883269310,44.116,32.756
214.881415844,44.128,32.752
215.882043838,44.186,32.75
216.882672310,44.048,32.748
217.883300781,44.092,32.746
218.881445885,44.124,32.744
219.882073879,44.08,32.742
220.882701397,44.048,32.74
221.883328438,44.038,32.738
222.881472111,44.026,32.736
223.882099152,44.064,32.734
224.882725716,44.02,32.734
225.883351326,44.05,32.732
226.881494522,44.016,32.73
227.882120132,44.01,32.728
228.882745266,44.012,32.726
229.883370399,44.006,32.724
230.881513119,43.994,32.724
231.882138252,43.99,32.722
232.882762432,43.98,32.72
233.883386612,43.962,32.72
234.881528378,43.976,32.72
235.882153034,43.972,32.718
236.882776737,43.952,32.718
237.883401394,43.942,32.718
238.881542206,43.946,32.716
239.882165909,43.904,32.716
240.882789612,43.876,32.716
241.883412838,43.932,32.716
242.881554127,43.932,32.714
243.882176876,43.896,32.714
244.882800102,43.908,32.714
245.880940437,43.876,32.712
246.881562710,43.896,32.71
247.882185936,43.9,32.71
248.882808208,43.954,32.708
249.880948067,43.878,32.708
250.881569862,43.884,32.706
251.882192135,43.87,32.704
252.882813930,43.908,32.704
253.880952358,43.84,32.704
254.881574154,43.838,32.702
255.882195950,43.852,32.702
256.882817268,43.878,32.7
257.880955696,43.872,32.7
258.881576061,43.846,32.7
