Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.3092211,0.1714335,0.05369975,0.0617824,-0.2287513,-0.9737914,-2.460849,16.84389,33.85974,1007.995
0.035064697,-0.1852724,0.111629,0.1150088,0.05594996,-0.2302742,-0.9762258,-2.092748,16.84912,34.30463,1007.994
0.067624569,0.121943,0.1113048,-0.007302215,0.06231242,-0.2321529,-0.9723936,-1.722227,16.48537,33.85997,1007.994
0.100184441,0.0593203,-0.1267368,-0.1906209,0.06081896,-0.2292587,-0.9718646,-1.722227,16.48537,33.85997,1007.994
0.135248661,0.1201436,-0.007852642,0.05445676,0.06182389,-0.232632,-0.9753006,-1.731958,17.21558,34.30083,1007.994
0.167808533,0.2422069,-0.06718934,-0.006945532,0.05940646,-0.2336465,-0.9728969,-2.087067,16.48531,34.30724,1007.992
0.200368404,0.3026892,-0.06689692,0.1154433,0.05598575,-0.232242,-0.9709387,-2.087067,16.48531,34.30724,1007.994
0.232927322,-0.1901082,0.05205781,-0.007080439,0.06377161,-0.2311796,-0.9685131,-1.727908,16.84918,33.85736,1007.994
0.267992020,-0.312521,-0.1263711,-0.1293714,0.05893929,-0.236067,-0.976317,-2.094378,16.84653,33.85855,1007.994
0.300551891,-0.3723693,0.05204589,-0.1292663,0.06037269,-0.2326686,-0.9714328,-2.094378,16.84653,33.85855,1007.994
0.333111763,-0.4324562,0.2304255,-0.00655178,0.05498013,-0.2312455,-0.9791399,-2.085435,16.48789,34.75331,1007.993
0.368175984,-0.123905,-0.007800967,-0.006542308,0.06085,-0.2326446,-0.9752999,-2.094378,16.84653,33.85855,1007.991
0.400735855,0.1221116,0.110726,-0.06775345,0.05788166,-0.2292682,-0.9781458,-2.094378,16.84653,33.85855,1007.991
0.433295727,0.06039486,-0.06786945,0.05446092,0.06033285,-0.2297422,-0.9738051,-2.094378,16.84653,33.85855,1007.989
0.468360424,-0.1242788,-0.06729187,-0.06794674,0.06527393,-0.2350412,-0.9700237,-2.098429,17.21293,34.30202,1007.993
0.500919819,0.0603082,0.05149648,-0.006739249,0.05692423,-0.2297866,-0.9738024,-1.724646,16.85435,34.74951,1007.995
0.533479691,0.2438533,-0.06793654,-0.06800723,0.05844302,-0.2341539,-0.9709702,-1.724646,16.85435,34.74951,1007.995
0.568543434,0.1198439,0.1100583,0.05424878,0.05991355,-0.2355794,-0.9738937,-2.087067,16.48531,34.30724,1007.995
0.601103306,-0.2495583,-0.008848362,-0.0679872,0.06227219,-0.2297014,-0.9771899,-2.468162,17.20512,33.41106,1007.995
0.633663177,0.05909629,0.0504449,0.05463132,0.06277801,-0.2302051,-0.971881,-2.468162,17.20512,33.41106,1007.995
0.668727875,-0.1252826,-0.06816022,-0.1288998,0.05889741,-0.2326613,-0.9772318,-2.46653,17.2077,33.85713,1007.995
0.701287746,0.05921194,-0.245784,-0.06775093,0.05794849,-0.234622,-0.976294,-2.087067,16.48531,34.30724,1007.993
0.733847141,0.1201893,-0.06635823,-0.006524745,0.05990754,-0.2355684,-0.9763104,-2.087067,16.48531,34.30724,1007.993
0.766407013,-0.06497952,0.0529858,-0.006632572,0.06130914,-0.2297339,-0.9728391,-1.742532,17.57164,32.96,1007.993
0.801471710,-0.249026,0.2313075,0.1155843,0.05455754,-0.2351743,-0.9714654,-2.088697,16.48272,33.86116,1007.998
0.834031582,0.05871945,0.2904237,0.05435492,0.05646954,-0.2331811,-0.976754,-2.088697,16.48272,33.86116,1007.998
