Time (s),Humidity (%)
0.242355824,12.21875
1.242181301,10.92969
2.242006302,10.54492
3.241832256,10.62012
4.241657734,9.850586
5.241484165,11.00488
6.241310597,11.97168
7.241137028,10.50879
8.240963936,10.78223
9.240790844,10.98047
10.240617752,10.50879
11.242920399,12.14648
12.242747784,11.03027
13.242574692,11.32813
14.242403030,10.6709
15.242230892,11.19238
16.242058754,10.16211
17.241887093,10.27441
18.241714478,11.25391
19.241542816,9.77832
20.241371155,11.00586
21.241199493,11.01855
22.241027832,10.84473
23.240856171,11.62598
24.240684509,10.21191
25.240512371,11.53906
26.242815018,10.94434
27.242643356,10.82031
28.242471695,11.39063
29.242299557,10.02637
30.242127895,9.293945
31.241955757,11.2041
32.241783142,11.16699
33.241610050,10.68359
34.241437912,9.814453
35.241264820,11.27832
36.241091728,10.63379
37.240918636,11.10449
38.240745068,10.78223
39.240571976,11.16602
40.240397930,10.81934
41.242698669,10.38477
42.242524624,10.49609
43.242350102,10.34668
44.242176056,10.69434
45.242001057,9.826172
46.241825104,11.5
47.241649628,10.66797
48.241473198,10.20898
49.241296768,9.427734
50.241119862,10.95313
51.240942955,10.66797
52.240766048,10.50586
53.240587711,10.30762
54.240409851,11.12598
55.242706299,11.69531
56.242527008,9.723633
57.242348194,9.723633
58.242168427,10.10742
59.241988659,11.32227
60.241808415,10.4043
61.241628170,10.37988
62.241446972,10.01953
63.241266251,11.46973
64.241084576,10.56445
65.240902901,9.957031
66.240720749,9.795898
67.240537643,10.61328
68.240354538,11.05957
69.242645741,10.87305
70.242461681,10.61328
71.242277622,10.53809
72.242093086,9.43457
73.241908073,10.5498
74.241722584,11.30566
75.241536617,10.4375
76.241350651,11.3916
77.241164208,9.991211
78.240977287,10.8584
79.240790367,10.88281
80.240602493,10.93262
81.240414620,10.54785
82.240226746,10.83301
83.242512703,10.96875
84.242324352,10.84473
85.242135525,10.68359
86.241945744,8.985352
87.241755962,11.89648
88.241565704,11.26465
89.241375446,11.04102
90.241185188,10.73145
91.240993977,10.27246
92.240802288,10.73145
93.240611076,11.47363
94.240418434,11.08984
95.240226269,11.08984
96.242508411,12.25293
97.242315292,10.09766
98.242122650,10.54395
99.241929531,11.21289
100.241735935,9.886719
101.241541386,11.18652
102.241347790,10.6416
103.241152763,11.16211
104.240958691,11.85449
105.240763664,10.86426
106.240568638,10.72754
107.240372658,10.65332
108.240177155,10.1084
109.242456913,11.07422
110.242261410,10.24414
111.242064953,10.26953
112.241868973,10.1084
113.241673470,11.54492
114.241477013,10.60352
115.241281033,11.95313
116.241085053,12.41113
117.240889072,11.37109
118.240692616,10.21875
119.240496159,10.42969
120.240299702,12.2373
121.240103722,11.16016
122.242381096,10.42969
123.242184639,12.125
124.241987705,11.50586
125.241790772,10.35449
126.241593838,11.97656
127.241396904,9.859375
128.241199017,9.90918
129.241002083,11.74121
130.240804672,12.22363
131.240606785,11.74121
132.240409374,9.858398
133.240211487,10.92383
134.242488384,10.72559
135.242290020,10.3916
136.242091656,12.03711
137.241893292,10.22949
138.241695404,12.11133
139.241496086,11.75195
140.241297245,11.55371
141.241097450,10.15527
142.240898609,11.16992
143.240698338,11.56543
144.240498543,10.74805
145.240298271,11.37891
146.240097046,10.93359
147.242370606,10.64844
148.242169857,10.0791
149.241968155,11.63867
150.241766453,9.782227
151.241564274,11.34082
152.241361618,11.6875
153.241159439,10.91992
154.240956307,11.00684
155.240753651,11.31641
156.240550518,11.05566
157.240346909,10.53613
158.240142345,10.51074
159.239938736,11.95801
160.242208958,12.24219
161.242004871,12.24219
162.241800308,11.88379
163.241596222,11.43848
164.241391182,12.99609
165.241186142,12.48926
166.240980625,10.66992
167.240775585,12.05566
168.240570068,10.95508
169.240364075,10.12598
170.240158558,11.33789
171.239953041,11.00391
172.242221832,11.23926
173.242016316,11.23926
174.241810322,11.33789
175.241604805,11.89453
176.241398335,11.90723
177.241192818,11.75879
178.240987301,11.80859
179.240782261,10.92969
180.240576267,10.26172
181.240370750,10.55859
182.240165234,10.85547
183.239959717,11.83301
184.242228508,11.46191
185.242022991,10.83105
186.241816998,10.41016
187.241611004,11.75879
188.241404533,12.43848
189.241199017,11.95605
190.240992546,11.44922
191.240785599,12.19141
192.240579128,11.18945
193.240372658,11.69629
194.240165711,11.75781
195.239959717,11.21387
196.242227078,11.75781
197.242020130,11.13965
198.241813183,11.01563
199.241606236,11.15137
200.241399288,11.05273
201.241192341,11.08984
202.240984440,12.11621
203.240777016,11.60938
204.240569592,11.64648
205.240362167,11.90625
206.240155220,12.52441
207.239947319,10.83008
208.242214680,11.27539
209.242007256,12.77148
210.241799831,10.8418
211.241591930,10.08691
212.241384983,11.2998
213.241177559,12.0166
214.240969658,11.08887
215.240761280,11.02637
216.240553856,11.94238
217.240345478,10.7793
218.240138054,11.83008
219.239929676,11.83008
220.239720345,11.31055
221.241986752,12.42383
222.241777897,11.73145
223.241569042,11.65723
224.241359711,11.97852
225.241150856,12.39844
226.240941048,11.44629
227.240731716,12.54688
228.240521908,12.29883
229.240312100,12.33594
230.240102291,11.79199
231.239892006,13.18945
232.239681721,11.51953
233.241946220,11.72949
234.241735935,11.0127
235.241525650,10.33203
236.241314411,11.64355
237.241103649,11.06152
238.240892410,12.5332
239.240681648,10.92578
240.240469933,11.06152
241.240258217,11.72949
242.240045071,12.36914
243.239831448,12.1709
244.239617825,11.42871
245.241878986,11.77539
246.241664410,11.93652
247.241450310,10.62598
248.241235733,12.00977
249.241021633,12.9375
250.240806580,12.03516
251.240591526,10.72363
252.240376473,12.41699
253.240161419,12.18262
254.239946365,12.28125
255.239731312,11.47852
256.241991043,12.4668
257.241775990,12.45508
258.241560936,10.89746
259.241346359,11.30469
260.241131306,11.88672
261.240916252,11.83691
262.240701199,12.30664
263.240486145,12.5293
264.240271092,10.72461
265.240056038,12.30664
266.239840984,12.47949
267.239626885,12.02246
268.241886616,11.08301
269.241671562,12.60352
270.241456509,11.75
271.241241455,11.24316
272.241026402,12.05859
273.240811348,11.75
274.240596294,11.00781
275.240380764,11.60059
276.240165711,12.58984
277.239950180,11.37891
278.239734650,11.95898
279.239518166,12.82422
280.241776943,11.98438
281.241561413,11.26758
282.241344929,12.63867
283.241129398,11.65039
284.240912914,11.46484
285.240696907,11.82324
286.240479946,10.11719
287.240263462,10.37695
288.240046501,11.73633
289.239829540,10.47461
290.239612579,11.625
291.241869450,12.11914
292.241652012,11.19238
293.241434097,12.51465
