Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.242355824,44.212,32.616
1.242181301,44.212,32.618
2.242006302,44.224,32.62
3.241832256,44.232,32.622
4.241657734,44.28,32.624
5.241484165,44.236,32.626
6.241310597,44.282,32.626
7.241137028,44.226,32.628
8.240963936,44.236,32.628
9.240790844,44.314,32.63
10.240617752,44.274,32.63
11.242920399,44.29,32.632
12.242747784,44.322,32.634
13.242574692,44.278,32.636
14.242403030,44.324,32.636
15.242230892,44.314,32.636
16.242058754,44.334,32.638
17.241887093,44.33,32.638
18.241714478,44.28,32.64
19.241542816,44.342,32.64
20.241371155,44.332,32.64
21.241199493,44.344,32.64
22.241027832,44.342,32.64
23.240856171,44.318,32.64
24.240684509,44.308,32.64
25.240512371,44.35,32.638
26.242815018,44.33,32.638
27.242643356,44.302,32.638
28.242471695,44.318,32.64
29.242299557,44.302,32.638
30.242127895,44.32,32.638
31.241955757,44.308,32.636
32.241783142,44.294,32.636
33.241610050,44.294,32.636
34.241437912,44.322,32.636
35.241264820,44.262,32.634
36.241091728,44.258,32.632
37.240918636,44.222,32.632
38.240745068,44.244,32.632
39.240571976,44.186,32.63
40.240397930,44.214,32.628
41.242698669,44.254,32.626
42.242524624,44.206,32.626
43.242350102,44.23,32.624
44.242176056,44.22,32.624
45.242001057,44.182,32.622
46.241825104,44.21,32.618
47.241649628,44.174,32.614
48.241473198,44.214,32.612
49.241296768,44.162,32.61
50.241119862,44.1,32.61
51.240942955,44.128,32.608
52.240766048,44.116,32.606
53.240587711,44.126,32.604
54.240409851,44.076,32.602
55.242706299,44.076,32.598
56.242527008,44.042,32.596
57.242348194,44.032,32.594
58.242168427,44.06,32.592
59.241988659,44.054,32.588
60.241808415,43.984,32.586
61.241628170,44.014,32.584
62.241446972,44.03,32.582
63.241266251,44.014,32.58
64.241084576,43.952,32.576
65.240902901,43.9,32.574
66.240720749,43.958,32.572
67.240537643,43.936,32.57
68.240354538,43.884,32.566
69.242645741,43.874,32.564
70.242461681,43.878,32.562
71.242277622,43.864,32.558
72.242093086,43.886,32.556
73.241908073,43.824,32.554
74.241722584,43.836,32.55
75.241536617,43.786,32.548
76.241350651,43.844,32.546
77.241164208,43.8,32.546
78.240977287,43.74,32.542
79.240790367,43.764,32.54
80.240602493,43.728,32.54
81.240414620,43.748,32.538
82.240226746,43.758,32.534
83.242512703,43.742,32.532
84.242324352,43.706,32.53
85.242135525,43.722,32.528
86.241945744,43.686,32.526
87.241755962,43.702,32.524
88.241565704,43.694,32.522
89.241375446,43.644,32.518
90.241185188,43.616,32.516
91.240993977,43.66,32.514
92.240802288,43.616,32.512
93.240611076,43.596,32.51
94.240418434,43.614,32.508
95.240226269,43.576,32.506
96.242508411,43.576,32.504
97.242315292,43.634,32.502
98.242122650,43.552,32.502
99.241929531,43.536,32.5
100.241735935,43.578,32.496
101.241541386,43.52,32.492
102.241347790,43.546,32.49
103.241152763,43.548,32.488
104.240958691,43.486,32.488
105.240763664,43.51,32.486
106.240568638,43.49,32.484
107.240372658,43.5,32.484
108.240177155,43.476,32.482
109.242456913,43.468,32.482
110.242261410,43.48,32.482
111.242064953,43.468,32.48
112.241868973,43.45,32.48
113.241673470,43.474,32.48
114.241477013,43.498,32.48
115.241281033,43.478,32.478
116.241085053,43.468,32.478
117.240889072,43.496,32.478
118.240692616,43.466,32.476
119.240496159,43.482,32.476
120.240299702,43.466,32.476
121.240103722,43.45,32.476
122.242381096,43.434,32.472
123.242184639,43.436,32.472
124.241987705,43.46,32.472
125.241790772,43.46,32.472
126.241593838,43.406,32.47
127.241396904,43.434,32.47
128.241199017,43.39,32.47
129.241002083,43.414,32.47
130.240804672,43.484,32.468
131.240606785,43.398,32.468
132.240409374,43.424,32.466
133.240211487,43.4,32.466
134.242488384,43.466,32.466
135.242290020,43.338,32.466
136.242091656,43.366,32.464
137.241893292,43.376,32.462
138.241695404,43.37,32.46
139.241496086,43.374,32.456
140.241297245,43.356,32.456
141.241097450,43.366,32.456
142.240898609,43.344,32.454
143.240698338,43.37,32.452
144.240498543,43.344,32.448
145.240298271,43.364,32.446
146.240097046,43.362,32.444
147.242370606,43.238,32.444
148.242169857,43.322,32.442
149.241968155,43.278,32.44
150.241766453,43.242,32.438
151.241564274,43.268,32.438
152.241361618,43.21,32.436
153.241159439,43.21,32.436
154.240956307,43.27,32.434
155.240753651,43.216,32.432
156.240550518,43.162,32.43
157.240346909,43.166,32.428
158.240142345,43.168,32.426
159.239938736,43.184,32.424
160.242208958,43.216,32.424
161.242004871,43.176,32.422
162.241800308,43.178,32.422
163.241596222,43.164,32.42
164.241391182,43.12,32.418
165.241186142,43.144,32.416
166.240980625,43.18,32.414
167.240775585,43.15,32.414
168.240570068,43.134,32.414
169.240364075,43.1,32.414
170.240158558,43.114,32.414
171.239953041,43.134,32.412
172.242221832,43.136,32.412
173.242016316,43.142,32.412
174.241810322,43.154,32.412
175.241604805,43.098,32.412
176.241398335,43.14,32.412
177.241192818,43.124,32.412
178.240987301,43.158,32.412
179.240782261,43.156,32.412
180.240576267,43.164,32.412
181.240370750,43.128,32.412
182.240165234,43.154,32.412
183.239959717,43.108,32.41
184.242228508,43.134,32.412
185.242022991,43.126,32.41
186.241816998,43.118,32.41
187.241611004,43.134,32.41
188.241404533,43.096,32.41
189.241199017,43.126,32.408
190.240992546,43.072,32.408
191.240785599,43.114,32.408
192.240579128,43.1,32.408
193.240372658,43.116,32.408
194.240165711,43.07,32.406
195.239959717,43.09,32.406
196.239752293,43.122,32.406
197.242020130,43.064,32.404
198.241813183,43.02,32.404
199.241606236,43.07,32.404
200.241399288,43.068,32.402
201.241192341,43.072,32.402
202.240984440,43.07,32.402
203.240777016,43.092,32.402
204.240569592,43.106,32.4
205.240362167,43.076,32.4
206.240155220,43.056,32.4
207.239947319,43.054,32.4
208.242214680,43.036,32.4
209.242007256,43.036,32.4
210.241799831,43.036,32.4
211.241591930,43.066,32.4
212.241384983,43.068,32.4
213.241177559,43.056,32.396
214.240969658,43.034,32.394
215.240761280,43.032,32.394
216.240553856,43.03,32.394
217.240345478,43.068,32.392
218.240138054,42.998,32.39
219.239929676,43.04,32.39
220.239720345,42.994,32.388
221.241986752,43.044,32.388
222.241777897,43.012,32.388
223.241569042,43.026,32.388
224.241359711,42.99,32.388
225.241150856,43.014,32.388
226.240941048,42.99,32.386
227.240731716,43.03,32.386
228.240521908,42.98,32.382
229.240312100,42.968,32.382
230.240102291,42.97,32.382
231.239892006,43.012,32.382
232.239681721,42.984,32.382
233.241946220,42.992,32.382
234.241735935,42.97,32.38
235.241525650,42.898,32.38
236.241314411,42.954,32.378
237.241103649,42.932,32.378
238.240892410,42.968,32.376
239.240681648,42.946,32.374
240.240469933,42.934,32.374
241.240258217,42.884,32.372
242.240045071,42.854,32.356
243.239831448,42.888,32.346
244.239617825,42.868,32.346
245.241878986,42.804,32.348
246.241664410,42.816,32.348
247.241450310,42.826,32.348
248.241235733,42.8,32.348
249.241021633,42.814,32.348
250.240806580,42.8,32.346
251.240591526,42.824,32.344
252.240376473,42.792,32.344
253.240161419,42.84,32.344
254.239946365,42.786,32.344
255.239731312,42.794,32.344
256.241991043,42.818,32.346
257.241775990,42.8,32.346
258.241560936,42.82,32.344
259.241346359,42.822,32.346
260.241131306,42.79,32.346
261.240916252,42.8,32.346
262.240701199,42.76,32.346
263.240486145,42.798,32.346
264.240271092,42.76,32.346
265.240056038,42.792,32.346
266.239840984,42.768,32.346
267.239626885,42.828,32.346
268.241886616,42.798,32.346
269.241671562,42.808,32.346
270.241456509,42.8,32.344
271.241241455,42.814,32.342
272.241026402,42.794,32.342
273.240811348,42.812,32.344
274.240596294,42.774,32.34
275.240380764,42.798,32.338
276.240165711,42.764,32.336
277.239950180,42.784,32.336
278.239734650,42.776,32.338
279.239518166,42.758,32.338
280.241776943,42.774,32.338
281.241561413,42.748,32.338
282.241344929,42.752,32.338
283.241129398,42.776,32.338
284.240912914,42.744,32.336
285.240696907,42.752,32.334
286.240479946,42.754,32.334
287.240263462,42.674,32.334
288.240046501,42.726,32.334
289.239829540,42.708,32.33
290.239612579,42.718,32.328
291.241869450,42.714,32.328
292.241652012,42.674,32.328
293.241434097,42.706,32.328
