Time (s),Power (dBm),Percentage (%)
0.349560737,-69,62
0.849243641,-67,66
1.349377155,-69,62
1.849286079,-69,62
2.349543094,-69,62
2.849434376,-67,66
3.349480152,-71,58
3.849351406,-71,58
4.349579811,-69,62
4.849233150,-69,62
5.349532604,-73,54
5.849209785,-60,80
6.349411964,-59,82
6.849380016,-59,82
7.349503517,-59,82
7.849268436,-57,86
8.349517822,-51,98
8.849222183,-59,82
9.349513054,-60,80
9.849365234,-65,70
10.349385738,-69,62
10.849298954,-62,76
11.349554539,-59,82
11.849245548,-60,80
12.349496841,-60,80
12.849369049,-65,70
13.349419594,-59,82
13.849380493,-53,94
14.349372387,-59,82
14.849204540,-57,86
15.349518299,-55,90
15.849206448,-62,76
16.349510193,-60,80
16.849328995,-61,78
17.349333286,-60,80
17.849179268,-60,80
18.349524021,-61,78
18.849160194,-62,76
19.349462032,-60,80
19.849320888,-62,76
20.349363804,-60,80
20.849345207,-60,80
21.349429607,-57,86
21.849140167,-55,90
22.349483013,-57,86
22.849164963,-63,74
23.349434852,-57,86
23.849330425,-53,94
24.349326610,-57,86
24.849281788,-62,76
25.349454403,-62,76
25.849124432,-57,86
26.349409103,-58,84
26.849249840,-57,86
27.349306583,-55,90
27.849245071,-55,90
28.349316597,-59,82
28.849285126,-62,76
29.349371910,-65,70
29.849158764,-60,80
30.349380493,-64,72
30.849244595,-53,94
31.349280357,-53,94
31.849255085,-59,82
32.349394798,-62,76
32.849095821,-53,94
33.349395275,-53,94
33.849194050,-63,74
34.349249363,-69,62
34.849241257,-55,90
35.349263191,-59,82
35.849085331,-57,86
36.349380493,-62,76
36.849132061,-59,82
37.349332809,-59,82
37.849261761,-57,86
38.349232673,-57,86
38.849220753,-57,86
39.349391460,-59,82
39.849092960,-57,86
40.349359512,-57,86
41.349427223,-60,80
41.849242210,-59,82
42.349218368,-49,100
42.849192619,-55,90
43.349380016,-51,98
43.849091053,-51,98
44.349292278,-57,86
44.849227428,-55,90
45.349214554,-57,86
45.849024773,-57,86
46.349397182,-55,90
46.849025249,-55,90
47.349155426,-53,94
47.849112034,-59,82
48.349341869,-60,80
48.848989010,-67,66
49.349183559,-60,80
49.849011898,-62,76
50.349345684,-57,86
50.849035740,-57,86
51.349261761,-63,74
51.849192142,-62,76
52.349163532,-51,98
52.849153995,-53,94
53.349124908,-65,70
53.849029064,-53,94
54.349293232,-59,82
54.849125385,-61,78
55.349147796,-62,76
55.849139214,-65,70
56.349161148,-64,72
56.849142075,-65,70
57.349276543,-65,70
57.849038601,-63,74
58.349242210,-61,78
58.849124432,-60,80
59.349130154,-65,70
59.849034309,-59,82
60.349287033,-60,80
60.849011421,-57,86
61.349255562,-57,86
61.849074364,-53,94
62.349132538,-55,90
62.849103451,-57,86
63.349152088,-63,74
63.849141598,-53,94
64.349276066,-59,82
64.848940372,-61,78
65.349231720,-57,86
65.849123955,-53,94
66.349119663,-55,90
66.848918915,-57,86
67.349247455,-59,82
67.848983288,-55,90
68.349257469,-57,86
68.849064350,-63,74
69.349113464,-58,84
69.849104881,-67,66
70.349141121,-65,70
70.848905563,-55,90
71.349242210,-59,82
71.848898411,-59,82
72.349213600,-62,76
72.849090099,-51,98
73.349114418,-67,66
73.848887920,-65,70
74.349212169,-51,98
74.848906994,-55,90
75.349151134,-60,80
75.849060059,-51,98
76.349088192,-55,90
76.848988056,-65,70
77.349051952,-65,70
77.848891735,-67,66
78.349115372,-62,76
78.848872662,-63,74
79.349161625,-59,82
79.848952293,-59,82
80.349015236,-59,82
80.848908901,-62,76
81.349079609,-60,80
81.848922729,-59,82
82.349154949,-59,82
82.848921776,-59,82
83.349010467,-59,82
83.848999977,-59,82
84.349062443,-59,82
84.848898411,-57,86
85.349139213,-57,86
85.848842144,-55,90
86.349141121,-55,90
86.848986149,-51,98
87.349028110,-62,76
87.848915100,-53,94
88.349172115,-57,86
89.349118233,-57,86
89.848980427,-51,98
90.348982811,-53,94
90.848965168,-57,86
91.349074840,-53,94
91.848798752,-53,94
92.349139690,-60,80
92.848807335,-65,70
93.349144935,-60,80
93.848987102,-59,82
94.348955631,-57,86
94.848931313,-55,90
95.349130154,-67,66
95.848806381,-62,76
96.348904610,-65,70
96.848941803,-55,90
97.349002361,-60,80
97.848966598,-64,72
98.349037647,-65,70
98.848780632,-57,86
99.349105358,-62,76
99.848790169,-62,76
100.349063873,-55,90
100.848952770,-62,76
101.348938942,-57,86
101.848906994,-62,76
102.349090576,-59,82
102.848807335,-67,66
103.348932743,-65,70
103.848937988,-65,70
104.348948479,-64,72
104.848898411,-62,76
105.349075794,-65,70
105.848751545,-65,70
106.349036217,-60,80
106.848818302,-64,72
107.349082470,-65,70
107.848883629,-62,76
108.348899841,-62,76
108.848860741,-62,76
109.349056721,-62,76
109.848754406,-62,76
110.348933697,-62,76
