Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.014014244,-0.04134697,-0.05775582,0.02224021,-0.007226172,0.7755877,-0.6253924,0.3740938,-26.5904,23.51807,1008.072
0.046294212,-0.2270216,-0.1746866,0.02243612,-0.006753406,0.7789652,-0.6287583,0.3740938,-26.5904,23.51807,1008.071
0.081058025,-0.4738221,-0.2916933,0.02262394,-0.0009439066,0.7770559,-0.625881,0.7362094,-26.22988,23.50794,1008.071
0.113338470,-0.1621976,-0.1151693,-0.03783591,-0.008198278,0.7770302,-0.6273159,0.01197839,-26.95093,23.52821,1008.069
0.145618915,0.1481176,0.1198903,0.02304877,-0.01061711,0.7779961,-0.6258548,0.01197839,-26.95093,23.52821,1008.069
0.180382728,0.3328635,-0.05619181,0.08360153,-0.004327103,0.7775416,-0.6224869,0.02396369,-26.9453,23.96393,1008.073
0.212663173,0.2072293,-0.05568657,0.02281728,-0.006260932,0.7770489,-0.6234524,0.0106554,-26.2219,23.51897,1008.073
0.247426510,-0.5978207,-0.231348,-0.1597608,-0.009153362,0.7741453,-0.6210455,0.0106554,-26.2219,23.51897,1008.073
0.279706955,-0.9042606,-0.2308466,-0.2201837,-0.009153716,0.7746325,-0.6200758,0.3867407,-26.94929,23.95842,1008.075
0.314470768,-0.2196706,-0.171149,-0.2804447,-0.006729517,0.7717341,-0.6205809,0.3747554,-26.95492,23.52269,1008.075
0.346751213,0.2759252,-0.1701753,-0.09693798,-0.006274791,0.7813895,-0.6277786,0.3747554,-26.95492,23.52269,1008.076
0.379032135,0.08893795,-0.2286079,0.08583938,-0.01014544,0.7823462,-0.6277648,0.3747554,-26.95492,23.52269,1008.076
0.413794994,-0.09692603,-0.05249008,0.1464032,-0.005294194,0.7775388,-0.6224848,0.3740938,-26.5904,23.51807,1008.078
0.446075439,-0.09585059,0.0647797,-0.03651866,-0.006265156,0.7784975,-0.624411,0.3740938,-26.5904,23.51807,1008.078
0.480839252,-0.03357298,0.06493691,-0.03653036,-0.007232499,0.7755616,-0.6331275,0.3621085,-26.59604,23.08235,1008.076
0.513119697,0.1521351,-0.1697338,0.02442564,-0.004339691,0.7828648,-0.6224566,0.3614471,-26.23152,23.07773,1008.075
0.547883034,-0.09590282,0.1237334,0.02424208,-0.008200441,0.7794647,-0.622951,0.3614471,-26.23152,23.07773,1008.075
0.580163479,-0.03388807,0.06539153,-0.09752798,-0.004806466,0.7756029,-0.6229803,0.02396369,-26.9453,23.96393,1008.075
0.612443924,0.2142028,0.1832854,0.1463075,-0.006749097,0.7784945,-0.6248934,0.01197839,-26.95093,23.52821,1008.075
0.647207737,0.09003448,0.06599566,-0.09746693,-0.008208183,0.7813873,-0.6268076,0.3860791,-26.58477,23.9538,1008.075
0.679488659,-0.09598128,0.1247975,-0.03674074,-0.007716147,0.7789804,-0.6234383,0.3860791,-26.58477,23.9538,1008.075
0.714252472,0.2137253,0.06617261,0.02415092,-0.01012626,0.7755844,-0.6239358,0.7375324,-26.95891,23.51717,1008.075
0.746532917,0.337093,-0.109985,-0.03690767,-0.005771706,0.7741418,-0.6249203,0.02396369,-26.9453,23.96393,1008.075
0.781295776,0.3364877,0.007406328,0.1457323,-0.005304931,0.7814037,-0.6243966,0.02396369,-26.9453,23.96393,1008.075
0.813576221,-0.1591567,0.007228877,-0.09795529,-0.006744873,0.7770459,-0.6239348,1.099648,-26.59838,23.50704,1008.075
0.845857143,-0.03459952,-0.2270961,-0.03686385,-0.009634579,0.7736648,-0.6195968,0.02330232,-26.58078,23.95932,1008.075
0.880620956,0.337394,-0.1093564,0.02408574,-0.008685922,0.7799439,-0.6239141,0.02330232,-26.58078,23.95932,1008.075
0.912901401,0.2743168,-0.05048411,0.08456528,-0.007713504,0.7775254,-0.6244134,0.7355478,-25.86536,23.50333,1008.079
0.947664261,0.08684227,0.008863796,0.08438531,-0.004815747,0.7780077,-0.6273176,0.3860791,-26.58477,23.9538,1008.077
0.979945183,-0.5939969,-0.1082649,0.02342567,-0.002871493,0.7756117,-0.6220176,0.3860791,-26.58477,23.9538,1008.077
1.012225628,-0.4676672,0.06811924,0.02350255,-0.008192868,0.7755867,-0.6249069,0.3631592,-26.23072,23.13998,1008.077
1.046989441,0.1531109,-0.1076069,-0.03698707,-0.007718123,0.7789723,-0.6258555,0.3727708,-25.86137,23.50884,1008.077
1.079269886,0.3998172,-0.1071315,-0.1589471,-0.004329871,0.7775301,-0.625871,0.3727708,-25.86137,23.50884,1008.077
1.114032745,0.1502846,0.06915237,0.02377012,-0.008681303,0.7784971,-0.622472,0.01131701,-26.58642,23.52359,1008.075
1.146313667,-0.3450866,-0.04846116,-0.09843752,-0.009637471,0.7721868,-0.6273403,-0.3647683,-25.85903,23.08415,1008.075
1.181077480,-0.2813068,-0.1071904,-0.03731316,-0.002877257,0.7775425,-0.6234569,-0.3647683,-25.85903,23.08415,1008.073
