Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.678700447,56.72266,93.46875,3.81,256.875,0
1.557959080,56.71094,93.65625,3.81125,280,0
3.667199135,56.69922,93.375,3.813125,252.1875,0
4.546277046,56.6875,93.5625,3.811875,267.1875,0
5.601040363,56.67578,93.46875,3.81,255.625,0
6.656271934,56.66406,93.5625,3.810625,260,0
7.534920215,56.65234,93.5625,3.813125,266.5625,0
8.589554310,56.65234,93.75,3.8125,241.25,0
9.644462109,56.64063,93.46875,3.8075,275.3125,0
10.699293613,56.625,93.5625,3.81,255.9375,0
11.578097820,56.61328,93.5625,3.810625,264.6875,0
12.633274555,56.60156,93.28125,3.81125,279.375,0
13.687683582,56.58984,93.28125,3.80875,267.5,0
14.566819668,56.58984,93.1875,3.806875,267.1875,0
15.621620178,56.57813,93.09375,3.80625,273.125,0
16.676300049,56.56641,93.09375,3.81125,273.125,0
17.555332184,56.55469,93,3.810625,259.0625,0
18.610055923,56.54297,93.09375,3.808125,265.625,0
19.664988041,56.52734,93.1875,3.811875,260,0
20.543953895,56.52734,93.1875,3.8075,251.5625,0
21.599304676,56.51563,93.09375,3.809375,265.9375,0
22.653554439,56.50391,92.625,3.81,272.1875,0
23.708250046,56.49219,92.625,3.81,265.625,0
24.587447643,56.48047,92.625,3.809375,260.9375,0
25.642031193,56.48047,92.625,3.809375,267.8125,0
26.697295666,56.46875,92.90625,3.81125,263.4375,0
27.576050758,56.45703,92.90625,3.80875,262.8125,0
28.630805492,56.44531,93,3.810625,256.875,0
29.685603619,56.42969,92.8125,3.809375,268.4375,0
30.565247536,56.41797,92.71875,3.808125,280.3125,0
31.619285107,56.41797,92.8125,3.80875,257.1875,0
32.674060345,56.40625,92.90625,3.80875,259.375,0
33.553194046,56.39453,93,3.809375,262.1875,0
34.607933998,56.38281,93.09375,3.8075,255,0
35.662606716,56.37109,93,3.80875,264.0625,0
36.542138576,56.37109,92.90625,3.808125,265.3125,0
37.596424580,56.35938,93,3.80875,267.1875,0
38.651337147,56.34766,93.09375,3.81,258.125,0
39.706154823,56.33203,92.71875,3.809375,247.1875,0
40.585128307,56.32031,93,3.808125,263.4375,0
41.640179157,56.30859,92.90625,3.809375,255.3125,0
42.694617271,56.30859,93,3.809375,259.0625,0
