Time (s),Power (dBm),Percentage (%)
0.208745479,-51,98
0.708694935,-53,94
1.208739757,-51,98
1.708849430,-51,98
2.208530903,-53,94
3.208718777,-51,98
3.708689213,-51,98
4.208573818,-55,90
4.708685875,-63,74
5.208536148,-57,86
5.708705425,-53,94
6.208477020,-67,66
6.708642483,-59,82
7.208498001,-59,82
7.708652973,-55,90
8.208514213,-62,76
8.708646297,-61,78
9.208469391,-49,100
9.708765507,-51,98
10.208646774,-51,98
10.708695888,-47,100
11.208471775,-61,78
11.708811283,-63,74
12.208665371,-53,94
12.708843708,-65,70
13.208660602,-60,80
13.708805561,-64,72
14.208692074,-59,82
14.708799839,-62,76
15.208689689,-62,76
15.708569527,-67,66
16.208664894,-57,86
16.708792210,-57,86
17.208568096,-57,86
17.708598614,-57,86
18.208463669,-57,86
18.708630562,-64,72
19.208436489,-57,86
19.708643913,-53,94
20.208501816,-59,82
20.708623886,-67,66
21.208452701,-67,66
21.708589554,-57,86
22.208469391,-62,76
22.708771229,-55,90
23.208561420,-62,76
23.708692551,-51,98
24.208445549,-57,86
24.708763122,-55,90
25.208615780,-51,98
25.708757877,-53,94
26.208649635,-53,94
26.708793163,-53,94
27.208597183,-57,86
27.708788872,-55,90
28.708736896,-53,94
29.208608627,-51,98
29.708786011,-57,86
30.208544731,-59,82
30.708614349,-55,90
31.208440780,-55,90
31.708549499,-60,80
32.208392143,-53,94
32.708560944,-59,82
33.708590031,-55,90
34.208425522,-59,82
34.708603859,-59,82
35.708720207,-62,76
36.208566189,-63,74
36.708712578,-60,80
37.208509922,-62,76
37.708523273,-57,86
38.208604812,-59,82
38.708749294,-53,94
39.208467960,-67,66
39.708744049,-57,86
40.208560943,-62,76
40.708597183,-59,82
41.208593368,-57,86
41.708748817,-61,78
42.208471775,-65,70
42.708726406,-47,100
43.208549976,-55,90
43.708604813,-63,74
44.208356857,-57,86
44.708520889,-67,66
45.208359718,-55,90
45.708557606,-60,80
46.208326816,-59,82
46.708508968,-57,86
47.208326816,-62,76
47.708502769,-51,98
48.208340168,-53,94
48.708693981,-53,94
49.208378792,-64,72
49.708619595,-55,90
50.208472729,-59,82
50.708543301,-59,82
51.208335399,-60,80
51.708664894,-59,82
52.208518982,-57,86
52.708467960,-55,90
53.208550453,-53,94
53.708658695,-57,86
54.208303451,-71,58
54.708694458,-57,86
55.208543300,-51,98
55.708435535,-59,82
56.208522320,-59,82
56.708611965,-59,82
57.208282471,-53,94
57.708508015,-61,78
58.208344459,-57,86
58.708511829,-53,94
59.208346367,-55,90
59.708464622,-57,86
60.208296776,-59,82
60.708479881,-67,66
61.208311081,-57,86
61.708446979,-59,82
62.208341121,-60,80
63.208483219,-57,86
63.708506107,-53,94
64.208475113,-57,86
64.708651543,-64,72
65.208469391,-55,90
65.708614826,-65,70
66.208501816,-55,90
66.708645821,-57,86
67.208498478,-51,98
67.708648682,-55,90
68.208494186,-59,82
68.708670616,-59,82
69.208474636,-53,94
69.708538055,-59,82
70.208312988,-60,80
70.708420277,-53,94
71.208270073,-59,82
71.708437443,-62,76
72.208296299,-53,94
72.708485603,-57,86
73.208302021,-53,94
73.708403587,-55,90
74.208252907,-59,82
74.708543777,-51,98
75.208413124,-62,76
75.708509445,-55,90
76.208333015,-53,94
77.208425999,-67,66
77.708530903,-59,82
78.208422184,-57,86
78.708567142,-58,84
79.208369255,-60,80
79.708596706,-63,74
80.208450317,-64,72
80.708505154,-65,70
81.208417892,-62,76
81.708596229,-62,76
82.208331585,-63,74
82.708391666,-62,76
83.208211422,-62,76
83.708382606,-62,76
84.208229542,-53,94
84.708386898,-59,82
85.208220005,-53,94
85.708368301,-59,82
86.208179474,-59,82
86.708524227,-64,72
87.208391189,-62,76
87.708464146,-58,84
88.208318710,-59,82
88.708309650,-57,86
89.208381176,-55,90
89.708401203,-57,86
90.208413601,-57,86
90.708523273,-53,94
91.208240032,-53,94
91.708554268,-62,76
92.208406448,-64,72
92.708409309,-53,94
93.208377361,-60,80
93.708528042,-59,82
94.208226204,-51,98
94.708318233,-47,100
95.208171367,-53,94
95.708344936,-49,100
96.208152294,-67,66
96.708337784,-57,86
97.208173275,-55,90
97.708339214,-57,86
98.208164692,-55,90
98.708484173,-62,76
99.208135128,-60,80
99.708445549,-55,90
100.208295345,-62,76
100.708324432,-57,86
101.208339214,-53,94
101.708271980,-57,86
102.208333492,-59,82
102.708478928,-53,94
103.208107471,-59,82
103.708509445,-55,90
104.208328247,-55,90
104.708525658,-53,94
105.208333015,-57,86
105.708491325,-47,100
106.208254337,-57,86
106.708317757,-60,80
107.208127975,-59,82
107.708297253,-57,86
108.208152771,-57,86
108.708291531,-57,86
109.208119392,-57,86
109.708288193,-57,86
110.208110809,-57,86
