Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.006211758,0.9053527,0.001612922,0.1095327,0.02986398,-0.9985734,0.1119627,10.34374,31.55227,-21.77108,1007.883
0.038383484,1.458226,0.06079794,0.2321067,0.02543974,-0.9956794,0.1067259,10.34374,31.55227,-21.77108,1007.881
0.073029995,1.028214,-0.1167571,-0.1356154,0.03182201,-1.000995,0.1138525,10.34374,31.55227,-21.77108,1007.881
0.105202675,1.458226,0.001612922,-0.01304135,0.03471513,-0.9995909,0.1090171,9.583167,31.93927,-22.1516,1007.883
0.139849186,2.748265,0.001612922,0.2321067,0.02507538,-0.9892783,0.11835,10.33905,31.92853,-22.15546,1007.881
0.172020912,0.1681878,0.119983,0.04824567,0.02314,-0.993122,0.1221924,10.33905,31.92853,-22.15546,1007.879
0.206667423,-2.227598,0.06079794,-0.07432837,0.02984782,-1.000522,0.1109828,10.33879,31.5474,-22.1536,1007.879
0.238840103,0.7210615,-0.1167571,-0.07432837,0.03220649,-1.00351,0.1027422,10.71699,31.92316,-22.1574,1007.877
0.273486614,3.362569,-0.05757209,0.2321067,0.02744648,-0.99709,0.1139255,10.71699,31.92316,-22.1574,1007.877
0.305658340,2.686835,0.001612922,0.2321067,0.02802963,-0.9916868,0.1226406,10.33905,31.92853,-22.15546,1007.877
0.340305805,-0.0775339,-0.1167571,0.1708197,0.02213581,-0.9960442,0.1202497,10.71647,31.16089,-22.15368,1007.877
0.372477531,-0.9375597,0.179168,-0.01304135,0.02700125,-0.9984995,0.119702,10.71647,31.16089,-22.15368,1007.875
0.407124042,0.4139094,0.06079794,-0.01304135,0.02747095,-0.999002,0.1177655,9.961108,31.9339,-22.15353,1007.88
0.439296245,0.5982007,-0.4126822,-0.1356154,0.02894876,-0.9936775,0.1168316,9.955588,32.30935,-22.60167,1007.88
0.473943233,-0.7532685,0.06079794,0.1708197,0.02941244,-0.9956363,0.1148831,10.33879,31.5474,-22.1536,1007.878
0.506114960,-1.429003,-0.05757209,0.1095327,0.03039642,-0.9946668,0.1153639,10.33879,31.5474,-22.1536,1007.876
0.538287163,-0.384686,-0.2351271,0.1095327,0.02702347,-0.9960614,0.1211679,10.71673,31.54203,-22.15554,1007.874
0.572934151,-0.3232556,-0.2351271,-0.01304135,0.02650512,-0.9975373,0.1182686,9.960593,31.17163,-22.14981,1007.872
0.605106354,-0.8761293,-0.05757209,-0.01304135,0.02307711,-0.9946299,0.1154325,9.960593,31.17163,-22.14981,1007.872
0.639752865,-1.244712,-0.1167571,0.1708197,0.02602926,-0.9955896,0.1187711,9.965547,31.1765,-21.76728,1007.872
0.671924591,-0.8146988,-0.1167571,0.1095327,0.02886404,-1.00536,0.1123981,9.965547,31.1765,-21.76728,1007.871
0.706571579,-1.367573,-0.05757209,-0.01304135,0.03236469,-0.9985302,0.1191697,9.965547,31.1765,-21.76728,1007.871
0.738743782,-1.981877,-0.1759421,0.1708197,0.03329571,-0.9947074,0.1119626,11.08915,31.91211,-22.60561,1007.871
0.773390293,-0.5689772,-0.1167571,0.04824567,0.02495796,-0.9971221,0.1081645,10.33879,31.5474,-22.1536,1007.871
0.805562019,-1.121851,-0.2943121,0.1095327,0.0249863,-0.9951621,0.1105904,10.33879,31.5474,-22.1536,1007.871
0.840209484,-0.6304076,-0.05757209,0.1095327,0.03175515,-1.004441,0.1075587,10.33905,31.92853,-22.15546,1007.869
0.872381210,-0.3232556,-0.1759421,0.2321067,0.02258098,-0.9936677,0.1139991,10.33905,31.92853,-22.15546,1007.869
0.907027721,-2.41189,0.001612922,0.04824567,0.0259926,-0.9936886,0.1134851,10.33905,31.92853,-22.15546,1007.869
0.939200401,-2.53475,-0.05757209,-0.07432837,0.02784109,-0.9991117,0.1037832,10.344,31.9334,-21.77294,1007.869
0.973846912,-0.3232556,0.001612922,0.1708197,0.03174473,-0.9991313,0.1037466,9.960851,31.55276,-22.15167,1007.873
1.006018639,0.8439223,0.001612922,0.1095327,0.02543773,-0.9961649,0.1067219,9.960851,31.55276,-22.15167,1007.873
1.038190365,1.273935,-0.1759421,0.1095327,0.02400221,-0.9941974,0.1091615,9.961108,31.9339,-22.15353,1007.873
1.072837829,-0.2003947,-0.1167571,-0.01304135,0.02301426,-0.9971049,0.1091467,9.965804,31.55764,-21.76914,1007.873
1.105009556,-1.429003,-0.05757209,0.1095327,0.02643014,-1.00099,0.1110108,9.965804,31.55764,-21.76914,1007.873
1.139656067,-1.613294,-0.05757209,-0.07432837,0.02351015,-0.9932316,0.10821,10.71673,31.54203,-22.15554,1007.873
1.171828747,-0.5689772,-0.1759421,0.1095327,0.02641354,-0.9942356,0.1057647,9.965804,31.55764,-21.76914,1007.873
1.206475258,0.8439223,-0.1167571,0.04824567,0.02889585,-0.9917914,0.1096177,9.965804,31.55764,-21.76914,1007.871
1.238646984,-0.384686,-0.05757209,0.04824567,0.02746664,-0.9941703,0.1149134,9.960851,31.55276,-22.15167,1007.873
1.273294449,-1.674725,0.06079794,0.04824567,0.03030112,-0.9981384,0.1056962,10.71673,31.54203,-22.15554,1007.872
1.305466175,-0.5075468,0.001612922,0.2321067,0.02490132,-1.002009,0.1037867,10.71673,31.54203,-22.15554,1007.87
1.340112686,0.7824919,-0.1759421,0.2933938,0.02731878,-1.002526,0.1013499,10.34426,32.31454,-21.7748,1007.87
1.372284889,0.5982007,-0.1759421,0.04824567,0.02934328,-0.9937649,0.1057412,10.344,31.9334,-21.77294,1007.87
1.406931877,-0.5689772,-0.1167571,0.04824567,0.02450431,-0.9927364,0.1101329,10.344,31.9334,-21.77294,1007.87
1.439103603,-1.306142,0.001612922,0.04824567,0.02594179,-0.9932513,0.1072232,9.965804,31.55764,-21.76914,1007.87
1.473750114,-0.7532685,-0.2351271,0.1095327,0.02587102,-0.999602,0.1018695,10.72194,31.92803,-21.77487,1007.87
1.505922794,-0.5689772,0.06079794,0.1095327,0.0229615,-0.99812,0.1033549,9.966319,32.3199,-21.77287,1007.87
1.540569305,0.7210615,-0.2943121,0.1708197,0.02294726,-0.9976494,0.1014309,9.966319,32.3199,-21.77287,1007.87
1.572741032,0.04532692,-0.2943121,-0.1969024,0.0259135,-0.9961784,0.1052713,10.33879,31.5474,-22.1536,1007.868
1.604913235,2.441113,0.119983,0.2321067,0.03657968,-1.001131,0.09934698,10.344,31.9334,-21.77294,1007.868
1.639560223,1.273935,0.119983,-0.01304135,0.02351827,-0.9932242,0.109174,10.344,31.9334,-21.77294,1007.868
1.671732426,-0.9989902,0.119983,-0.1356154,0.02782885,-0.9981557,0.1018632,9.966062,31.93877,-21.771,1007.866
1.706378937,0.1681878,0.119983,-0.07432837,0.03320864,-1.000106,0.1042069,9.961108,31.9339,-22.15353,1007.866
1.738551140,1.826809,0.06079794,0.2321067,0.02925253,-1.006904,0.1012958,9.961108,31.9339,-22.15353,1007.866
1.773197651,3.854012,-0.1167571,0.2321067,0.02693811,-0.9951719,0.1105721,10.34374,31.55227,-21.77108,1007.866
1.805369854,2.748265,-0.05757209,0.3546808,0.0211576,-0.9907222,0.1174107,9.955073,31.54708,-22.59795,1007.866
1.840016842,-0.5075468,0.119983,0.04824567,0.02400623,-0.9932266,0.1091695,9.955073,31.54708,-22.59795,1007.865
1.872189045,1.028214,0.06079794,0.1708197,0.01949144,-1.00734,0.1013832,10.71121,31.91747,-22.60368,1007.866
1.906835556,3.608291,0.001612922,-0.1356154,0.02350016,-0.9966257,0.1086642,10.33879,31.5474,-22.1536,1007.866
1.939007282,2.379683,-0.05757209,-0.01304135,0.02412585,-0.9887657,0.1212551,10.33879,31.5474,-22.1536,1007.87
1.973654270,0.2296182,-0.1759421,0.1095327,0.02992051,-0.991752,0.1153924,9.583425,32.3204,-22.15346,1007.869
2.005826473,0.7210615,0.238353,0.2933938,0.02983378,-1.00392,0.1109549,10.33276,31.16058,-22.59802,1007.869
2.040472984,1.94967,0.119983,0.3546808,0.02790007,-1.000509,0.1114831,10.33276,31.16058,-22.59802,1007.869
2.072645664,2.625404,0.06079794,0.2933938,0.02550699,-0.9999704,0.1168118,10.71673,31.54203,-22.15554,1007.869
2.104817390,1.703948,0.06079794,0.2321067,0.02457944,-0.9921845,0.1188127,10.71673,31.54203,-22.15554,1007.87
2.139463901,0.5982007,0.001612922,-0.01304135,0.02647458,-0.9961144,0.1139426,10.71673,31.54203,-22.15554,1007.869
2.171635628,0.2910486,-0.05757209,-0.01304135,0.03185226,-0.9966158,0.1153343,10.344,31.9334,-21.77294,1007.87
2.206283092,0.4139094,-0.1759421,0.04824567,0.0221013,-0.9965591,0.1163897,10.33853,31.16626,-22.15174,1007.869
2.238454819,0.352479,0.119983,-0.1356154,0.02989427,-0.9951608,0.1139186,10.33853,31.16626,-22.15174,1007.869
2.273101330,0.4139094,-0.05757209,0.1708197,0.02795479,-0.9980412,0.1168049,9.955073,31.54708,-22.59795,1007.867
2.305274010,0.659631,-0.05757209,0.04824567,0.0270012,-0.9975324,0.119228,10.71647,31.16089,-22.15368,1007.865
2.339920521,-0.0775339,-0.05757209,-0.01304135,0.02898542,-0.9955784,0.1221176,10.71647,31.16089,-22.15368,1007.865
2.372092247,1.519657,0.001612922,0.2321067,0.02599896,-0.9990021,0.1168152,10.33301,31.54171,-22.59988,1007.869
2.406739712,0.1067573,-0.1167571,0.1095327,0.02271465,-0.9858091,0.1261126,10.33327,31.92284,-22.60175,1007.869
2.438911438,-4.070511,0.001612922,-0.01304135,0.02504116,-0.9955957,0.1173343,10.33327,31.92284,-22.60175,1007.869
2.473557949,-4.193372,0.001612922,-0.3194765,0.02880325,-1.008317,0.1065903,10.33905,31.92853,-22.15546,1007.867
2.505730629,-0.9375597,-1.063717,-1.422643,0.01964733,-0.9970433,0.1149627,10.71699,31.92316,-22.1574,1007.867
2.540377140,-25.20257,0.475093,-3.996698,0.03583428,-0.9569862,0.2216637,9.965804,31.55764,-21.76914,1007.867
2.572548866,-67.89671,-3.253563,-8.28679,0.01195756,-0.9273379,0.211527,9.965804,31.55764,-21.76914,1007.867
2.607196331,-138.296,-7.751624,-18.21529,0.02597936,-0.8612401,0.1059012,10.35004,32.32022,-21.32852,1007.867
2.639368057,-220.9813,-6.627109,-33.96605,0.06296201,-0.9102482,-0.05728178,10.02405,33.51934,-17.3794,1007.867
2.671539783,-325.5359,-11.53946,-65.89659,0.1514637,-0.988754,-0.1729887,10.02405,33.51934,-17.3794,1007.866
2.738358974,-275.5315,6.630334,-93.04675,0.08498345,-1.114774,-0.8226606,7.631919,38.75773,1.927526,1007.87
2.773005485,-215.1454,11.01003,-102.914,0.1591416,-0.8130766,-0.7384434,7.631919,38.75773,1.927526,1007.868
2.805177212,-233.0217,19.29593,-94.57892,0.2444189,-0.6830852,-0.7579294,4.344684,38.15667,10.81051,1007.868
2.839824676,-146.4662,25.51035,-84.03755,0.2424348,-0.6879404,-0.7593969,0.6603212,36.01857,18.30028,1007.868
2.871996403,-56.22493,15.09379,-84.95686,0.2412965,-0.5170118,-0.6871232,0.6603212,36.01857,18.30028,1007.866
2.906642914,-39.02442,1.717978,-83.42468,0.3023266,-0.3412676,-0.7686658,-2.691758,33.4493,22.28348,1007.866
2.938815117,-59.54218,1.658793,-76.31538,0.4604373,-0.2888598,-0.7942911,-5.69345,31.60932,24.09337,1007.865
2.973462105,-80.48994,18.64489,-73.25104,0.3083003,-0.3333777,-0.8746964,-5.69345,31.60932,24.09337,1007.865
3.005633831,-71.15252,4.795599,-82.99567,0.2976536,-0.3017741,-0.9374784,-8.690187,29.77421,26.2858,1007.863
3.040280342,-66.23808,12.78558,-87.65349,0.3916772,-0.229814,-1.049587,-11.69214,27.5531,28.09755,1007.863
3.072453022,-56.77781,26.69406,-85.38586,0.3934774,-0.203849,-1.080237,-11.69214,27.5531,28.09755,1007.863
3.107099533,-46.4575,40.12905,-86.30517,0.4443344,-0.1667702,-1.085708,-13.9445,24.5533,29.46289,1007.859
3.139271736,-22.56106,49.12517,-85.63101,0.4853885,-0.1040529,-1.10871,-17.78291,21.94563,29.94186,1007.857
3.173918724,-32.14421,57.47026,-87.34705,0.4878933,-0.01953092,-0.9094527,-17.78291,21.94563,29.94186,1007.857
3.206090450,-41.05162,44.50874,-86.06002,0.5786373,0.05402078,-1.006093,-20.43606,19.30959,29.52214,1007.857
3.238262653,0.1067573,56.87841,-67.42876,0.6529279,0.2529504,-1.030692,-24.22856,17.0651,28.66008,1007.856
3.272909641,9.689902,79.60545,-50.63612,0.5510918,0.3382597,-1.111461,-24.22856,17.0651,28.66008,1007.854
3.305081367,26.46041,67.65008,-25.14072,0.6565288,0.4920222,-1.182513,-27.26569,14.04761,27.79787,1007.854
3.339727878,-29.62556,122.1595,2.43844,0.6884166,0.442656,-1.080552,-29.56325,12.52687,25.58552,1007.854
3.371900081,-52.90769,127.6045,19.10851,0.5781317,0.3146135,-1.07624,-29.56325,12.52687,25.58552,1007.852
3.406547069,-47.50182,137.3109,28.48543,0.7749777,0.2519449,-1.082449,-32.62009,13.29878,22.98334,1007.851
3.438719272,-5.729132,149.9764,35.65601,0.7955508,0.1377911,-1.018031,-34.93942,12.51838,19.04589,1007.847
3.473366260,58.95709,161.6359,41.41698,0.7585241,0.03841548,-0.9625922,-34.93942,12.51838,19.04589,1007.845
3.505537987,94.77103,176.9056,44.48133,0.779506,0.1224505,-1.003547,-36.89159,12.86463,14.20837,1007.846
3.540184498,100.3612,208.3921,62.6223,0.5876234,0.4655288,-0.9488004,-38.86033,14.33723,8.026417,1007.846
3.572356701,12.94571,229.9946,80.0891,0.4434918,0.6307963,-0.7585953,-38.86033,14.33723,8.026417,1007.842
3.607003689,-23.48252,261.4218,123.1739,0.4418488,0.5592595,-1.035837,-39.33934,16.14756,0.1135063,1007.841
3.639175892,-3.026194,356.7689,185.0125,0.2558504,0.6875924,-0.8156621,-38.6835,19.46632,-7.812651,1007.837
3.673822403,-57.63783,457.0283,244.7061,-0.198799,0.6102091,-0.7580737,-33.88766,22.70898,-17.09892,1007.833
3.705994606,-575.0662,-490.7606,-312.2704,4.166259,-4.251492,-9.054085,-33.88766,22.70898,-17.09892,1007.833
3.738166809,-327.6245,417.1376,-312.8833,2.060959,1.861037,0.7648746,-21.76744,28.27611,-15.46735,1007.832
3.772813320,494.5602,444.0076,130.6509,-1.327324,3.085985,2.719163,-26.12411,18.99793,-30.31994,1007.832
3.804985523,-514.7415,129.0249,30.0176,-0.1726362,0.7982346,0.2906171,-26.12411,18.99793,-30.31994,1007.83
3.839632511,-229.5816,88.77913,101.1105,-0.2813413,-0.1440774,0.7610424,-14.78849,14.58179,-35.20314,1007.834
3.871804237,-413.8728,-4.259708,119.6192,0.5681887,-1.64359,0.7797953,-9.392217,26.03646,-27.76302,1007.834
3.906451225,188.6981,-47.58314,16.16673,-0.1621179,-1.537951,1.105118,-9.392217,26.03646,-27.76302,1007.832
3.938623428,167.0132,-39.35642,-13.49619,-0.4958178,-0.9395267,0.8846978,-6.294786,34.06473,-22.52596,1007.83
3.973269939,120.0804,-85.81666,-13.98648,0.2030241,-0.4370808,1.283343,-6.352513,32.86529,-26.91943,1007.829
4.005441666,102.5727,-126.0625,-0.6259116,0.2357605,-0.3625123,0.9033543,-6.352513,32.86529,-26.91943,1007.829
4.040088653,112.9544,-147.9609,-10.06411,-0.07366096,-0.1109258,0.6620139,-8.267896,29.05806,-28.67627,1007.833
4.072260856,53.18263,-208.2113,-12.27045,-0.03091318,-0.02126116,0.4208725,-12.08242,27.17278,-31.26156,1007.833
4.106907844,-1.797585,-247.0958,15.67644,0.4300055,-0.1448805,0.04489496,-12.08242,27.17278,-31.26156,1007.833
4.139080047,19.94878,-215.9645,49.81331,0.840508,-0.3498528,0.03889275,-16.6489,24.22232,-28.60922,1007.833
4.173726558,53.42835,-245.3794,54.28726,1.059517,-0.4528784,-0.2141579,-22.6558,25.10947,-25.52179,1007.833
4.205898285,128.0663,-210.046,107.4231,1.330441,-0.435248,-0.2710065,-22.6558,25.10947,-25.52179,1007.833
4.240545273,88.62799,-86.52688,158.9042,1.181902,-0.6281109,-0.1998745,-26.37272,24.84374,-20.65525,1007.833
4.272717476,116.886,-95.34545,157.1269,0.879877,-0.6744066,-0.229732,-27.87241,25.63885,-19.75868,1007.833
4.304889202,94.15672,-64.56924,142.9696,0.5430682,-0.6935745,-0.2889252,-27.87241,25.63885,-19.75868,1007.833
4.339536667,111.173,-94.81278,122.3771,0.572187,-0.6289559,-0.5137579,-25.23659,28.25784,-20.6778,1007.837
4.371708393,133.595,-43.381,137.515,0.6730381,-0.512695,-0.4154126,-22.59602,29.35797,-21.1432,1007.839
4.406354904,79.72058,-10.71087,157.5559,0.9839602,-0.7043676,-0.08249432,-22.59602,29.35797,-21.1432,1007.839
4.438527584,47.03959,18.88163,168.1586,0.8178591,-0.8787993,0.03859941,-21.11784,29.68434,-23.76673,1007.839
4.473174095,2.563974,36.51876,176.371,0.4588651,-0.9470905,0.2669619,-16.2217,29.97862,-25.13257,1007.839
4.505345821,-21.08673,29.41656,160.6815,0.05330764,-1.046136,0.2535417,-16.2217,29.97862,-25.13257,1007.84
4.539992809,47.77676,9.944695,155.656,0.1063293,-1.164433,0.1161479,-10.49411,31.79718,-25.61749,1007.842
4.572165012,147.0483,10.35899,140.3955,0.07763307,-1.054508,0.1905858,-3.684649,32.84964,-25.2116,1007.842
4.606811523,163.9417,13.55498,131.3863,0.1034798,-0.9335003,0.4786139,-3.684649,32.84964,-25.2116,1007.842
4.638984203,134.3322,20.47963,120.1708,-0.01206342,-0.8697012,0.8099056,1.932494,31.57536,-29.18779,1007.844
4.673630714,-46.64179,17.16527,75.49257,-0.01548458,-1.947232,2.318871,6.052646,26.52827,-31.79881,1007.846
4.705802441,29.83908,-36.2788,-27.71478,-0.1598464,-1.318722,-0.29957,6.052646,26.52827,-31.79881,1007.851
4.740449428,64.36298,4.618044,-35.74338,0.2127478,-0.6598612,0.2827124,9.089326,21.54683,-30.515,1007.851
4.772621632,-19.12096,-0.4718672,-0.6871986,-0.04599508,-0.5778421,0.1146931,8.336534,26.13117,-30.53346,1007.847
4.804793358,-6.097714,2.487383,8.81229,0.2655364,-0.9809484,0.1576269,8.336534,26.13117,-30.53346,1007.847
4.839440823,28.11903,12.07536,37.49462,-0.001215711,-1.150828,0.552509,7.969636,25.38564,-29.63524,1007.851
4.871612549,21.42311,0.9485732,-9.206095,-0.0974528,-1.211633,0.2212901,8.336019,25.3689,-30.52974,1007.851
4.906259060,30.76053,0.415908,-5.467587,0.1341865,-0.6223056,0.3816009,9.84752,24.96629,-30.53561,1007.853
4.938431740,11.96283,9.64877,3.357745,0.009149587,-0.9422796,0.3492818,9.84752,24.96629,-30.53561,1007.853
4.973078251,41.57228,3.730269,3.970615,0.06589363,-0.9743894,0.4391035,9.084834,23.44681,-30.97058,1007.853
5.005249977,25.47752,5.032339,2.744875,0.01873449,-0.8976275,0.4811464,9.079881,23.44194,-31.35311,1007.855
5.039897442,4.775469,4.322119,1.335273,0.057962,-0.8222136,0.466942,9.079881,23.44194,-31.35311,1007.855
5.072069168,1.888239,5.387449,3.296458,0.02009572,-0.9083294,0.4159755,9.451528,22.66862,-31.7976,1007.857
5.106715679,22.03742,4.440489,1.273986,0.03364454,-0.9457366,0.4203607,10.58509,22.27138,-31.80154,1007.857
5.138888359,22.83601,5.446634,-0.9936337,0.02655419,-0.8623549,0.4654582,10.58509,22.27138,-31.80154,1007.857
5.173534870,20.68595,2.250643,-4.486994,0.03264092,-0.9283857,0.4667851,9.817397,21.88961,-32.68838,1007.857
5.205706596,36.3507,4.381304,-4.97729,0.05461057,-0.9506926,0.4206062,10.1893,21.49743,-33.13473,1007.857
5.240353584,53.42835,3.375159,-11.16728,0.07304747,-0.8929284,0.4961023,10.1893,21.49743,-33.13473,1007.858
5.272525787,39.23793,5.209894,-15.08965,0.08249112,-0.8585222,0.5579938,10.17749,21.10493,-34.02543,1007.858
5.307172298,22.46743,6.09767,-20.48291,0.07545163,-0.8084232,0.5671484,10.54862,19.56934,-34.4662,1007.86
5.339344978,12.57713,5.505819,-26.91804,0.07221026,-0.8005103,0.5841139,10.54862,19.56934,-34.4662,1007.86
5.371516704,-26.61547,5.209894,-23.73112,0.01044519,-0.7192553,0.5699362,10.54233,18.80139,-34.90876,1007.858
5.406163215,-15.00512,7.28137,-26.12131,0.06326082,-0.8784344,0.544031,10.16439,18.80676,-34.90683,1007.858
5.438334942,-19.36668,1.007758,-24.83428,0.1075857,-0.8202931,0.6221807,10.16439,18.80676,-34.90683,1007.857
5.472982406,-43.75456,5.387449,-26.6729,0.1326075,-0.8772437,0.4913378,10.1649,19.56902,-34.91055,1007.857
5.505154133,-27.78265,7.63648,-21.76993,0.05666208,-0.8819823,0.4573035,10.55466,19.95616,-34.02178,1007.857
5.539801597,-4.991967,8.287515,-16.98955,0.09035803,-0.8961509,0.4669942,10.55466,19.95616,-34.02178,1007.857
5.571973324,1.703948,9.05692,-19.19588,0.1212571,-0.8864909,0.4807635,9.80584,21.87824,-33.58094,1007.857
5.606619835,12.20855,14.44276,-12.33173,0.1330076,-0.8662041,0.4755191,9.438943,21.13272,-32.68272,1007.858
5.638791561,29.16334,22.43273,-9.144808,0.1369499,-0.8676393,0.4807725,9.438943,21.13272,-32.68272,1007.857
5.673439026,64.24011,24.32665,-4.793429,0.1111062,-0.9003753,0.4990598,9.421866,21.4968,-34.02342,1007.857
5.705610752,90.4709,25.92465,-8.225502,0.1317378,-0.8240244,0.5944506,9.79955,21.11029,-34.0235,1007.857
5.740258217,62.88864,29.47575,-11.78015,0.09234096,-0.7106288,0.671427,9.79955,21.11029,-34.0235,1007.857
5.772429943,-15.43514,27.46346,-13.37361,0.1287598,-0.6201013,0.6641215,10.15887,19.1822,-35.35497,1007.855
5.807076454,-73.79402,34.03299,-6.509466,0.1221997,-0.8082626,0.5551456,11.65835,16.86337,-36.18035,1007.855
5.839249134,-55.42634,30.65945,-10.92213,0.07017687,-0.8976974,0.5052477,12.43729,18.01796,-34.46843,1007.853
