Time (s),Power (dBm),Percentage (%)
0.269412517,-59,82
0.769119263,-57,86
1.269225120,-59,82
1.769256115,-59,82
2.269199371,-59,82
2.769044399,-57,86
3.269355297,-57,86
3.769053459,-55,90
4.269222259,-53,94
4.769056797,-60,80
5.269379616,-60,80
5.769088745,-53,94
6.269400120,-63,74
6.769008636,-53,94
7.269186020,-49,100
7.769016266,-53,94
8.269135952,-67,66
8.769027233,-51,98
9.269347191,-62,76
9.769159794,-59,82
10.269282341,-57,86
10.769066334,-55,90
11.269293308,-51,98
11.769155502,-57,86
12.269207001,-67,66
12.769137382,-59,82
13.269330501,-49,100
13.768959999,-57,86
14.269188881,-53,94
14.769122601,-59,82
15.269196987,-55,90
15.769093990,-57,86
16.269257545,-59,82
16.768963814,-67,66
17.269313812,-67,66
17.769136429,-67,66
18.269137859,-62,76
18.768970013,-51,98
19.269235134,-59,82
19.769104958,-61,78
20.269104957,-55,90
20.769078731,-53,94
21.269281864,-57,86
21.768907070,-53,94
22.269056797,-53,94
22.769065380,-55,90
23.269058704,-60,80
24.269234657,-57,86
24.768904209,-62,76
25.269164562,-71,58
25.769032955,-49,100
26.269082546,-53,94
26.768867016,-49,100
27.269156456,-49,100
27.768957615,-49,100
28.269034386,-47,100
28.769024849,-47,100
29.269236088,-47,100
29.768864632,-44,100
30.269148350,-57,86
30.769039631,-49,100
31.269056797,-55,90
31.768876553,-53,94
32.269138813,-53,94
32.768887043,-51,98
33.269120693,-55,90
33.768982410,-59,82
34.269062042,-53,94
34.768839359,-62,76
35.269115925,-55,90
35.768802166,-53,94
36.269134998,-49,100
36.768959999,-51,98
37.269141197,-51,98
37.768859863,-61,78
38.269094467,-60,80
38.768993378,-57,86
39.268972874,-51,98
39.768749237,-55,90
40.269131183,-51,98
40.768769741,-51,98
41.269025802,-51,98
41.768958092,-55,90
42.268939972,-61,78
42.768908024,-61,78
43.269059181,-57,86
43.768803596,-53,94
44.269059181,-53,94
44.768899918,-59,82
45.268974781,-53,94
45.768757343,-53,94
46.269036293,-55,90
46.768724441,-57,86
47.268890381,-51,98
47.768878460,-51,98
48.268856525,-57,86
48.768716335,-57,86
49.269049167,-60,80
49.768681049,-55,90
50.268886089,-47,100
50.768792629,-58,84
51.269032955,-59,82
52.269029617,-64,72
52.768672466,-57,86
53.268913746,-60,80
53.768670559,-65,70
54.268800258,-59,82
54.768745422,-57,86
55.268865585,-60,80
55.768629551,-60,80
56.268991947,-59,82
56.768700123,-57,86
57.268988609,-55,90
57.768810272,-57,86
58.268823147,-47,100
58.768636227,-53,94
59.268983841,-57,86
59.768691540,-55,90
60.268868446,-53,94
60.768627167,-57,86
61.268776893,-51,98
61.768740654,-61,78
62.268952370,-62,76
62.768595219,-57,86
63.268895626,-53,94
63.768795967,-51,98
64.268797874,-57,86
64.768619060,-49,100
65.268929958,-47,100
65.768750191,-49,100
66.268785953,-44,100
66.768736839,-59,82
67.268946647,-59,82
67.768610001,-51,98
68.268701076,-53,94
68.768723965,-53,94
69.268733024,-53,94
69.768671989,-62,76
70.268893719,-62,76
70.768554687,-49,100
71.268825531,-71,58
71.768732548,-55,90
72.268700123,-51,98
72.768737793,-59,82
73.268854618,-60,80
73.768532753,-62,76
74.268705845,-53,94
74.768652916,-55,90
75.768574238,-55,90
76.268812179,-59,82
76.768673420,-53,94
77.268674850,-51,98
77.768645287,-63,74
78.268854141,-53,94
78.768555641,-57,86
79.268679619,-51,98
79.768640995,-49,100
80.268701553,-51,98
80.768642425,-49,100
81.268775463,-49,100
81.768530846,-49,100
82.268762111,-49,100
82.768654346,-51,98
83.268630028,-49,100
83.768449306,-49,100
84.268753052,-53,94
84.768537998,-51,98
85.268622398,-57,86
85.768596649,-58,84
86.268812179,-55,90
86.768434048,-65,70
87.268730163,-53,94
87.768580913,-61,78
88.268600941,-53,94
89.268722534,-67,66
89.768400192,-49,100
90.268708706,-60,80
90.768558979,-51,98
91.268563747,-59,82
91.768531322,-49,100
92.268694877,-53,94
92.768374920,-49,100
93.268680096,-45,100
93.768536568,-45,100
94.268554687,-45,100
94.768381119,-44,100
95.268708706,-49,100
95.768344879,-59,82
96.268551826,-51,98
96.768515110,-55,90
97.268477440,-53,94
97.768362045,-59,82
98.268650532,-51,98
98.768536091,-53,94
99.768382549,-63,74
100.268669605,-51,98
100.768329143,-51,98
101.268594742,-53,94
101.768476486,-55,90
102.268535614,-53,94
102.768301010,-57,86
103.268647671,-55,90
103.768291950,-59,82
104.268673420,-59,82
104.768490791,-62,76
105.268529415,-55,90
105.768279552,-55,90
106.268589973,-57,86
106.768498897,-62,76
107.268505573,-62,76
107.768433571,-62,76
108.268637180,-63,74
108.768276215,-65,70
109.268567562,-64,72
109.768454552,-63,74
110.268431663,-63,74
