Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.009064198,0.8846886,-0.2086617,-0.1709667,-1.014252,-0.1107208,0.01132788,30.1276,-15.31442,-4.672984,1008.181
0.043831348,0.8846886,0.0261494,0.0727961,-1.012817,-0.1058921,0.007001296,30.1276,-15.31442,-4.672984,1008.181
0.076115131,0.4508729,0.143555,0.1946775,-1.015236,-0.1044407,0.008948518,30.86447,-14.95225,-4.252903,1008.183
0.110881329,-0.3547847,-0.09125616,-0.1709667,-1.013782,-0.1088181,0.001185474,30.85315,-15.3224,-4.684015,1008.183
0.143165112,-0.04491635,-0.09125616,-0.04908532,-1.018149,-0.1010763,0.004622977,30.85315,-15.3224,-4.684015,1008.179
0.175448418,-0.5407056,0.08485217,-0.04908532,-1.013794,-0.1030061,0.002668864,30.85315,-15.3224,-4.684015,1008.179
0.210215569,-0.9125476,-0.2086617,0.01185539,-1.012816,-0.1049128,0.01039093,30.49037,-15.31841,-4.678499,1008.179
0.242498875,-0.478732,-0.09125616,0.1946775,-1.006538,-0.1039499,0.003614736,30.49037,-15.31841,-4.678499,1008.18
0.277266025,-0.4167583,0.0261494,0.1337368,-1.012334,-0.1058973,0.005066473,30.1276,-15.31442,-4.672984,1008.18
0.309549332,-0.1688637,-0.09125616,0.01185539,-1.013787,-0.105908,0.003135787,30.5017,-14.94826,-4.247388,1008.18
0.344316482,0.07903096,-0.03255338,0.0727961,-1.018617,-0.1059005,0.009430943,30.5017,-14.94826,-4.247388,1008.182
0.376599312,0.1410046,0.2609605,-0.04908532,-1.012334,-0.1049163,0.008939558,30.49103,-15.68293,-4.673883,1008.184
0.408883571,1.07061,0.2022577,-0.04908532,-1.016693,-0.1030045,0.005575753,30.47905,-15.68856,-5.10961,1008.182
0.443649769,1.194557,-0.1499589,-0.110026,-1.013802,-0.09961858,0.002688142,30.47905,-15.68856,-5.10961,1008.182
0.475933552,0.7607413,-0.1499589,0.0727961,-1.012835,-0.09961418,0.003169521,30.86514,-15.31676,-4.248288,1008.182
0.510700703,0.5748203,-0.5021756,0.01185539,-1.012322,-0.1102428,0.007942369,30.48971,-14.9539,-4.683115,1008.183
0.542984009,-2.152021,0.4370688,0.01185539,-1.01379,-0.1029897,0.007503336,30.48971,-14.9539,-4.683115,1008.183
0.577751160,-1.52359,-0.09244774,-0.04953469,-1.015238,-0.1059138,0.002655443,31.59069,-15.32474,-4.259319,1008.185
