Time (s),W,X,Y,Z
0.014951229,0.4299058,0.564126,-0.5427808,-0.4460489
0.047235012,0.4300057,0.5640065,-0.5428711,-0.4459937
0.082003117,0.4300736,0.5639417,-0.5429392,-0.4459274
0.114286900,0.4300889,0.5639337,-0.5429719,-0.4458827
0.146571159,0.4300353,0.5639883,-0.5429322,-0.4459137
0.181339264,0.4300131,0.5640071,-0.5428967,-0.4459547
0.213623047,0.4299875,0.5640032,-0.5428845,-0.4459994
0.248390675,0.4299675,0.5640072,-0.5428192,-0.4460927
0.280674934,0.4299785,0.5640038,-0.5427776,-0.4461372
0.315442562,0.4299518,0.5640169,-0.5427616,-0.4461658
0.347726822,0.4299446,0.5640311,-0.5427583,-0.4461587
0.380011082,0.4299668,0.5640022,-0.5427857,-0.4461406
0.414778710,0.4300164,0.5639521,-0.5428102,-0.4461263
0.447062492,0.4300375,0.5639374,-0.5428258,-0.4461058
0.481830597,0.4301249,0.5638515,-0.5429068,-0.4460312
0.514114380,0.4301456,0.5638275,-0.5429201,-0.4460255
0.548882008,0.4300922,0.5638983,-0.5428461,-0.4460777
0.581166744,0.4301155,0.5638848,-0.542879,-0.4460322
0.613450527,0.430157,0.5638184,-0.5429114,-0.4460367
0.648218155,0.4301844,0.5637646,-0.54296,-0.446019
0.680501938,0.4301467,0.5638068,-0.5429295,-0.4460393
0.715270042,0.4301495,0.5638031,-0.5429409,-0.4460275
0.747554302,0.4301846,0.5637967,-0.5429829,-0.4459505
0.779838085,0.4302,0.5637547,-0.5429962,-0.4459722
0.814606190,0.4302476,0.5637185,-0.5430196,-0.4459439
0.846889973,0.4302765,0.5636835,-0.5430407,-0.4459345
0.881657600,0.4302367,0.5637398,-0.542955,-0.4460061
0.913942337,0.4302239,0.5637661,-0.5429168,-0.4460316
0.948709488,0.4302122,0.5637799,-0.5429288,-0.4460108
0.980993748,0.4302118,0.5637597,-0.5429774,-0.4459776
1.013278008,0.4302336,0.5637415,-0.5429871,-0.4459678
1.048045635,0.43025,0.5637301,-0.5429683,-0.4459892
1.080329895,0.430203,0.5637596,-0.5429596,-0.4460078
1.115097046,0.4301998,0.5637919,-0.542909,-0.4460316
1.147381783,0.4301584,0.563856,-0.5428774,-0.446029
1.182149410,0.4301357,0.5638905,-0.5428085,-0.4460911
1.214433670,0.4301012,0.563944,-0.5427881,-0.4460815
1.246717930,0.4300995,0.5639443,-0.5427905,-0.4460798
1.281485081,0.4301177,0.5638897,-0.5428499,-0.4460591
1.313769817,0.4301111,0.5638991,-0.5428448,-0.44606
1.348537445,0.430092,0.5639269,-0.5428301,-0.4460611
1.380821228,0.4300633,0.563948,-0.54281,-0.4460866
1.413105965,0.4300355,0.5639673,-0.5428003,-0.4461008
1.447873116,0.4300489,0.5639424,-0.5428129,-0.4461038
1.480157375,0.4300732,0.5639142,-0.5428447,-0.4460774
1.514925480,0.4300225,0.5639587,-0.5428233,-0.4460961
1.547209263,0.4300206,0.5639868,-0.5427899,-0.4461031
1.581976891,0.4300096,0.5640007,-0.5427732,-0.4461164
1.614260673,0.4300385,0.5639458,-0.5428178,-0.4461036
1.646545410,0.4300666,0.5639002,-0.5428523,-0.4460922
1.681313038,0.4300938,0.5638897,-0.542866,-0.4460628
1.713596821,0.4300867,0.5638723,-0.5428592,-0.4460998
1.748364925,0.4300311,0.5639039,-0.5428105,-0.4461727
1.780648708,0.4299879,0.5639672,-0.5427499,-0.4462083
1.815416336,0.4300294,0.563915,-0.542803,-0.4461696
1.847701073,0.4300921,0.5638503,-0.542834,-0.4461532
1.879984856,0.4301111,0.5638456,-0.5428367,-0.4461376
1.914752483,0.4300412,0.5639321,-0.5427601,-0.4461888
1.947036743,0.4299586,0.5640141,-0.54271,-0.4462255
1.981804371,0.4299287,0.5640466,-0.5426694,-0.4462628
2.014088631,0.429978,0.5639814,-0.5427205,-0.4462354
2.048855782,0.4299898,0.5639812,-0.5427126,-0.4462338
2.081140518,0.4299431,0.5640253,-0.5426627,-0.446284
2.113424301,0.4298782,0.5641033,-0.5425841,-0.4463433
2.148192406,0.4298719,0.5641297,-0.5425653,-0.4463389
2.180476666,0.4298582,0.5641397,-0.5425456,-0.4463637
2.215243816,0.4298248,0.5641749,-0.5425141,-0.4463895
2.247528553,0.4297788,0.5642168,-0.5424734,-0.4464304
2.279812336,0.4297473,0.5642392,-0.5424624,-0.4464455
2.314579964,0.4297242,0.5642633,-0.5424498,-0.4464528
