Time (s),Power (dBm),Percentage (%)
0.082906723,-60,80
0.582609654,-60,80
1.082913399,-60,80
1.582607269,-60,80
2.082927704,-60,80
2.582744599,-60,80
3.082716942,-60,80
3.582702160,-60,80
4.082854271,-60,80
4.582640171,-60,80
5.082910061,-61,78
5.582807064,-60,80
6.082790852,-61,78
6.582678795,-59,82
7.082928658,-59,82
7.582581520,-60,80
8.082712650,-59,82
8.582733631,-69,62
9.082751274,-55,90
9.582709313,-53,94
10.083012104,-55,90
10.582619667,-59,82
11.082917213,-59,82
11.582698822,-55,90
12.082769394,-57,86
12.582732201,-62,76
13.082753658,-53,94
13.582654476,-62,76
14.082943440,-51,98
14.582662106,-45,100
15.082914352,-60,80
15.582747936,-53,94
16.082814693,-49,100
16.582710266,-51,98
17.082847118,-53,94
17.582594872,-51,98
18.082697868,-51,98
18.582652092,-49,100
19.082701206,-51,98
19.582656860,-53,94
20.082776070,-59,82
20.582504749,-51,98
21.082882881,-63,74
21.582690239,-62,76
22.082720757,-57,86
22.582696438,-53,94
23.082695961,-47,100
23.582506657,-55,90
24.082909584,-64,72
24.582589150,-61,78
25.082909107,-61,78
25.582722664,-65,70
26.082786560,-65,70
26.582679272,-65,70
27.082876205,-65,70
27.582554340,-65,70
28.082656384,-65,70
28.582687855,-65,70
29.082677364,-65,70
29.582659245,-65,70
30.082792759,-65,70
30.582453728,-65,70
31.082733154,-67,66
31.582507134,-65,70
32.082572937,-63,74
32.582691670,-65,70
33.082701206,-62,76
33.582692146,-61,78
34.082800865,-60,80
34.582455158,-57,86
35.082727432,-62,76
35.582616806,-67,66
36.082581997,-61,78
36.582503319,-60,80
37.082755089,-67,66
37.582434654,-57,86
38.082565308,-59,82
38.582584381,-57,86
39.082602501,-57,86
39.582428455,-57,86
40.082728863,-55,90
40.582452297,-55,90
41.082756519,-57,86
41.582469463,-60,80
42.082698345,-73,54
42.582572460,-60,80
43.082524300,-63,74
43.582483769,-57,86
44.082470417,-53,94
44.582327843,-58,84
45.082553387,-51,98
45.582498551,-55,90
46.082633495,-57,86
46.582601547,-53,94
47.082765102,-55,90
47.582407475,-60,80
48.082718372,-65,70
48.582534313,-59,82
49.082552433,-58,84
49.582681656,-62,76
50.082681656,-61,78
50.582490444,-61,78
51.082791328,-61,78
51.582474232,-61,78
52.082751751,-63,74
52.582610607,-62,76
53.082645416,-63,74
53.582411289,-63,74
54.082777977,-65,70
54.582402229,-62,76
55.082719803,-59,82
55.582587242,-57,86
56.082626820,-57,86
56.582574368,-53,94
57.082590103,-57,86
57.582380772,-57,86
58.082644939,-62,76
58.582369328,-53,94
59.082626820,-53,94
59.582528114,-55,90
60.082495689,-53,94
60.582432270,-53,94
61.082663536,-57,86
61.582326412,-55,90
62.082725525,-59,82
62.582584381,-79,42
63.082589626,-51,98
63.582580090,-61,78
64.082588196,-51,98
64.582423210,-51,98
65.082686424,-53,94
65.582338333,-60,80
66.082631111,-62,76
66.582505703,-59,82
67.082481861,-53,94
67.582394123,-62,76
68.082625866,-60,80
68.582330227,-60,80
69.082494259,-61,78
69.582407951,-62,76
70.082382679,-64,72
70.582444668,-65,70
71.082560539,-65,70
71.582387447,-65,70
72.082540989,-64,72
72.582378388,-59,82
73.082617760,-69,62
73.582422733,-59,82
74.082532406,-53,94
74.582458973,-62,76
75.082539558,-69,62
75.582345486,-62,76
76.082615852,-59,82
76.582354069,-60,80
77.082514286,-63,74
77.582433701,-53,94
78.082448006,-71,58
78.582280159,-49,100
79.082540989,-55,90
79.582252503,-55,90
80.082505703,-51,98
80.582395077,-47,100
81.082390785,-61,78
81.582214832,-53,94
82.082534790,-51,98
82.582225323,-53,94
83.082620144,-55,90
83.582451821,-61,78
84.082457066,-55,90
84.582474232,-53,94
85.082473755,-53,94
85.582439900,-53,94
86.082580090,-59,82
86.582298756,-58,84
87.082656860,-59,82
87.582577229,-55,90
88.082610130,-53,94
88.582515717,-62,76
89.082675934,-65,70
89.582374096,-61,78
90.082657814,-61,78
90.582361221,-57,86
91.082605362,-57,86
91.582476139,-57,86
92.082480431,-57,86
92.582409859,-57,86
93.082583427,-55,90
93.582282543,-62,76
94.082396507,-62,76
94.582365990,-55,90
95.082395077,-62,76
95.582342625,-55,90
96.082472324,-57,86
96.582165241,-57,86
97.082448483,-57,86
97.582125664,-53,94
98.082418442,-51,98
98.582267761,-62,76
99.082301617,-60,80
99.582202912,-62,76
100.082384586,-65,70
100.582054615,-64,72
101.082347393,-67,66
101.582265854,-55,90
102.082314491,-57,86
102.582254887,-51,98
103.082406998,-49,100
103.582267285,-49,100
104.082557678,-51,98
104.582219124,-62,76
105.082469463,-53,94
105.582376957,-59,82
106.082343102,-57,86
106.582315922,-60,80
107.082476139,-53,94
107.582129479,-57,86
108.082458019,-53,94
108.582148075,-53,94
109.082404137,-65,70
109.582394600,-60,80
110.082367897,-55,90
110.582345009,-53,94
111.082500935,-53,94
111.582147122,-51,98
112.082410336,-51,98
112.582291603,-51,98
113.082283974,-51,98
113.582218647,-51,98
114.082316399,-51,98
114.582134724,-57,86
115.082377434,-59,82
115.582118988,-59,82
116.082383633,-59,82
116.582221985,-62,76
117.082280159,-59,82
117.582037926,-51,98
118.082439423,-62,76
118.582146168,-60,80
119.082464218,-62,76
119.582228661,-57,86
120.082448959,-67,66
120.582282543,-59,82
121.082321167,-62,76
121.582325935,-55,90
122.082475662,-49,100
122.582214356,-61,78
123.082273960,-60,80
123.582298756,-60,80
124.082312584,-59,82
124.582268715,-55,90
125.082342148,-59,82
125.582126618,-59,82
126.082410812,-60,80
126.582108975,-53,94
127.082334518,-57,86
127.582230091,-53,94
128.082232952,-53,94
128.582056999,-53,94
129.082389355,-53,94
129.582073212,-53,94
130.082181454,-53,94
130.582099915,-53,94
131.082394123,-60,80
131.581987381,-53,94
132.082159996,-59,82
132.582106590,-67,66
133.082085609,-53,94
133.581985951,-55,90
134.082094669,-61,78
134.581953049,-53,94
135.082162380,-57,86
