Time (s),Humidity (%)
0.818211079,16.69629
1.817600727,18.125
2.816990375,18.64648
3.818884850,18.49805
4.818274975,19.55371
5.817665577,17.82813
6.817056179,17.07129
7.818951607,17.49414
8.818342686,17.92871
9.817734241,17.30762
10.817125797,16.99707
11.819022179,17.43262
12.818414211,17.06055
13.817806244,17.39648
14.817198753,16.91211
15.819096088,17.64551
16.818488598,16.56445
17.817881584,17.23535
18.817275047,18.00586
19.819172382,16.15527
20.818566322,17.1123
21.817959785,17.45996
22.817353249,17.68457
23.816747665,16.64063
24.818646431,16.70313
25.818039894,18.4668
26.817435265,17.89648
27.816829205,16.36816
28.818728924,16.89063
29.818123817,16.66699
30.817518711,17.15137
31.816913605,17.28809
32.818813324,16.75488
33.818208694,16.99121
34.817604542,16.71777
35.816999912,17.74902
36.818900108,17.32715
37.818296432,17.46387
38.817692757,16.69336
39.817089081,17.11621
40.818989754,17.26563
41.818386555,17.83691
42.817782879,17.53906
43.817180157,16.03613
44.819082260,17.32813
45.818479061,18.14844
46.817876816,17.80078
47.817274094,17.65234
48.816671848,17.66504
49.818574905,17.09277
50.817973137,17.76465
51.817371368,17.34277
52.816769600,18.25
53.818673134,16.75879
54.818071842,17.55371
55.817471027,17.5166
56.816869736,18.4248
57.818773270,16.1377
58.818172932,17.90234
59.817572594,18.20117
60.816972256,18.84766
61.818876266,18.04004
62.818275928,19.0459
63.817675114,18.88379
64.817074299,18.10156
65.818978786,17.81543
66.818377495,18.2998
67.817777157,18.38672
68.817176342,17.21875
69.816576004,17.21875
70.818479538,16.89551
71.817878246,16.21191
72.817277908,17.79004
73.816676617,17.61621
74.818580151,16.99512
75.817979336,16.41016
76.817378044,16.8584
77.816777706,17.85254
78.818681240,16.80859
79.818080425,18.1875
80.817479134,19.00781
81.816878796,17.15625
82.818782330,18.83398
83.818181038,16.8584
84.817580700,17.06934
85.816979885,17.18164
86.816379547,16.32422
87.818283558,18.03906
88.817683220,16.67188
89.817081928,17.15723
90.816481590,17.93945
91.818386078,16.48535
92.817785740,17.96484
93.817184925,17.28125
94.816584587,16.94531
95.818488121,18.88379
96.817887783,18.49902
97.817286968,17.33105
98.816685677,19.05762
99.818589210,18.2373
100.817988396,17.4043
101.817386627,18.62207
