Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.024667740,-11.54755,1.652425,-2.205038,-0.2071115,-0.8256657,-0.5297979,16.37017,24.58292,35.42673,1008.021
0.056839466,-11.48612,1.238129,-1.592168,-0.2067111,-0.8223628,-0.5418244,15.99693,24.21202,35.81306,1008.019
0.091485977,-10.4418,0.1727992,-3.308205,-0.1747319,-0.7845659,-0.5292792,15.99693,24.21202,35.81306,1008.019
0.123657703,-6.81741,0.7054643,-1.837316,-0.1900626,-0.8354127,-0.5869133,15.99693,24.21202,35.81306,1008.021
0.155829906,2.581443,-0.1231259,0.3077297,-0.1831158,-0.8300229,-0.5758477,16.00245,23.83657,36.2612,1008.021
0.190476418,5.222951,-0.537421,1.165748,-0.1925444,-0.8175839,-0.5423992,16.00245,23.83657,36.2612,1008.021
0.222648144,15.60469,3.25042,1.227035,-0.2170884,-0.7857157,-0.5168435,16.00245,23.83657,36.2612,1008.021
0.257294655,-8.906044,-0.892531,-0.1825666,-0.2009382,-0.8355238,-0.5453608,15.61955,23.83707,35.8806,1008.023
0.289466381,13.08604,3.13205,-1.837316,-0.1824314,-0.8588608,-0.5384958,15.61955,23.83707,35.8806,1008.023
0.324113369,-7.431714,-0.004755882,-0.1825666,-0.2029066,-0.8297263,-0.5501146,16.00245,23.83657,36.2612,1008.021
0.356285095,-6.387397,0.05442913,-0.8567238,-0.2119573,-0.8096527,-0.5334767,16.00797,23.46113,36.70934,1008.021
0.390931606,-16.03197,0.2319842,-3.798501,-0.2088812,-0.8109832,-0.5152004,16.00219,23.45544,36.26306,1008.021
0.423103333,-74.82088,2.717755,-17.77194,-0.2397886,-0.7230819,-0.4028454,16.00219,23.45544,36.26306,1008.021
0.457749844,-161.9292,-21.19299,-71.94967,-0.3151636,-0.7354103,-0.5396136,16.01349,23.08568,37.15748,1008.021
0.489922047,-173.8467,-23.50121,-94.5033,-0.2049301,-0.6890256,-0.6848596,15.28413,20.83723,39.34016,1008.019
0.524568558,-85.32548,-26.87475,-71.39809,-0.2233665,-0.7791138,-0.8608781,15.28413,20.83723,39.34016,1008.019
0.556740284,-7.247423,-27.40742,-32.17439,-0.04764088,-0.5654252,-0.6684383,14.92673,17.054,41.14582,1008.019
0.591386795,30.65514,-16.63574,11.03296,-0.007236805,-0.4960082,-0.830195,14.54648,13.62917,41.16451,1008.019
0.623558521,6.943003,0.2319842,11.82969,-0.165371,-0.7334948,-0.950213,14.54648,13.62917,41.16451,1008.017
