Time (s),W,X,Y,Z
0.000000000,0.05720733,-0.3037468,0.9193578,0.2363769
0.032560825,0.05715185,-0.3037492,0.9193854,0.2362803
0.065121651,0.05715233,-0.303777,0.9193866,0.2362396
0.100186825,0.05716977,-0.3039251,0.9193373,0.2362364
0.132742882,0.05718743,-0.304047,0.9192896,0.2362612
0.165303707,0.0569864,-0.3032303,0.9195632,0.236295
0.200368881,0.05688687,-0.3027533,0.9197278,0.23629
0.232929230,0.05683129,-0.3026726,0.9197643,0.2362641
0.265608788,0.05697998,-0.3031245,0.919608,0.2362574
0.300674915,0.05715847,-0.3036447,0.9194449,0.2361814
0.333231449,0.05722915,-0.3040022,0.9193292,0.2361546
0.365791798,0.05713009,-0.3035269,0.9194649,0.2362613
0.400856972,0.05716567,-0.3034807,0.9194547,0.2363523
0.433417320,0.05722416,-0.3037421,0.9193529,0.2363981
0.465977669,0.0573684,-0.3045016,0.9191139,0.2363156
0.498538494,0.05740245,-0.3047289,0.9190611,0.2362195
0.533599377,0.05735013,-0.3046996,0.9190834,0.2361837
0.566159725,0.05733128,-0.3046672,0.919105,0.236146
0.598720551,0.0573696,-0.3047085,0.9190996,0.236104
0.633785725,0.0573862,-0.3047619,0.9190758,0.2361235
0.666346073,0.05749316,-0.3050591,0.9189709,0.2361219
0.698907375,0.05751243,-0.3051763,0.9189322,0.2361167
0.733968258,0.05750706,-0.3052294,0.9189138,0.2361213
0.766528606,0.05751554,-0.3052692,0.9188951,0.23614
0.799089432,0.05750066,-0.3052689,0.9188912,0.2361593
0.834154129,0.0574988,-0.3053117,0.9188791,0.2361518
0.866714954,0.05752859,-0.3054182,0.9188429,0.2361472
0.899275303,0.05754777,-0.3054942,0.9188213,0.2361288
0.931831837,0.05754289,-0.3056365,0.9187816,0.2360998
0.966897011,0.05761844,-0.3061666,0.9186239,0.236008
0.999457359,0.05756053,-0.3060565,0.9186804,0.2359458
1.032017708,0.05753543,-0.3059394,0.9187293,0.2359132
1.067082882,0.05753979,-0.3060623,0.9186825,0.235935
1.099644184,0.05764906,-0.3064775,0.9185266,0.2359759
1.132200718,0.05775376,-0.3066793,0.9184563,0.2359618
1.167265892,0.05774879,-0.3066545,0.9184768,0.2359157
1.199826241,0.05760695,-0.3062283,0.9186222,0.2359377
1.232386589,0.05756398,-0.305938,0.9186999,0.2360226
1.267451763,0.05755999,-0.3059705,0.9186797,0.2360599
1.300012589,0.05734315,-0.3054116,0.9188783,0.2360633
1.332568646,0.05722097,-0.3051707,0.9189736,0.2360336
1.365129471,0.0572518,-0.3053865,0.9189146,0.2359765
1.400194645,0.05726097,-0.3053857,0.9189095,0.2359949
1.432754994,0.05728107,-0.3053604,0.918927,0.235955
1.465316296,0.05726843,-0.3053137,0.9189561,0.2359051
1.500380993,0.05734071,-0.305575,0.9188679,0.2358925
1.532937527,0.05725973,-0.3052141,0.9189646,0.2360031
1.565498352,0.05705325,-0.304443,0.9192034,0.2361193
1.600563526,0.0569935,-0.304448,0.9191929,0.2361683
1.633123875,0.05683298,-0.3040596,0.9193315,0.2361673
1.665684223,0.05660611,-0.3032661,0.9195985,0.2362031
1.700749397,0.05654009,-0.3029571,0.9197081,0.2361882
1.733305931,0.05656498,-0.3029617,0.9197114,0.2361633
1.765866280,0.05665304,-0.3031864,0.9196449,0.236113
1.798426628,0.05659525,-0.3028191,0.9197661,0.2361263
1.833492756,0.05654338,-0.3025424,0.9198506,0.2361638
1.866053104,0.05653234,-0.3023869,0.9198934,0.2361993
1.898613453,0.05646288,-0.3022321,0.9199238,0.2362959
1.933674812,0.05643613,-0.3020555,0.9199683,0.2363546
1.966235161,0.05641274,-0.3018688,0.9200438,0.2363045
1.998795509,0.05643872,-0.3019393,0.9200361,0.2362384
2.033860683,0.05660544,-0.3023962,0.9198718,0.2362538
2.066421509,0.05677278,-0.3028782,0.9196925,0.2362945
2.098981857,0.05690444,-0.3033679,0.9195318,0.23626
2.134042740,0.05680845,-0.3031779,0.9196116,0.2362161
2.166603565,0.05666905,-0.302729,0.919778,0.2361778
2.199164391,0.0566173,-0.3025522,0.9198284,0.2362201
2.231725216,0.05668819,-0.3026986,0.9197692,0.2362463
2.266789913,0.05685838,-0.3030818,0.9196432,0.2362045
2.299350739,0.05702571,-0.3036082,0.9194748,0.2361437
2.331907272,0.05694475,-0.3032897,0.9195704,0.2362004
2.366972447,0.05678524,-0.3026946,0.919755,0.2362831
2.399532795,0.05676462,-0.3026813,0.9197584,0.2362919
2.432093144,0.0567845,-0.3028449,0.919708,0.2362742
2.467158318,0.05687474,-0.303176,0.919598,0.2362558
2.499718666,0.05692684,-0.3035597,0.9194528,0.2363159
2.532276154,0.05683,-0.3032822,0.9195091,0.2364765
2.567340851,0.05657381,-0.3027422,0.9196901,0.2365253
2.599901676,0.05611796,-0.302252,0.9198982,0.2364523
2.632462025,0.05576166,-0.3017929,0.9200916,0.2363703
2.665022373,0.05586432,-0.3015991,0.9201698,0.2362889
2.700087547,0.05629686,-0.3019088,0.9200504,0.2362554
2.732644081,0.05657644,-0.301697,0.9200554,0.2364397
2.765204430,0.05670982,-0.3014929,0.9200602,0.2366495
2.800269604,0.05672117,-0.3017239,0.9199888,0.2366297
2.832830429,0.0566459,-0.3024224,0.919804,0.236475
2.865391254,0.05668408,-0.3030948,0.9195583,0.2365601
2.900456429,0.05692916,-0.3035102,0.9192865,0.2370241
2.933012962,0.05737796,-0.3030399,0.9192944,0.2374875
2.965573311,0.05763394,-0.3026748,0.9193441,0.2376979
3.000638485,0.05773751,-0.3027101,0.9193477,0.237614
3.033198833,0.05766694,-0.3022213,0.9195905,0.2373141
3.065759659,0.05757809,-0.3020416,0.9197416,0.2369779
3.098320007,0.05754931,-0.302258,0.9196491,0.2370685
3.133381367,0.05772102,-0.3024731,0.9193992,0.2377209
3.165941715,0.05789341,-0.3023556,0.9191859,0.238651
3.198502541,0.05812919,-0.3020967,0.9190654,0.2393849
3.233567715,0.05840541,-0.3022215,0.918898,0.2398019
3.266128540,0.05850909,-0.3021432,0.9188788,0.2399491
3.298688889,0.05844059,-0.3019924,0.9189553,0.2398625
3.333749771,0.05847318,-0.302758,0.9188569,0.2392658
3.366310597,0.05831705,-0.3030375,0.9189386,0.2386356
3.398870945,0.05893127,-0.3032681,0.9189729,0.2380593
3.433936119,0.05854587,-0.3034879,0.9190793,0.2374622
3.466496468,0.05760526,-0.3033512,0.9193881,0.2366706
3.499057770,0.05674991,-0.3028213,0.9200096,0.2351357
3.534118652,0.05664581,-0.3038877,0.920078,0.2335113
3.566679478,0.05647283,-0.3040023,0.9200175,0.2336428
3.599239826,0.05716193,-0.3034154,0.9196536,0.2356618
3.631800175,0.05849568,-0.3033827,0.9189565,0.2380835
3.666865349,0.05914667,-0.3032755,0.9185127,0.2397658
3.699425697,0.05881686,-0.303228,0.9185255,0.2398583
3.731982231,0.0581647,-0.3034318,0.9187256,0.2389916
3.767047405,0.0574355,-0.3036809,0.9189,0.2381801
3.799607754,0.05708661,-0.3040542,0.9188756,0.237881
3.832169056,0.05685017,-0.3040303,0.9189619,0.2376348
3.867234230,0.05665224,-0.30378,0.919213,0.2370301
3.899794579,0.05690829,-0.3036576,0.9193745,0.2364991
3.932351112,0.05722287,-0.303827,0.9193724,0.2362135
3.967416286,0.0574789,-0.3044663,0.9190698,0.2365059
3.999976635,0.05778283,-0.3045244,0.9188659,0.2371483
4.032537460,0.05805827,-0.3039341,0.9189601,0.2374726
4.065097809,0.0583713,-0.3042369,0.919097,0.2364762
4.100162983,0.05828051,-0.3048043,0.9193676,0.2347097
4.132719994,0.05814214,-0.3048907,0.9195819,0.2337903
4.165280342,0.0588218,-0.3046935,0.9195399,0.2340431
4.200345516,0.05975603,-0.3044051,0.9191765,0.2356034
4.232906342,0.06102895,-0.3046224,0.9184557,0.2377974
4.265466690,0.06269293,-0.3047203,0.917578,0.2406106
4.300531864,0.06452432,-0.304753,0.9164741,0.2442643
4.333088398,0.06664034,-0.3045651,0.9155154,0.2475045
4.365648747,0.06799053,-0.3049372,0.9148887,0.2489918
4.400714398,0.06811443,-0.3052572,0.9148055,0.2488713
4.433275223,0.06687498,-0.3055016,0.9150571,0.247981
4.465835571,0.06375131,-0.3067605,0.9153361,0.2462137
4.498395920,0.05985077,-0.30875,0.9156203,0.2436361
4.533457279,0.05546761,-0.3113789,0.9159989,0.2398755
4.566017628,0.05038352,-0.3133282,0.9168264,0.2352529
4.598577976,0.04545012,-0.315302,0.9177243,0.2300627
4.633643150,0.04389834,-0.3172325,0.9182838,0.2254311
4.666203499,0.04172938,-0.3187782,0.9181919,0.2240322
4.698764801,0.03962223,-0.3200083,0.9178739,0.2239638
4.733826160,0.03752197,-0.320742,0.9173924,0.2252454
4.766386509,0.03576585,-0.3212726,0.9165686,0.2281102
4.798946857,0.03349766,-0.3216316,0.9153798,0.2326766
4.834012032,0.02992471,-0.3218676,0.9138219,0.238879
4.866572380,0.02571252,-0.3218284,0.9123725,0.2448869
4.899133205,0.02009066,-0.3224679,0.9111758,0.2489925
4.931689262,0.01263593,-0.3230951,0.9105974,0.2507785
4.966755390,0.005136197,-0.3238501,0.9105416,0.2502725
4.999315739,-0.003144991,-0.3268187,0.909981,0.2484791
5.031876087,-0.0145486,-0.330691,0.9087784,0.2473482
5.066941261,-0.02638635,-0.3335214,0.9081652,0.2448077
5.099501610,-0.03433794,-0.3357837,0.9088879,0.2379513
5.132062435,-0.04189209,-0.3363561,0.9108396,0.2282729
5.167123318,-0.04945505,-0.336089,0.9127649,0.2192857
5.199684143,-0.05583977,-0.3363219,0.9135716,0.213972
5.232244492,-0.0630323,-0.3368435,0.9141948,0.2084201
5.267310143,-0.07030769,-0.3350732,0.9160633,0.2005951
5.299870491,-0.07542213,-0.3325174,0.9176326,0.1957593
5.332431316,-0.07852297,-0.3296551,0.9188523,0.1936484
5.364987850,-0.08085874,-0.3261848,0.9199305,0.1934447
5.400052548,-0.08273527,-0.3240119,0.9202279,0.194883
5.432613373,-0.08399431,-0.3228057,0.9204211,0.1954333
