Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.303752899,45.598,32.886
1.303597927,45.6,32.888
2.303442478,45.634,32.888
3.303356171,45.62,32.89
4.303201199,45.606,32.89
5.303046227,45.596,32.89
6.305366516,45.604,32.892
7.305212021,45.634,32.892
8.305319786,45.638,32.892
9.305165291,45.634,32.894
10.305011273,45.64,32.894
11.304856777,45.61,32.894
12.304702282,45.64,32.894
13.304548264,45.566,32.894
14.304393292,45.586,32.894
15.304238796,45.604,32.894
16.304084301,45.62,32.894
17.303929329,45.61,32.894
18.303774357,45.602,32.892
19.303619385,45.616,32.892
20.303464413,45.59,32.892
21.303308964,45.568,32.89
22.303153038,45.572,32.89
23.302997589,45.646,32.888
24.302872658,45.564,32.886
25.305190563,45.566,32.884
26.305251122,45.58,32.884
27.305094242,45.544,32.882
28.304972649,45.516,32.88
29.304927349,45.526,32.878
30.304769993,45.53,32.874
31.304612160,45.494,32.872
32.304453850,45.5,32.87
33.304295540,45.456,32.868
34.304136276,45.406,32.868
35.303977490,45.424,32.866
36.303818226,45.468,32.864
37.303658962,45.44,32.864
38.303499222,45.44,32.862
39.303339481,45.402,32.86
40.303179264,45.38,32.858
41.303239346,45.408,32.856
42.303077698,45.412,32.854
44.305230618,45.352,32.85
45.305068016,45.348,32.848
46.304905891,45.344,32.846
47.304912090,45.346,32.844
48.304749966,45.308,32.842
49.304586887,45.344,32.838
50.304423332,45.284,32.836
51.304259300,45.296,32.834
52.304095745,45.302,32.834
53.303932190,45.278,32.832
54.303767681,45.312,32.83
55.303602696,45.302,32.828
56.303438664,45.226,32.828
57.303273678,45.21,32.824
58.303107739,45.244,32.824
59.302942753,45.23,32.822
60.302777290,45.222,32.82
61.305185318,45.25,32.82
63.304866314,45.23,32.816
64.304893971,45.182,32.814
65.304727554,45.222,32.814
66.304560661,45.156,32.812
67.304393292,45.196,32.812
68.304226399,45.216,32.81
69.304059506,45.214,32.81
70.303892613,45.174,32.81
71.303724766,45.152,32.808
72.303556919,45.17,32.808
73.303389549,45.156,32.806
74.303221226,45.124,32.806
75.303053379,45.124,32.804
76.302885056,45.118,32.802
77.302835941,45.142,32.802
78.305330277,45.156,32.8
79.305161953,45.092,32.8
80.304993153,45.096,32.798
81.304823875,45.124,32.798
82.304654598,45.102,32.796
83.304484844,45.122,32.794
84.304429054,45.086,32.792
85.304258823,45.094,32.79
86.304088593,45.114,32.788
87.303917885,45.104,32.786
88.303747177,45.016,32.786
89.303575993,45.064,32.782
90.303404331,45.008,32.78
91.303232670,45.04,32.778
92.303061009,45.006,32.778
93.303103924,45.02,32.776
94.302931786,44.986,32.774
95.305233479,45.062,32.772
96.305061340,45.002,32.77
97.304888249,44.976,32.77
98.304714203,44.956,32.768
99.304540634,44.998,32.766
100.304396629,44.91,32.764
101.304222584,44.936,32.764
102.304048538,44.944,32.762
103.303874970,44.934,32.762
104.303700447,44.926,32.762
105.303525925,45.008,32.76
106.303351879,44.91,32.758
107.303176880,44.926,32.758
108.303203583,44.946,32.758
109.303028584,44.912,32.754
110.302853584,44.894,32.754
111.305153370,44.896,32.754
