Time (s),Power (dBm),Percentage (%)
0.374835491,-57,86
0.874780178,-57,86
1.374593258,-58,84
1.874960899,-57,86
2.374612331,-57,86
2.874880314,-57,86
3.374758244,-59,82
3.874748707,-63,74
4.374577046,-57,86
4.874892712,-59,82
5.374721050,-62,76
5.874789715,-62,76
6.374771595,-65,70
6.874935627,-55,90
7.374639034,-59,82
7.874771595,-59,82
8.374759197,-69,62
8.874714375,-62,76
9.374574661,-53,94
9.874892235,-49,100
10.374549866,-55,90
10.874716759,-47,100
11.374736309,-43,100
11.874666691,-57,86
12.374546528,-51,98
12.874673843,-55,90
13.374719620,-45,100
13.874717236,-45,100
14.374734402,-45,100
14.874653816,-37,100
15.374559403,-37,100
15.874663830,-42,100
16.374483585,-61,78
16.874843597,-53,94
17.374499798,-49,100
17.874795437,-51,98
18.374682427,-49,100
18.874637604,-47,100
19.374650955,-53,94
19.874815941,-53,94
20.374464989,-55,90
20.874775887,-55,90
21.374660969,-55,90
21.874763489,-59,82
22.374456406,-49,100
22.874759197,-51,98
23.374617577,-57,86
23.874682426,-69,62
24.374517918,-51,98
24.874781132,-62,76
25.374497414,-53,94
25.874733448,-53,94
26.374589443,-55,90
26.874585628,-60,80
27.374440670,-69,62
27.874758720,-57,86
28.374588490,-53,94
28.874614716,-51,98
29.374602318,-65,70
29.874753475,-60,80
30.374394894,-57,86
30.874670029,-60,80
31.374550343,-51,98
31.874608994,-57,86
32.374391556,-55,90
32.874684811,-57,86
33.374528408,-57,86
33.874557018,-59,82
34.374528408,-61,78
34.874690056,-51,98
35.374404907,-53,94
35.874556065,-59,82
36.374548912,-64,72
36.874522209,-53,94
37.374547005,-59,82
37.874684811,-67,66
38.374342918,-62,76
38.874533653,-59,82
39.374526024,-65,70
39.874613285,-61,78
40.374367237,-55,90
40.874443531,-57,86
41.374455452,-53,94
41.874542236,-53,94
42.374505043,-53,94
42.874579430,-55,90
43.374315739,-53,94
43.874607563,-57,86
44.374411583,-60,80
44.874564171,-59,82
45.374297619,-57,86
45.874499798,-55,90
46.374443054,-53,94
46.874470711,-51,98
47.374351025,-63,74
47.874573231,-57,86
48.374251843,-64,72
48.874559879,-53,94
49.374452591,-60,80
49.874404907,-59,82
50.374234676,-53,94
50.874551296,-53,94
51.374454022,-57,86
51.874416828,-57,86
52.374394417,-61,78
52.874631882,-59,82
53.374298096,-60,80
53.874502659,-57,86
54.374379635,-59,82
54.874447346,-59,82
55.374422073,-57,86
55.874515533,-59,82
56.374210835,-58,84
56.874365807,-57,86
57.374395371,-57,86
57.874331474,-57,86
58.374205113,-57,86
58.874331474,-57,86
59.374155045,-57,86
59.874410629,-57,86
60.374312401,-57,86
60.874512672,-57,86
61.374180794,-49,100
61.874469757,-55,90
