Time (s),Humidity (%)
0.242498874,14.78613
1.243234157,15.41309
2.243902683,14.54004
3.242087841,15.01953
4.242755890,14.76172
5.243582249,14.72461
6.241767406,15.03223
7.242436409,15.16699
8.243104935,14.77344
9.243773460,14.55273
10.242082596,14.67578
11.242751121,14.9707
12.243420124,15.65918
13.241605282,14.84766
14.242274284,15.33887
15.242942810,14.14648
16.243610382,14.1709
17.241796017,14.1709
18.242464065,15.41309
19.243132114,14.49121
20.243800640,15.47461
21.241985798,13.90039
22.242726326,14.01074
23.243444443,14.44141
24.241629600,14.77344
25.242298126,15.16699
26.243045807,15.2041
27.243734836,15.25293
28.241919994,14.31836
29.242588520,14.4043
30.243257046,14.87207
31.241441727,14.6377
32.242109775,15.21582
33.242870331,14.89648
34.243537903,15.25293
35.241891384,14.69922
36.242559433,14.9209
37.243226528,15.10449
38.243894100,14.91992
39.242077827,14.78418
40.242744922,14.99316
41.243458748,14.8457
42.241642475,14.28027
43.242309570,14.45215
44.242976188,14.41504
45.243642330,15.71777
46.241842270,15.93945
47.242589950,14.58691
48.243255615,15.58203
49.241437912,14.95508
50.242104053,15.45898
51.242769718,14.2793
52.243435383,14.38965
53.241617203,15.23828
54.242518902,14.4873
55.243184089,14.4873
56.241366386,14.99219
57.242031574,15.22461
58.242696762,14.72168
59.243382931,14.94238
60.241565227,14.30273
61.242230415,14.51172
62.242895603,15.00391
63.243560791,14.38867
64.241742134,15.02832
65.242481232,14.13086
66.243146419,15.01563
67.241328239,14.85645
68.241993427,15.33496
69.242658615,15.48242
70.243323326,15.38477
71.241505146,16.09766
72.242170334,15.37207
73.243072986,15.59375
74.241254330,16.76074
75.241920948,15.51953
76.242584705,15.77734
77.243248939,15.70313
78.241430759,15.19922
79.242094517,15.3584
80.242757797,15.29688
81.243421554,15.71484
82.241806984,15.05078
83.242470264,14.91602
84.243134022,14.78027
85.241313934,14.8916
86.241976738,15.18652
87.242640495,15.13672
88.243303776,14.58398
90.242275715,14.8418
91.242939472,14.62109
92.243602753,14.73145
93.241783142,14.99023
94.242446899,15.60449
95.243139744,15.56738
96.241353512,15.06348
97.242016792,15.19824
98.242680549,15.01465
99.243458271,14.97852
100.241638660,14.6582
101.242302418,15.59277
102.242966652,16.01074
103.241147041,14.9541
104.241849899,15.40918
105.242513656,15.8877
106.243177414,15.35938
107.241358280,15.82617
108.242022037,16.07227
109.242686271,14.9668
110.243350029,16.01074
111.241564750,15.86328
112.242362976,15.4082
113.243026733,15.72852
114.241249084,14.51074
115.241912842,15.45801
116.242576599,15.31055
117.243243694,15.1377
118.241424084,14.24121
119.242088795,14.51172
120.242798328,13.79883
121.240985870,15.00293
122.241708278,14.25293
123.242414951,13.81055
124.243078708,15.16309
125.241314888,14.6709
126.241978645,13.45313
127.242642402,14.17969
128.243483066,14.25293
129.241663933,14.19141
130.242328644,15.21191
131.243002415,14.33984
132.241183281,15.28613
133.241847992,15.21289
134.242512226,15.48242
135.243176460,15.66699
136.241357803,15.38477
137.242022037,14.97852
