Time (s),W,X,Y,Z
0.009092331,0.4189504,-0.6042551,-0.5472288,-0.3956319
0.043855190,0.4189886,-0.6042149,-0.5472512,-0.3956221
0.076135159,0.4189155,-0.6043064,-0.5472688,-0.3955352
0.108415604,0.4189723,-0.6045616,-0.5470745,-0.3953541
0.143178940,0.4190502,-0.6046638,-0.5468591,-0.3954129
0.175455570,0.419192,-0.6046938,-0.5466458,-0.3955118
0.210218430,0.4192989,-0.6047307,-0.5465551,-0.3954673
0.242498874,0.4192889,-0.6047655,-0.546582,-0.3953878
0.274779320,0.4192244,-0.6048326,-0.5466466,-0.3952639
0.309542656,0.4194324,-0.6051079,-0.5463433,-0.3950411
0.341823101,0.4193467,-0.6049117,-0.5465207,-0.3951872
0.376582146,0.4191354,-0.6045762,-0.5468619,-0.3954528
0.408863067,0.4192143,-0.604544,-0.5468099,-0.3954901
0.443692684,0.4191684,-0.6043513,-0.5469676,-0.3956155
0.475973129,0.4190988,-0.604303,-0.5470759,-0.3956132
0.508253574,0.4191158,-0.604601,-0.5469157,-0.3953614
0.543016910,0.4191526,-0.6048867,-0.546733,-0.395138
0.575293541,0.4192891,-0.6050229,-0.5465341,-0.3950597
0.610056400,0.4193884,-0.604924,-0.54647,-0.3951942
0.642336368,0.4194782,-0.6049318,-0.5463783,-0.3952139
0.677100182,0.4194941,-0.6049153,-0.5464278,-0.395154
0.709380150,0.419484,-0.6048993,-0.546535,-0.3950407
0.741660595,0.4195068,-0.6049019,-0.5465277,-0.3950226
0.776419640,0.4196775,-0.6051283,-0.5462657,-0.3948572
0.808700085,0.4200083,-0.6056336,-0.5457367,-0.3944619
0.843463421,0.4196768,-0.60528,-0.5461699,-0.3947577
0.875743866,0.4193305,-0.604858,-0.5466293,-0.3951363
0.910507202,0.419094,-0.604471,-0.5469938,-0.3954751
0.942787647,0.4192131,-0.604416,-0.5469903,-0.3954376
0.975063324,0.4192642,-0.6043923,-0.5470127,-0.3953887
1.009827137,0.4192461,-0.6043033,-0.5471136,-0.3954043
1.042107105,0.4192668,-0.604278,-0.5471383,-0.3953868
1.076870918,0.4193459,-0.6043075,-0.5470634,-0.3953616
1.109150887,0.4193767,-0.6043797,-0.5470039,-0.3953009
1.143914700,0.4195484,-0.6045895,-0.5467928,-0.3950897
1.176190376,0.4196668,-0.6046063,-0.5467179,-0.395042
1.208470821,0.419772,-0.604541,-0.5467272,-0.3950174
1.243234157,0.4199331,-0.6047591,-0.5465414,-0.3947693
1.275514602,0.4198805,-0.6049057,-0.5465274,-0.3946201
1.310277939,0.4198439,-0.6049799,-0.5465061,-0.3945746
1.342558384,0.4200343,-0.6051565,-0.5461954,-0.3945315
1.374834061,0.4201568,-0.6051447,-0.5460429,-0.39463
1.409597874,0.4202053,-0.605108,-0.5460292,-0.3946541
1.441877842,0.4202266,-0.6051081,-0.5460434,-0.3946111
1.476641655,0.420258,-0.6050427,-0.5461086,-0.3945879
1.508921623,0.4202797,-0.6049673,-0.5461668,-0.3945996
1.543685436,0.4202211,-0.6050159,-0.5462214,-0.394512
1.575961113,0.420071,-0.6050465,-0.5463466,-0.3944517
1.608241558,0.419982,-0.6050639,-0.5463791,-0.394475
1.643004894,0.4200776,-0.6050488,-0.5462529,-0.3945709
1.675285339,0.4202311,-0.6049257,-0.5461912,-0.3946815
1.710048675,0.420075,-0.604671,-0.5464426,-0.39489
1.742329121,0.4196416,-0.6042305,-0.547017,-0.3952296
1.777088165,0.4195811,-0.6043743,-0.5469619,-0.3951503
1.809368610,0.4196535,-0.6045405,-0.5467789,-0.3950727
1.841648579,0.4197669,-0.6046166,-0.5466446,-0.3950215
1.876412392,0.4197135,-0.6042771,-0.5468988,-0.3952458
1.908692360,0.4198344,-0.6042076,-0.5468647,-0.3952705
1.943456173,0.420012,-0.6044369,-0.5466251,-0.395063
1.975731850,0.4198349,-0.6045187,-0.546758,-0.394942
2.010495663,0.4195738,-0.6046191,-0.5468774,-0.3949004
2.042775631,0.4195184,-0.6047027,-0.5467878,-0.3949555
2.075056076,0.419762,-0.6048948,-0.5463729,-0.3949768
2.109819412,0.420095,-0.6051021,-0.5459146,-0.3949388
2.142099857,0.4202819,-0.6052499,-0.5457225,-0.3947788
2.176858902,0.4201065,-0.6049697,-0.5460993,-0.3948738
2.209139347,0.4202446,-0.6051325,-0.5459157,-0.3947313
2.243902683,0.4204694,-0.6054201,-0.545571,-0.3945275
2.276183128,0.4203734,-0.6055215,-0.5455718,-0.3944733
2.308463096,0.4200788,-0.6055541,-0.5457329,-0.3945141
2.343226909,0.4194592,-0.6057038,-0.5457813,-0.3948765
2.375502586,0.4192906,-0.6058628,-0.5453011,-0.3954742
2.410266399,0.4196619,-0.6056346,-0.5449152,-0.395962
2.442546368,0.4196619,-0.6053842,-0.5452446,-0.3958914
2.474826813,0.4192548,-0.6054098,-0.5456864,-0.3956747
2.509589672,0.4186896,-0.6057232,-0.5461753,-0.3951184
2.541870594,0.4185952,-0.6059532,-0.5465718,-0.3943171
2.576629639,0.4190001,-0.6058078,-0.5468985,-0.3936566
2.608910084,0.4191183,-0.6051508,-0.5475666,-0.3936126
2.643673420,0.4191018,-0.6045916,-0.5479432,-0.3939653
2.675953865,0.4190794,-0.6045488,-0.5476227,-0.3945002
2.708233356,0.4188856,-0.6042845,-0.547317,-0.3955334
2.742997646,0.4187308,-0.6043865,-0.5469013,-0.3961163
2.775273323,0.4185091,-0.6050053,-0.5466388,-0.3957682
2.810037136,0.4181432,-0.6053351,-0.5468517,-0.3953561
2.842317104,0.4181934,-0.605305,-0.5470579,-0.3950639
2.877080917,0.4184585,-0.6051171,-0.5472205,-0.3948458
2.909360409,0.4185846,-0.6049178,-0.5474093,-0.3947558
2.941641331,0.4182921,-0.6048465,-0.5478315,-0.3945893
2.976400375,0.4178947,-0.6048451,-0.5482475,-0.394435
3.008680820,0.4177999,-0.6052969,-0.5481684,-0.3939516
3.043444157,0.4175164,-0.6052591,-0.5484115,-0.3939721
3.075724602,0.4174005,-0.6048263,-0.5486441,-0.3944355
3.110487461,0.4177167,-0.604637,-0.5483823,-0.3947548
3.142767906,0.4180248,-0.604326,-0.5482463,-0.3950938
3.175044060,0.418151,-0.6040426,-0.5484059,-0.395172
3.209807873,0.4180718,-0.6040745,-0.5485922,-0.3949485
3.242087841,0.4179111,-0.604136,-0.5487368,-0.3948237
3.276851654,0.4180185,-0.6042269,-0.548613,-0.3947427
3.309131145,0.4181986,-0.6044466,-0.5483359,-0.3946008
3.341411590,0.4180125,-0.604683,-0.5483301,-0.3944438
3.376171112,0.4177216,-0.6048381,-0.5484944,-0.3942855
3.408451557,0.4174843,-0.6050434,-0.5486142,-0.3940553
3.443214416,0.4173098,-0.6056268,-0.5485551,-0.3934256
3.475495338,0.4169471,-0.6062308,-0.5486353,-0.3927674
3.510258198,0.4164303,-0.6065706,-0.5489157,-0.3923991
3.542538643,0.4165894,-0.6070192,-0.5485072,-0.3921077
3.574814796,0.4170663,-0.6069018,-0.5482314,-0.3921683
3.609578609,0.4173189,-0.6062151,-0.5484555,-0.3926478
3.641858101,0.4174248,-0.6059316,-0.5484504,-0.3929803
3.676622391,0.4171471,-0.6059303,-0.5485792,-0.3930971
