Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.463654995,69.48047,119.8125,3.89125,257.8125,0
1.518504619,69.46875,119.90625,3.893125,251.5625,0
2.397400856,69.45703,119.8125,3.891875,256.25,0
3.452052116,69.45703,119.8125,3.89125,254.0625,0
4.506752491,69.44531,119.625,3.89,262.1875,0
5.561604977,69.43359,119.625,3.89,260.3125,0
6.440603256,69.41797,119.34375,3.89,299.6875,0
7.495411873,69.40625,119.625,3.891875,250.3125,0
8.550062179,69.39453,119.34375,3.89125,269.0625,0
9.429184437,69.39453,119.34375,3.89125,253.75,0
10.484645843,69.38281,119.4375,3.890625,260,0
11.538779735,69.37109,119.34375,3.89125,263.125,0
12.417756557,69.35938,119.25,3.89125,266.875,0
13.472536564,69.35938,119.4375,3.890625,250.3125,0
14.527199268,69.34766,119.71875,3.88875,254.6875,0
15.406144142,69.33594,119.34375,3.89125,249.375,0
16.460870743,69.32031,119.53125,3.889375,251.875,0
17.515742779,69.30859,119.25,3.89,268.4375,0
18.394779682,69.30859,119.25,3.8875,263.125,0
19.449508190,69.29688,119.15625,3.889375,250.625,0
20.504314899,69.28516,119.34375,3.889375,255.3125,0
21.559562683,69.27344,119.25,3.888125,252.8125,0
22.438406944,69.26172,119.53125,3.890625,244.0625,0
23.493506908,69.26172,119.4375,3.89125,266.25,0
24.547509193,69.25,119.0625,3.89125,247.1875,0
25.426498413,69.23828,119.15625,3.888125,265.625,0
26.481512070,69.22266,119.34375,3.888125,256.875,0
27.536148071,69.21094,119.34375,3.888125,259.6875,0
28.415138721,69.21094,119.34375,3.8875,254.375,0
29.469987869,69.19922,119.4375,3.890625,254.375,0
30.524775505,69.1875,119.71875,3.88875,248.4375,0
31.403754711,69.17578,119.71875,3.888125,251.875,0
32.458664417,69.16406,119.90625,3.89,247.1875,0
33.513303280,69.16406,119.625,3.888125,296.5625,0
34.392301559,69.15234,119.53125,3.8875,260,0
35.447114467,69.14063,119.4375,3.8875,285.9375,0
36.502392769,69.125,119.15625,3.886875,259.375,0
37.556832790,69.11328,119.25,3.888125,256.875,0
38.435929775,69.11328,119.25,3.886875,260.625,0
39.490447998,69.10156,119.34375,3.88375,255.625,0
40.545397282,69.08984,118.96875,3.88625,268.125,0
41.424494743,69.07813,118.96875,3.88625,265.3125,0
42.479229927,69.06641,118.78125,3.888125,264.6875,0
43.534045219,69.06641,118.6875,3.879375,255,0
44.413038730,69.05469,118.78125,3.89,259.0625,0
45.467665195,69.04297,118.5,3.885,277.8125,0
46.522373199,69.02734,118.78125,3.886875,250.9375,0
47.401496887,69.02734,118.6875,3.886875,277.5,0
48.456291675,69.01563,118.96875,3.88625,241.5625,0
49.511105537,69.00391,118.875,3.886875,265.3125,0
50.565706730,68.99219,119.15625,3.8875,254.6875,0
