Time (s),Power (dBm),Percentage (%)
0.068181038,-51,98
0.568484306,-51,98
1.068301201,-51,98
1.568333626,-51,98
2.068296433,-51,98
2.568448067,-51,98
3.068191051,-51,98
3.568400860,-51,98
4.068134785,-51,98
4.568431854,-51,98
5.068087578,-51,98
5.568221569,-47,100
6.068228722,-51,98
6.568317890,-57,86
7.068005085,-53,94
7.568297386,-49,100
8.068052292,-57,86
8.568305492,-69,62
9.068116188,-65,70
9.568174362,-60,80
10.068120480,-62,76
10.568262577,-62,76
11.067977905,-59,82
11.568214416,-59,82
12.067960739,-59,82
12.568211079,-60,80
13.067985535,-60,80
13.568062782,-59,82
14.068063736,-59,82
14.568042278,-60,80
15.067862034,-60,80
15.568160057,-57,86
16.067983150,-59,82
16.568026066,-59,82
17.067950726,-57,86
17.567996502,-57,86
18.067940235,-61,78
18.568058014,-59,82
19.067744732,-59,82
19.568072319,-65,70
20.067883492,-53,94
20.567891121,-59,82
21.067883015,-62,76
21.568114757,-55,90
22.067782402,-55,90
22.568028927,-59,82
23.067769051,-57,86
23.567903519,-57,86
24.067702293,-57,86
24.567847729,-57,86
25.067666054,-57,86
25.567941666,-57,86
26.067750931,-57,86
26.567875385,-57,86
27.067718983,-57,86
27.568015098,-57,86
28.067643642,-57,86
28.567877293,-57,86
29.067833900,-57,86
29.567928314,-57,86
30.067621231,-57,86
30.567901611,-57,86
31.067588806,-57,86
31.567796707,-57,86
32.067720413,-61,78
32.567909717,-55,90
33.067856789,-53,94
33.567814350,-51,98
34.067668915,-60,80
34.568025589,-51,98
35.067790508,-69,62
35.567851543,-51,98
36.067801476,-51,98
36.567822456,-57,86
37.067782879,-59,82
37.567906380,-59,82
38.067633152,-57,86
38.567927837,-59,82
39.067658901,-53,94
39.567848682,-53,94
40.067792892,-51,98
40.567924023,-53,94
41.067682266,-58,84
41.567999840,-65,70
42.067651749,-64,72
42.567971229,-62,76
43.067782402,-62,76
43.567807674,-60,80
44.067758560,-57,86
44.567905903,-53,94
45.067621231,-57,86
45.567863464,-53,94
46.067624092,-59,82
46.567799568,-62,76
47.067681313,-57,86
47.567689896,-65,70
48.067659855,-57,86
48.567649364,-57,86
49.067473888,-53,94
49.567799091,-57,86
50.067638874,-53,94
50.567634582,-51,98
51.067599297,-51,98
51.567635059,-51,98
52.067786217,-51,98
52.567857265,-51,98
53.067629814,-51,98
53.567926884,-53,94
54.067676544,-51,98
54.567720413,-53,94
55.067733765,-53,94
55.567918777,-53,94
56.067602634,-51,98
56.567872047,-51,98
57.067588806,-49,100
57.567813396,-49,100
58.067687511,-51,98
58.567712784,-55,90
59.067617416,-65,70
59.567823887,-51,98
60.067558289,-59,82
60.567736149,-59,82
61.067493916,-55,90
61.567734241,-59,82
62.067542553,-59,82
62.567615032,-65,70
63.067601681,-67,66
63.567579269,-69,62
64.067477703,-62,76
64.567742824,-62,76
65.067557812,-62,76
65.567699909,-59,82
66.067611694,-57,86
66.567623615,-55,90
67.067578316,-69,62
67.567718506,-67,66
68.067424774,-73,54
68.567743778,-65,70
69.067471027,-65,70
69.567565441,-71,58
70.067546844,-67,66
70.567648888,-62,76
71.067378044,-59,82
71.567651272,-59,82
72.067331314,-57,86
72.567444801,-63,74
73.067450047,-59,82
73.567558288,-60,80
74.067293644,-62,76
74.567549229,-69,62
75.067466736,-61,78
75.567576885,-65,70
76.067474842,-64,72
76.567604542,-64,72
77.067610264,-65,70
77.567647457,-62,76
78.067563057,-67,66
78.567679882,-62,76
79.067372799,-57,86
79.567696571,-53,94
80.067506313,-60,80
80.567511558,-65,70
81.067473412,-53,94
81.567800999,-53,94
82.067509651,-53,94
82.567748546,-53,94
83.067509174,-53,94
83.567808151,-53,94
84.067445278,-53,94
84.567650795,-53,94
85.067636967,-53,94
85.567770004,-53,94
86.067461491,-53,94
86.567741871,-53,94
87.067452431,-53,94
87.567667484,-53,94
88.067524433,-53,94
88.567568779,-57,86
89.067542076,-51,98
89.567472458,-53,94
90.067375660,-62,76
90.567639351,-59,82
91.067443848,-51,98
91.567439079,-61,78
92.067456722,-55,90
92.567416668,-60,80
93.067385197,-57,86
93.567564964,-65,70
94.067333221,-65,70
94.567678928,-59,82
95.067330360,-59,82
95.567465305,-57,86
96.067436218,-59,82
96.567550182,-57,86
97.067271233,-59,82
97.567536354,-62,76
98.067304134,-69,62
98.567532539,-59,82
99.067374706,-60,80
99.567396164,-53,94
100.067363262,-57,86
100.567349911,-57,86
101.067193508,-57,86
101.567468166,-55,90
102.067299843,-64,72
102.567446232,-60,80
103.067355633,-67,66
103.567465782,-62,76
104.067416668,-59,82
104.567567348,-65,70
105.067249298,-62,76
105.567554951,-64,72
106.067259789,-69,62
106.567381859,-57,86
107.067393780,-55,90
107.567499161,-61,78
108.067178249,-53,94
108.567498684,-57,86
109.067161560,-59,82
109.567381382,-55,90
110.067281246,-59,82
110.567293167,-60,80
111.067155361,-53,94
111.567252636,-53,94
112.067247868,-51,98
112.567420006,-51,98
113.067397594,-51,98
113.567400455,-51,98
114.067248344,-51,98
114.567381859,-51,98
115.067333698,-51,98
115.567342281,-51,98
116.067162991,-51,98
116.567505836,-49,100
117.067175865,-57,86
117.567291260,-59,82
118.067265987,-49,100
118.567405701,-54,92
119.067086697,-65,70
119.567372799,-53,94
120.067075729,-59,82
120.567394733,-67,66
121.067233562,-65,70
121.567358017,-59,82
122.067335606,-62,76
122.567341328,-62,76
123.067155361,-57,86
123.567486286,-65,70
124.067296982,-65,70
124.567286491,-60,80
125.067304134,-60,80
125.567272186,-59,82
126.067257404,-60,80
126.567377090,-51,98
127.067055702,-51,98
127.567408562,-57,86
128.067034245,-67,66
128.567186355,-73,54
129.067201138,-62,76
129.567286014,-60,80
130.067102909,-60,80
130.567413330,-55,90
131.067267418,-59,82
131.567468166,-69,62
132.067363262,-59,82
132.567331314,-59,82
133.067303658,-62,76
133.567282677,-69,62
134.067118645,-57,86
134.567411899,-53,94
