Time (s),Humidity (%)
0.633187294,21.01563
1.633872032,21.07813
2.632072925,20.35352
3.632758140,21.25098
4.633443355,20.47754
5.634129047,21.69434
6.632331848,20.14648
7.633018494,19.92578
8.633704662,20.50391
9.631908417,20.95898
10.632596493,20.88574
11.633284092,21.3291
12.633972645,21.51465
13.632178306,21.60059
14.632867336,21.83496
15.633556366,21.7373
16.631762981,21.75098
17.632457256,21.71387
18.633166790,20.98926
19.633878231,21.96094
20.632105827,23.62109
21.632816791,24.1377
22.633527756,22.7002
23.631757259,23.15527
24.632468700,22.18555
25.633181095,22.66504
26.633894443,20.19336
27.632123947,21.26465
28.632837295,21.37598
29.633551121,21.43848
30.631782055,21.77051
31.632496357,21.53711
32.633210659,21.70996
33.631443024,20.14844
34.632158279,18.80762
35.632873535,18.80762
36.633589268,18.95508
37.631821632,19.66992
38.632537842,19.22754
39.633254528,18.87012
40.631488323,19.14258
41.632204533,19.2041
42.632921696,18.6748
43.633639336,20.0166
44.631874561,20.20215
45.632592201,19.34082
46.633310795,19.64844
47.631545544,19.71094
48.632264614,20.11621
49.632983684,20.75684
50.633702755,20.58594
51.631939411,20.33984
52.632658958,19.54004
53.633379459,19.31836
54.631616115,20.41406
55.632336616,20.24219
56.633056641,18.0752
57.631293297,16.62109
58.632012844,15.08105
59.632732868,18.58008
60.633453369,20.11914
61.631689548,21.01758
62.632409096,19.91016
63.633128166,18.61719
64.631364345,16.97852
65.632082462,18.68945
66.632801056,17.58105
67.633519173,20.10547
68.631754398,21.53223
69.632472038,20.81836
70.633190155,20.73145
71.631423950,20.97754
72.632140636,20.66992
73.632857799,21.10059
74.633574963,20.91602
75.631808758,20.39844
76.632524967,19.22949
77.633241653,19.2168
78.631474495,19.7334
79.632190227,19.10547
80.632906914,19.41309
81.633622646,18.72363
82.631855011,19.01855
83.632570267,18.76074
84.633285999,19.28906
85.631517410,18.63672
86.632233143,18.37793
87.632948399,18.37793
88.631180286,18.96875
89.631895065,20.98633
90.632609844,20.15039
91.633324623,19.63281
92.631556511,17.82324
93.632270813,17.71191
94.632985115,17.3916
95.631216526,17.1084
96.631930351,16.57813
97.632643700,17.00879
98.633357525,17.00879
99.631588936,16.87402
100.632301807,17.5752
101.633015633,18.26465
102.631246567,17.9082
103.631960392,17.8584
104.632674217,17.66211
105.633388042,17.82227
106.631618977,17.78516
107.632332802,18.63379
108.633047104,18.27734
109.631278038,17.29199
110.631992817,17.6377
111.632707119,19.82813
112.633421421,20.16113
113.631653309,20.32129
114.632368088,19.5957
115.633083343,20.49414
116.631315708,20.75293
117.632031441,20.18652
118.632747173,21.30664
119.633462906,20.22461
120.631696224,21.40527
121.632412434,21.39355
122.633129120,20.26172
123.631362915,21.62793
124.632079601,21.0625
125.632796764,21.81348
126.631031513,20.89063
127.631749153,20.07813
128.632466793,20.63281
129.633185387,21.07617
130.631420135,20.85449
131.632138729,20.375
132.632857799,19.69922
133.631093502,20.04395
134.631813526,20.37598
135.632532597,20.56152
136.633252621,20.5
137.631489754,21.76758
138.632210255,20.96875
139.632930756,20.5127
140.631167889,19.29492
141.631888866,19.98438
142.632609367,19.77539
143.633330822,19.76367
144.631568909,20.31738
145.632290363,20.35449
146.633012295,20.35547
147.631250858,21.2666
148.631972313,20.77441
149.632694721,20.7998
150.630933762,19.28516
151.631655693,19.05176
152.632378101,19.91309
153.633100033,18.80566
154.631339073,18.50977
155.632061481,16.74805
156.632782936,15.57715
157.631021976,18.01758
158.631743908,19.03906
159.632466316,19.4707
160.633188724,16.625
161.631427288,16.5752
162.632149696,17.24121
163.632871151,16.96973
164.631110668,16.5752
165.631832123,17.69629
167.630793095,17.81934
168.631515026,18.58301
169.632236481,19.38379
170.632958412,19.00195
171.631196499,19.23633
172.631918907,18.43555
173.632640362,18.2998
174.630878448,18.21387
175.631600380,18.22559
176.632321358,19.18652
177.633043289,19.16113
178.631281853,20.72559
179.632002830,20.33105
180.632724285,19.28516
181.630962372,18.20117
182.631683350,18.79199
183.632404327,19.99902
184.633124828,19.50586
185.631362438,19.23535
186.632083416,17.375
187.632804871,15.81055
188.631042004,16.90625
189.631762981,17.38672
190.632483482,16.59766
191.630720138,18.22363
192.631441593,19.30762
193.632162094,19.20996
194.632883072,20.07129
195.631120682,17.20215
196.631841183,16.36426
197.632562160,18.29883
198.630799770,17.20215
199.631520271,16.53613
200.632240772,17.25098
201.632961750,19.24609
202.631199837,19.61621
203.631919861,19.50488
204.632641315,17.9043
205.630877972,17.00488
206.631598473,16.81934
207.632318497,16.11719
208.633038998,17.68164
209.631275177,19.4541
210.631994724,19.19629
211.632714748,19.30664
212.630950928,19.62695
213.631670952,17.79199
214.632390022,19.10938
215.630625725,18.81348
216.631344318,18.58008
217.632063389,18.83789
218.632781029,19.45313
219.631016254,20.76953
220.631734371,20.86816
221.632452011,20.9668
222.630686760,20.81836
223.631404400,20.4248
224.632121563,20.7207
225.632838726,20.60938
226.631072044,20.4375
227.631789207,20.64648
228.632506370,19.95703
229.630739689,20.78125
230.631455898,20.52246
231.632172584,19.98047
232.632888317,19.84473
233.631120682,18.84766
234.631836414,17.93652
235.632552147,18.36719
236.630783558,19.90625
237.631499290,20.27539
238.632214546,20.7793
239.630446911,21.0625
240.631162167,20.79102
241.631877899,21.11133
242.632593155,21.0127
243.630824566,20.44629
244.631539822,18.69922
245.632255077,18.0957
246.630487442,18.13184
247.631201744,18.36523
248.631917477,19.94141
249.632632732,19.92969
250.630865097,17.7998
251.631579876,19.38672
252.632295132,19.16602
253.630527019,20.74023
254.631241798,19.17773
255.631957054,18.82129
256.632672310,18.82031
257.630904674,18.19238
258.631618977,16.69043
259.632334232,16.81348
260.630565166,15.31055
261.631280422,16.62891
262.631994724,16.25879
263.632709503,16.77637
264.630941391,17.57617
265.631656647,19.91504
