Time (s),Power (dBm),Percentage (%)
0.310255528,-57,86
0.809982300,-57,86
1.310142040,-57,86
1.809973240,-58,84
2.310166359,-57,86
2.809969902,-69,62
3.310162544,-55,90
3.809912682,-49,100
4.310084820,-57,86
4.809913635,-53,94
5.310267448,-53,94
5.809902668,-55,90
6.310176849,-47,100
6.810027122,-51,98
7.310070515,-57,86
7.809848785,-57,86
8.310191631,-53,94
8.809996605,-53,94
9.310133457,-49,100
9.810008526,-47,100
10.310143471,-64,72
10.809950829,-57,86
11.310120106,-59,82
11.809961319,-49,100
12.310117722,-57,86
12.809908867,-63,74
13.310076714,-53,94
13.809831619,-51,98
14.309936047,-49,100
15.309819698,-51,98
15.809634209,-57,86
16.309785366,-49,100
16.809621811,-49,100
17.309775353,-55,90
17.809619904,-53,94
18.309756756,-59,82
18.809597015,-55,90
19.309960365,-64,72
19.809812069,-51,98
20.309898377,-62,76
20.809771061,-62,76
21.309795380,-61,78
21.809565544,-57,86
22.309924126,-60,80
22.809758186,-69,62
23.309956074,-53,94
23.809772491,-53,94
24.309887409,-65,70
24.809804916,-53,94
25.309912682,-53,94
25.809726238,-53,94
26.309964657,-53,94
26.809769154,-60,80
27.309887886,-57,86
27.809701920,-69,62
28.309776306,-65,70
28.809606552,-51,98
29.309757710,-62,76
29.809566498,-60,80
30.309732437,-69,62
30.809577942,-62,76
31.309751988,-53,94
31.809553146,-62,76
32.309713364,-55,90
32.809536457,-53,94
33.309874058,-49,100
33.809753418,-49,100
34.309828281,-51,98
34.809689522,-57,86
35.309733391,-47,100
35.809507847,-49,100
36.309758186,-51,98
36.809725761,-49,100
37.309871197,-55,90
37.809596538,-62,76
38.309901714,-53,94
38.809718609,-47,100
39.309725761,-49,100
39.809750080,-47,100
40.309916973,-51,98
40.809599876,-51,98
41.309894085,-67,66
41.809638500,-59,82
42.309713364,-51,98
42.809540272,-57,86
43.309724331,-55,90
43.809504032,-62,76
44.309664726,-51,98
44.809525490,-59,82
45.309688091,-57,86
45.809485435,-53,94
46.309732437,-65,70
46.809506893,-59,82
47.309839249,-64,72
47.809710503,-62,76
48.309791565,-55,90
48.809620857,-51,98
49.309678555,-51,98
49.809457302,-67,66
50.309821606,-58,84
50.809675693,-55,90
51.309853077,-53,94
51.809706211,-62,76
52.309815407,-55,90
52.809702873,-45,100
53.309809685,-53,94
53.809700012,-57,86
54.309599400,-49,100
54.809670925,-45,100
55.309819222,-49,100
55.809602261,-60,80
56.309634686,-53,94
56.809464931,-69,62
57.309642315,-65,70
57.809480190,-51,98
58.309617996,-51,98
58.809453011,-62,76
59.309672356,-53,94
59.809470177,-53,94
60.309645653,-57,86
60.809443474,-55,90
61.309736729,-47,100
61.809617519,-55,90
62.309732437,-55,90
62.809584141,-53,94
63.309583664,-53,94
63.809626579,-53,94
64.309771538,-57,86
64.809658527,-53,94
65.309765816,-62,76
65.809620857,-69,62
66.309798241,-53,94
66.809615135,-59,82
67.309762001,-55,90
67.809647560,-53,94
68.309781551,-57,86
68.809646606,-53,94
69.309707165,-64,72
69.809445858,-53,94
70.309601307,-55,90
70.809453011,-57,86
71.309565067,-49,100
71.809424877,-53,94
72.309582710,-65,70
72.809399605,-53,94
73.309603214,-59,82
73.809440613,-65,70
74.309579372,-55,90
74.809411526,-65,70
75.309723854,-67,66
75.809553146,-51,98
76.309665680,-58,84
76.809391022,-59,82
77.309723854,-57,86
77.809497833,-59,82
78.309754372,-62,76
78.809571743,-51,98
79.309626579,-59,82
79.809603214,-57,86
80.309748650,-57,86
80.809465885,-59,82
81.309723377,-57,86
81.809571266,-53,94
82.309620857,-53,94
82.809516907,-53,94
83.309549809,-55,90
83.809376240,-57,86
84.309524059,-59,82
84.809414387,-49,100
85.309521675,-51,98
85.809364796,-47,100
86.309535980,-62,76
86.809369087,-55,90
87.309537888,-55,90
87.809332848,-55,90
88.309644699,-61,78
88.809531212,-63,74
89.309638023,-53,94
89.809408665,-62,76
90.309459686,-53,94
90.809526920,-62,76
91.309497833,-55,90
91.809523582,-53,94
92.309669018,-62,76
92.809332848,-59,82
93.309700012,-59,82
93.809554100,-57,86
94.309464932,-57,86
94.809518337,-62,76
95.309690476,-62,76
95.809300899,-65,70
96.309551716,-60,80
96.809378147,-55,90
97.309483051,-57,86
97.809306622,-47,100
98.309486866,-57,86
98.809350491,-62,76
99.309485436,-57,86
99.809335232,-57,86
100.309470177,-62,76
100.809300899,-53,94
101.309619904,-57,86
101.809472561,-53,94
102.309572697,-51,98
102.809430599,-53,94
103.309449673,-59,82
103.809480190,-53,94
104.309624672,-53,94
104.809511661,-57,86
105.309619904,-47,100
105.809473991,-51,98
106.309652329,-57,86
106.809504509,-49,100
107.309621334,-53,94
107.809465408,-59,82
108.309638023,-53,94
108.809463501,-57,86
109.309530735,-49,100
109.809266567,-55,90
110.309503079,-57,86
110.809264183,-51,98
111.309439659,-57,86
111.809266567,-64,72
112.309436321,-59,82
112.809266567,-62,76
113.309447289,-62,76
113.809239387,-63,74
114.309596062,-64,72
114.809466362,-62,76
115.309581280,-62,76
115.809374809,-62,76
116.309412956,-60,80
116.809431553,-60,80
117.309576035,-60,80
117.809399128,-60,80
118.309572220,-60,80
118.809424877,-60,80
119.309529305,-60,80
119.809457302,-63,74
120.309609413,-62,76
120.809367180,-57,86
121.309586525,-55,90
121.809435844,-53,94
122.309508324,-57,86
122.809240818,-53,94
123.309402466,-59,82
123.809242725,-62,76
124.309439659,-62,76
124.809207916,-62,76
125.309450626,-62,76
125.809204102,-65,70
126.309381962,-67,66
126.809219837,-65,70
127.309516430,-60,80
127.809190750,-53,94
128.309503555,-53,94
128.809350967,-55,90
129.309401035,-53,94
129.809166908,-55,90
130.309564114,-59,82
130.809416294,-61,78
131.309398651,-67,66
131.809413910,-59,82
132.809237480,-53,94
133.309557915,-57,86
133.809405327,-53,94
134.309413433,-53,94
134.809381008,-53,94
135.309491158,-57,86
135.809226513,-60,80
136.309389591,-65,70
136.809160232,-61,78
137.309341908,-60,80
137.809158802,-59,82
138.309313297,-57,86
138.809170246,-51,98
139.309371948,-51,98
139.809146881,-53,94
140.309486389,-59,82
140.809162140,-59,82
141.309486389,-51,98
141.809276581,-47,100
142.309378624,-73,54
142.809149742,-57,86
