Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.023561955,0.3530146,-0.01273554,0.05647026,-0.08630636,0.3353095,0.9456557,-14.15205,5.201375,-50.37779,1007.52
0.056338310,-0.9515218,0.1054498,-0.1878858,-0.08244097,0.3431244,0.9441907,-14.15132,5.20732,-49.94268,1007.52
0.089114666,-1.386367,0.1054498,-0.004618758,-0.08144435,0.3334288,0.9494979,-14.14529,4.836938,-50.37206,1007.526
0.121891022,-0.1439516,0.1054498,-0.06570777,-0.08191887,0.3290515,0.9509497,-14.14529,4.836938,-50.37206,1007.526
0.157187939,0.228773,-0.01273554,-0.004618758,-0.07999389,0.3348585,0.9432345,-13.42317,5.205575,-49.94362,1007.526
0.189964294,-0.4545555,-0.1309209,-0.004618758,-0.08532704,0.3314047,0.9432524,-13.77975,4.847953,-49.5023,1007.526
0.222741127,-0.2060724,-0.308199,-0.1267968,-0.08290581,0.3348576,0.946611,-13.77975,4.847953,-49.5023,1007.526
0.255517483,-0.01971007,0.2236352,-0.004618758,-0.08242005,0.3338541,0.9417977,-13.77445,4.471629,-50.3668,1007.528
0.290814400,-0.3924347,0.1054498,0.05647026,-0.08096135,0.3333926,0.9437204,-13.77299,4.483516,-49.49657,1007.528
0.323590756,-0.1439516,-0.1900136,0.1175593,-0.08047639,0.3343975,0.9475687,-13.77299,4.483516,-49.49657,1007.528
0.356367111,0.3530146,-0.01273554,0.1175593,-0.07902221,0.3353804,0.9470823,-13.41037,4.470756,-50.36727,1007.528
0.389143944,0.0424107,0.2827279,0.1175593,-0.0800041,0.3392451,0.9437093,-14.14445,4.843731,-49.87479,1007.53
0.421920300,0.1045315,-0.1309209,0.1175593,-0.0833813,0.3299598,0.9432499,-14.14445,4.843731,-49.87479,1007.528
0.457217217,-0.01971007,-0.1309209,-0.004618758,-0.08484735,0.3343477,0.9456537,-13.76696,4.113136,-49.92596,1007.526
0.489993572,0.228773,-0.01273554,0.1786483,-0.07950817,0.3363805,0.9514143,-13.79546,5.558997,-50.8191,1007.53
0.522769928,0.3530146,0.04635714,-0.06570777,-0.07562418,0.3358991,0.9475549,-13.79546,5.558997,-50.8191,1007.53
0.555546284,-0.2060724,0.1645425,-0.004618758,-0.08147511,0.3450705,0.9427413,-13.78121,4.836066,-50.37253,1007.53
0.590844154,-0.8272802,0.1054498,0.2397373,-0.07755502,0.3294946,0.939386,-13.78121,4.836066,-50.37253,1007.532
0.623620033,0.3530146,-0.01273554,-0.06570777,-0.08142009,0.3221903,0.9442198,-13.78787,5.201353,-50.3161,1007.536
0.656396389,1.160585,-0.01273554,-0.004618758,-0.08000028,0.3382944,0.9470803,-13.78787,5.201353,-50.3161,1007.536
0.689172745,-0.2681932,-0.07182822,-0.004618758,-0.08340843,0.3416585,0.9446765,-13.78797,5.200503,-50.37826,1007.536
0.721949100,-1.200005,0.04635714,-0.06570777,-0.08291086,0.336799,0.9456454,-13.41713,4.835193,-50.373,1007.536
0.757246971,-0.01971007,0.2827279,-0.06570777,-0.08046545,0.3295172,0.9461319,-13.41713,4.835193,-50.373,1007.536
0.790022850,0.7257392,0.1054498,-0.06570777,-0.07999998,0.337794,0.9451556,-13.78048,4.84201,-49.93742,1007.536
0.822799206,-0.08183084,0.04635714,0.1786483,-0.0843787,0.3416638,0.9466043,-13.78797,5.200503,-50.37826,1007.536
0.855575561,-0.5166763,-0.1309209,0.05647026,-0.08436315,0.3348354,0.9451704,-13.78797,5.200503,-50.37826,1007.537
0.890873432,0.2908938,0.04635714,-0.004618758,-0.07754845,0.3285875,0.9490145,-13.76769,4.107192,-50.36107,1007.537
0.923649311,0.0424107,-0.07182822,-0.06570777,-0.08145404,0.3373183,0.9485293,-14.14456,4.842883,-49.93695,1007.542
0.956425667,-0.6409178,-0.07182822,-0.06570777,-0.08532896,0.3313746,0.9389202,-14.14456,4.842883,-49.93695,1007.543
0.989202023,-0.2060724,0.1054498,-0.1267968,-0.08095586,0.3314579,0.9456488,-14.14445,4.843731,-49.87479,1007.543
1.021978378,0.78786,0.04635714,-0.06570777,-0.07950314,0.3334282,0.9470865,-13.4164,4.841137,-49.93789,1007.543
1.057276249,0.4772561,0.04635714,-0.06570777,-0.07901873,0.3339193,0.9470845,-13.4164,4.841137,-49.93789,1007.543
1.090051651,0.4151354,-0.01273554,0.05647026,-0.08144271,0.3314338,0.9427618,-13.78048,4.84201,-49.93742,1007.543
1.122828484,0.0424107,-0.1309209,0.1175593,-0.08289676,0.330958,0.9461355,-13.78121,4.836066,-50.37253,1007.543
1.155604839,0.228773,-0.1309209,-0.004618758,-0.07998735,0.3329405,0.9475697,-13.78121,4.836066,-50.37253,1007.543
1.190902233,0.6636184,-0.1900136,-0.1267968,-0.08290709,0.3348375,0.9437228,-14.50864,4.843755,-49.93648,1007.546
1.223679066,0.78786,-0.1309209,-0.004618758,-0.07951987,0.3407437,0.9485196,-13.77445,4.471629,-50.3668,1007.546
1.256454468,-0.5166763,-0.01273554,-0.06570777,-0.08097176,0.3377759,0.9437138,-13.77445,4.471629,-50.3668,1007.546
1.289230824,-0.3924347,-0.07182822,-0.004618758,-0.0804643,0.3290302,0.9461326,-14.5154,5.208192,-49.94221,1007.544
1.322007656,1.098464,-0.1309209,-0.06570777,-0.08095328,0.3289726,0.9384321,-14.15267,5.196281,-50.75074,1007.544
1.357305050,0.8499808,-0.1309209,-0.004618758,-0.08293769,0.3479973,0.9451472,-14.15267,5.196281,-50.75074,1007.544
1.390081406,-0.7030386,0.04635714,-0.06570777,-0.08243486,0.3411997,0.9475631,-14.14456,4.842883,-49.93695,1007.542
1.422857285,-0.4545555,0.1054498,0.1175593,-0.08094186,0.3261207,0.948545,-13.77372,4.477573,-49.93169,1007.542
1.455633640,0.7257392,-0.1900136,-0.06570777,-0.08485188,0.335792,0.9432446,-13.77372,4.477573,-49.93169,1007.542
1.490931511,0.9742224,-0.07182822,0.05647026,-0.08485904,0.3387108,0.942759,-14.13853,4.472501,-50.36633,1007.542
1.523707867,-0.2060724,0.04635714,0.05647026,-0.07952568,0.3421679,0.9432224,-13.77434,4.472478,-50.30464,1007.542
1.556484223,-0.2060724,-0.01273554,-0.004618758,-0.07658996,0.3334492,0.9465981,-13.77434,4.472478,-50.30464,1007.54
1.589260101,0.4772561,-0.1309209,-0.004618758,-0.08144606,0.333402,0.9456471,-13.41568,4.847081,-49.50278,1007.54
1.622036457,0.5393769,0.1645425,-0.06570777,-0.08242079,0.3343478,0.9427598,-13.40964,4.4767,-49.93216,1007.54
1.657334328,0.3530146,0.04635714,-0.1267968,-0.08095723,0.3319416,0.9451667,-14.51612,5.202248,-50.37732,1007.539
1.690110683,0.4151354,-0.01273554,0.05647026,-0.08485711,0.3387409,0.9470912,-14.51612,5.202248,-50.37732,1007.539
1.722887039,0.4772561,-0.01273554,0.05647026,-0.08534881,0.3406616,0.9437199,-13.78038,4.842859,-49.87526,1007.537
1.755662918,0.228773,-0.07182822,0.1175593,-0.08097481,0.3392437,0.9446744,-14.14456,4.842883,-49.93695,1007.537
1.790960789,0.4772561,-0.01273554,-0.004618758,-0.08436662,0.3362965,0.9451682,-14.14456,4.842883,-49.93695,1007.541
1.823737144,0.5393769,-0.07182822,0.05647026,-0.08291835,0.3392074,0.9417909,-14.14529,4.836938,-50.37206,1007.541
1.856513500,0.0424107,-0.07182822,0.1786483,-0.08340246,0.3382159,0.939868,-14.14529,4.836938,-50.37206,1007.539
1.889289379,0.4151354,-0.3672916,-0.004618758,-0.0809646,0.3348571,0.9441996,-14.14529,4.836938,-50.37206,1007.541
1.922065735,1.036343,-0.07182822,-0.004618758,-0.0770933,0.3407438,0.9456257,-13.77372,4.477573,-49.93169,1007.541
1.957363605,-0.2060724,0.1054498,0.1175593,-0.07905629,0.3500012,0.9485045,-14.14529,4.836938,-50.37206,1007.541
1.990139961,-0.889401,-0.308199,-0.06570777,-0.08387444,0.3328679,0.9418027,-14.14529,4.836938,-50.37206,1007.538
2.022916317,0.0424107,-0.2491063,-0.004618758,-0.07997696,0.3275464,0.9422828,-14.13853,4.472501,-50.36633,1007.538
2.055692196,1.59543,0.04635714,0.05647026,-0.08388019,0.3363139,0.9470925,-14.1378,4.478446,-49.93122,1007.538
2.088468552,0.9121016,0.1054498,0.05647026,-0.0819653,0.3470146,0.9427395,-14.1378,4.478446,-49.93122,1007.538
2.123765945,-0.2060724,-0.01273554,-0.004618758,-0.08001,0.3411731,0.9408183,-13.78121,4.836066,-50.37253,1007.538
2.156542778,-0.330314,-0.5445697,0.05647026,-0.09157196,0.3071514,0.9649651,-14.1378,4.478446,-49.93122,1007.536
2.189319134,14.08171,-3.321926,-0.920954,-0.07355849,0.2848077,0.9519593,-14.1378,4.478446,-49.93122,1007.536
2.222095490,21.2256,-6.926579,1.828052,-0.07990739,0.3094411,1.000073,-13.78048,4.84201,-49.93742,1007.536
2.257392407,59.86472,-22.52705,28.95157,-0.1308656,0.3488352,1.26344,-13.76769,4.107192,-50.36107,1007.536
