Time (s),Humidity (%)
0.700353146,11.22168
1.700152397,12.74609
2.699952125,11.29688
3.699751854,11.51953
4.699588299,12.75977
5.699388504,12.70996
6.699189663,11.07422
7.698990822,12.3877
8.701266289,12.67285
9.701084614,11.31055
10.700885773,10.69043
11.700687885,10.92676
12.700623512,11.53418
13.700426102,11.44727
14.700228214,11.21191
15.700030804,11.55957
16.699833393,12.38965
17.699851036,10.75391
18.699653625,10.87793
19.699456692,11.89453
20.699260235,11.89453
21.699063301,10.91504
22.698866367,11.2373
23.701213360,12.24219
24.701016426,11.85742
25.700819969,11.74609
26.700623035,12.11816
27.700426578,11.53516
29.700033188,12.44043
30.699858189,12.03125
31.699661732,11.77148
32.699465752,11.43652
33.699269295,11.53613
34.699072838,11.59766
35.698876381,11.98145
36.698926449,11.77148
37.701204777,12.04395
38.701008797,10.39551
39.700812817,11.89551
40.700616360,12.13086
41.700419903,11.91992
42.700224399,10.94043
43.700098514,12.00684
44.699902058,11.28809
45.699706554,11.87012
46.699670792,11.58496
47.699474811,11.2998
48.699278355,12.10645
49.699082375,12.00684
50.698886394,11.17676
51.701164722,11.91992
52.700968265,12.21777
53.700771809,11.22559
54.700575352,11.8584
55.700490475,10.30762
56.700293541,10.85352
57.700096607,10.43164
58.699898720,12.11816
59.699741840,10.58008
60.699544430,11.44824
61.699346542,11.27441
62.699149132,11.79492
63.698964596,11.42285
64.698766708,10.95215
65.698669910,11.31152
66.700955391,11.41016
67.700757027,11.44727
68.700653076,10.81543
69.700458527,11.84375
70.700259685,12.11621
71.700059891,11.39746
72.699981689,11.6084
73.699782371,10.5918
74.699583054,10.5166
75.699383259,11.71973
76.699183464,10.37988
77.698984146,11.45898
78.698783398,11.29785
79.698601246,10.87598
80.700875759,12.59863
81.700675487,11.65625
82.700591087,11.29688
83.700389862,11.34668
84.700219631,11.86719
85.700018406,11.99121
86.699817657,11.46973
87.699706078,11.55664
88.699504375,12.11426
89.699459076,11.02344
90.699257374,10.42871
91.699056148,12.06445
92.698853493,11.86621
93.698651314,10.19238
94.700923443,11.92773
95.700721264,11.25781
96.700572967,11.53027
97.700369835,11.07227
98.700166702,12.52148
99.699964046,10.66309
100.699760437,10.97266
101.699556351,10.6377
102.699429512,11.55469
103.699225426,12.55859
104.699110031,11.23242
105.698985100,11.86426
106.698781013,10.99707
107.701051235,12.21094
108.700846672,11.21973
109.700642586,12.94141
110.700437546,11.36816
111.700233459,10.42676
112.700028419,11.64063
113.699823379,12.54492
114.699618339,12.60742
115.699602127,11.88867
116.699411392,12.45801
117.699206352,12.19824
118.699000835,10.63672
119.698795319,11.99902
120.698589802,13.07617
121.700858116,11.35449
